"Name","Gross Export","Share","Code","Sector"
"Live animals","1062232","0.01646921441181344","01","Agriculture"
"Meat","2658864","0.04122395230783099","02","Agriculture"
"Fish","36040924","0.5587910220703884","03","Agriculture"
"Diary products","879378","0.013634182392388552","04","Agriculture"
"Animal products","2829631","0.04387158327494754","05","Agriculture"
"Plants","1489621","0.02309560212961005","06","Agriculture"
"Vegetables","51396583","0.7968705004759465","07","Agriculture"
"Fruits and nuts","19559920","0.30326380334796726","08","Agriculture"
"Coffee, tea and spices","3802583","0.05895656951185502","09","Agriculture"
"Cereals","15411","0.000238937504519217","10","Agriculture"
"Flours, starches and malts","57467","0.000890988357160849","11","Agriculture"
"Oil seeds and oleaginous fruits","28694193","0.4448847491799873","12","Agriculture"
"Lac and other vegetable extracts","93841","0.0014549435053914635","13","Agriculture"
"Other vegetable materials","154058","0.002388568819104635","14","Agriculture"
"Animal or vegetable fats, oils or waxes","834283","0.012935013826669646","15","Agriculture"
"Preparations of meat or fish","50442791","0.7820825775436","16","Agriculture"
"Sugar and candy","98489","0.0015270077141388077","17","Agriculture"
"Cocoa","261078","0.004047844124642667","18","Agriculture"
"Preparations of cereals, flour, starch or milk","5647164","0.08755559494976053","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","4756878","0.0737522911311637","20","Agriculture"
"Miscellaneous edible preparations","2097058","0.03251351666680034","21","Agriculture"
"Beverages","8302905","0.1287311271792959","22","Agriculture"
"Food residues and animal feed","101075","0.0015671019576458283","23","Agriculture"
"Tobacco","1893355","0.02935523449931751","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","30771846","0.4770974039770066","25","Minerals"
"Ores, slag and ash","83858710","1.3001746090195774","26","Minerals"
"Mineral fuels, oils and waxes","192634481","2.9866719988640917","27","Minerals"
"Inorganic chemicals","1093385","0.01695222135998599","28","Chemicals"
"Organic chemicals","233684","0.0036231180199901825","29","Chemicals"
"Pharmaceutical products","2767148","0.04290282510903525","30","Chemicals"
"Fertilisers","5545207","0.08597481815732229","31","Chemicals"
"Dyes, paints, inks, etc.","3878881","0.06013952024313834","32","Chemicals"
"Essential oils","10341564","0.16033920543675115","33","Chemicals"
"Soaps, waxes, and paints","736564","0.011419944460365488","34","Chemicals"
"Albuminoidals; modified starches; glues; enzymes","395242","0.006127969447873881","35","Chemicals"
"Explosives","1476554","0.02289300681642125","36","Chemicals"
"Photographic or cinematographic goods","73724","0.0011430425399503441","37","Chemicals"
"Miscellaneous chemical products","3828799","0.059363031494755275","38","Chemicals"
"Plastics","17205768","0.2667642118783077","39","Chemicals"
"Rubber","4889938","0.07581529965438263","40","Chemicals"
"Leather and skins","16100177","0.2496227444486207","41","Agriculture"
"Articles of leather","9302050","0.14422221879910338","42","Agriculture"
"Furskins","198574","0.0030787603674257997","43","Agriculture"
"Wood","22225586","0.34459321622978695","44","Agriculture"
"Manufactues of plaiting materials","51973","0.0008058074701432267","46","Agriculture"
"Pulp of wood","834706","0.012941572165804785","47","Agriculture"
"Paper and paperboard","47607365","0.7381211465729357","48","Agriculture"
"Products of the printing industry","2676749","0.04150124756889946","49","Agriculture"
"Silk","2697","0.000041815226116950764","50","Textiles"
"Wool","105079","0.0016291813663860102","51","Textiles"
"Cotton","292792","0.00453954901195189","52","Textiles"
"Other vegetable textile fibres","13004","0.00020161853927505664","53","Textiles"
"Man-made filaments","208213","0.0032282067762286503","54","Textiles"
"Man-made staple fibres","173613","0.002691756341061243","55","Textiles"
"Wadding, felt and nonwovens","528339","0.008191551631962793","56","Textiles"
"Carpets","34906","0.0005411947656055926","57","Textiles"
"Special woven fabrics","531574","0.00824170819721616","58","Textiles"
"Impregnated, coated or laminated textile fabrics","368748","0.0057171972562748835","59","Textiles"
"Knitted fabrics","660035","0.010233412224731776","60","Textiles"
"Apparel, knit","255615920","3.963158136408008","61","Textiles"
"Apparel, not knit","269998508","4.186150783559266","62","Textiles"
"Other made up textile articles","17179862","0.26636255624323696","63","Textiles"
"Footwear","593352022","9.199536138998868","64","Textiles"
"Headgear","8605222","0.13341835510439723","65","Textiles"
"Umbrellas and walking-sticks","18360","0.0002846598262911442","66","Textiles"
"Feathers and down","5077","0.0000787155739695065","67","Textiles"
"Articles of stone, plaster, cement, etc.","6214345","0.09634936646041617","68","Stone"
"Ceramic products","3954391","0.061310253548325935","69","Stone"
"Glass and glassware","3176447","0.04924873917445677","70","Stone"
"Precious metals and stones","4813068","0.07462348043613644","71","Stone"
"Iron and steel","132829432","2.059433716746806","72","Metals"
"Articles of iron or steel","23520569","0.3646710831050584","73","Metals"
"Copper","15127344","0.23453960322910583","74","Metals"
"Nickel","10164","0.0001575861914173851","75","Metals"
"Aluminium","52199849","0.8093246159457494","76","Metals"
"Lead","4154615","0.06441459608968314","78","Metals"
"Zinc","204400","0.0031690886979253746","79","Metals"
"Other base metals","8183","0.00012687207835187546","81","Metals"
"Metal tools and tableware","1850868","0.028696501272758034","82","Metals"
"Miscellaneous articles of base metal","47292561","0.7332403158563913","83","Metals"
"Industrial Machinery","26336260","0.4083265357711553","84","Machinery"
"Electrical machinery and equipment","80020359","1.240663479994281","85","Electronics"
