"Name","Gross Import","Share","Code","Sector"
"Live animals","27822837","0.3494273260239698","01","Agriculture"
"Meat","69681592","0.8751319056950679","02","Agriculture"
"Fish","66246943","0.8319961098773767","03","Agriculture"
"Diary products","27966089","0.3512264295196912","04","Agriculture"
"Animal products","4227670","0.053095355567505796","05","Agriculture"
"Plants","7210219","0.09055322234814593","06","Agriculture"
"Vegetables","13205639","0.16584977025196426","07","Agriculture"
"Fruits and nuts","41163480","0.5169726130459363","08","Agriculture"
"Coffee, tea and spices","25957579","0.3260015296077087","09","Agriculture"
"Cereals","62975984","0.7909160986296367","10","Agriculture"
"Flours, starches and malts","11931032","0.14984196645605968","11","Agriculture"
"Oil seeds and oleaginous fruits","6885276","0.08647225951893456","12","Agriculture"
"Lac and other vegetable extracts","678929","0.00852667702542799","13","Agriculture"
"Other vegetable materials","21737","0.0002729952299897754","14","Agriculture"
"Animal or vegetable fats, oils or waxes","37607523","0.4723133086778657","15","Agriculture"
"Preparations of meat or fish","18004318","0.2261164343386416","16","Agriculture"
"Sugar and candy","24444330","0.30699661822220015","17","Agriculture"
"Cocoa","17764793","0.2231082371420045","18","Agriculture"
"Preparations of cereals, flour, starch or milk","65590614","0.8237532665087446","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","33474072","0.4204012506019368","20","Agriculture"
"Miscellaneous edible preparations","46129575","0.5793418565789019","21","Agriculture"
"Beverages","88843415","1.1157854584810258","22","Agriculture"
"Food residues and animal feed","30040860","0.37728350208357375","23","Agriculture"
"Tobacco","52702335","0.6618892241028287","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","20321643","0.25521974534457875","25","Minerals"
"Ores, slag and ash","563380","0.007075495821485929","26","Minerals"
"Mineral fuels, oils and waxes","571654843","7.179419668747018","27","Minerals"
"Inorganic chemicals","10796971","0.13559928147112918","28","Chemicals"
"Organic chemicals","15915850","0.19988734099612485","29","Chemicals"
"Pharmaceutical products","170854607","2.1457649506729393","30","Chemicals"
"Fertilisers","14184167","0.1781391145226288","31","Chemicals"
"Dyes, paints, inks, etc.","33737593","0.4237108138352319","32","Chemicals"
"Essential oils","60228602","0.7564116968741154","33","Chemicals"
"Soaps, waxes, and paints","56369805","0.7079490215049818","34","Chemicals"
"Albuminoidals; modified starches; glues; enzymes","11216616","0.14086960779440558","35","Chemicals"
"Explosives","6748171","0.08475035626605937","36","Chemicals"
"Photographic or cinematographic goods","2855803","0.035866062326470556","37","Chemicals"
"Miscellaneous chemical products","34898487","0.43829049477205617","38","Chemicals"
"Plastics","220565409","2.770083477837046","39","Chemicals"
"Rubber","48499198","0.6091019787610826","40","Chemicals"
"Leather and skins","151906032","1.9077895819420425","41","Agriculture"
"Articles of leather","11200765","0.14067053490529632","42","Agriculture"
"Furskins","504982","0.006342074675930291","43","Agriculture"
"Wood","68702778","0.8628389695471537","44","Agriculture"
"Cork","214498","0.0026938828192642423","45","Agriculture"
"Manufactues of plaiting materials","125516","0.0015763568701935246","46","Agriculture"
"Pulp of wood","1522394","0.01911976354441984","47","Agriculture"
"Paper and paperboard","124990610","1.5697584912137055","48","Agriculture"
"Products of the printing industry","14206701","0.17842211928467458","49","Agriculture"
"Silk","787467","0.009889807000706557","50","Textiles"
"Wool","7439775","0.09343621876050885","51","Textiles"
"Cotton","57848362","0.7265182356682974","52","Textiles"
"Other vegetable textile fibres","3473758","0.04362696619307274","53","Textiles"
"Man-made filaments","43391169","0.5449501845093716","54","Textiles"
"Man-made staple fibres","44730931","0.5617762706906092","55","Textiles"
"Wadding, felt and nonwovens","21138081","0.2654733994634725","56","Textiles"
"Carpets","8160253","0.1024847101490433","57","Textiles"
"Special woven fabrics","17743139","0.22283628430995783","58","Textiles"
"Impregnated, coated or laminated textile fabrics","42473183","0.5334211879046242","59","Textiles"
"Knitted fabrics","71031707","0.8920880153209428","60","Textiles"
"Apparel, knit","149500999","1.8775847451675105","61","Textiles"
"Apparel, not knit","142599794","1.7909124331565804","62","Textiles"
"Other made up textile articles","31238002","0.3923184220642712","63","Textiles"
"Footwear","138091683","1.7342950158835235","64","Textiles"
"Headgear","3467066","0.04354292128903393","65","Textiles"
"Umbrellas and walking-sticks","2713996","0.03408510660216821","66","Textiles"
"Feathers and down","2399557","0.03013606362831004","67","Textiles"
"Articles of stone, plaster, cement, etc.","34333096","0.43118974277872","68","Stone"
"Ceramic products","67012552","0.8416114020077187","69","Stone"
"Glass and glassware","37895341","0.4759280182102389","70","Stone"
"Precious metals and stones","15443324","0.19395288159298052","71","Stone"
"Iron and steel","167161735","2.0993861292641522","72","Metals"
"Articles of iron or steel","141343070","1.775129222160874","73","Metals"
"Copper","6937037","0.08712232650607633","74","Metals"
"Nickel","160284","0.002013008577249904","75","Metals"
"Aluminium","68127463","0.8556135819250545","76","Metals"
"Lead","43350","0.0005444331425705829","78","Metals"
"Zinc","1203027","0.015108829762566566","79","Metals"
"Tin","223415","0.0028058715235849316","80","Metals"
