"Name","Gross Export","Share","Code","Sector"
"Live animals","54784","0.00014490522381683477","01","Agriculture"
"Meat","427386","0.00113044801376646","02","Agriculture"
"Fish","10394785","0.027494499250746148","03","Agriculture"
"Diary products","879374","0.0023259690108189484","04","Agriculture"
"Vegetables","4372069","0.011564245710200882","07","Agriculture"
"Fruits and nuts","95423810","0.25239866649943626","08","Agriculture"
"Coffee, tea and spices","146943","0.0003886683758637038","09","Agriculture"
"Cereals","12999","0.00003438272131270143","10","Agriculture"
"Flours, starches and malts","36407","0.00009629754095172869","11","Agriculture"
"Oil seeds and oleaginous fruits","8579176","0.022692162281761415","12","Agriculture"
"Other vegetable materials","4895","0.000012947412941431918","14","Agriculture"
"Animal or vegetable fats, oils or waxes","629948","0.0016662302119773553","15","Agriculture"
"Preparations of meat or fish","16145126","0.042704313240745445","16","Agriculture"
"Sugar and candy","90008019","0.23807374668707867","17","Agriculture"
"Cocoa","10026344","0.026519962423053784","18","Agriculture"
"Preparations of cereals, flour, starch or milk","3070057","0.008120387279414434","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","799784","0.0021154512179673516","20","Agriculture"
"Miscellaneous edible preparations","701539","0.0018555904244165898","21","Agriculture"
"Beverages","6753763","0.0178638934564993","22","Agriculture"
"Food residues and animal feed","1119232","0.0029604001800336527","23","Agriculture"
"Tobacco","6613","0.00001749157135478841","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","99773795","0.26390449940730853","25","Minerals"
"Ores, slag and ash","9725877","0.025725218740873353","26","Minerals"
"Mineral fuels, oils and waxes","35677661700","94.36842059542593","27","Minerals"
"Inorganic chemicals","575262092","1.52158444426476","28","Chemicals"
"Organic chemicals","30929141","0.08180844953029062","29","Chemicals"
"Pharmaceutical products","5645702","0.014933040886265183","30","Chemicals"
"Fertilisers","780952279","2.065640785243177","31","Chemicals"
"Dyes, paints, inks, etc.","307102","0.0008122934441551839","32","Chemicals"
"Essential oils","1362223","0.0036031182225365094","33","Chemicals"
"Soaps, waxes, and paints","223311","0.0005906638879191222","34","Chemicals"
"Albuminoidals; modified starches; glues; enzymes","88709","0.00023463780482563517","35","Chemicals"
"Explosives","57081","0.00015098085354645053","36","Chemicals"
"Photographic or cinematographic goods","21220","0.000056127497981038885","37","Chemicals"
"Miscellaneous chemical products","1373330","0.0036324965505325226","38","Chemicals"
"Plastics","4074503","0.010777175254770822","39","Chemicals"
"Rubber","385641","0.0010200313123895294","40","Chemicals"
"Leather and skins","16301258","0.04311728678055579","41","Agriculture"
"Articles of leather","108417","0.0002867660201984115","42","Agriculture"
"Wood","17482","0.00004624038264394542","44","Agriculture"
"Cork","7823459","0.02069326952060511","45","Agriculture"
"Pulp of wood","8373712","0.022148704211771963","47","Agriculture"
"Paper and paperboard","4299275","0.011371703528861025","48","Agriculture"
"Products of the printing industry","426786","0.0011288609968584196","49","Agriculture"
"Wool","4733437","0.012520074253575625","51","Textiles"
"Cotton","1906327","0.005042288635424124","52","Textiles"
"Man-made filaments","425568","0.0011256393525350967","54","Textiles"
"Man-made staple fibres","196805","0.0005205547709782449","55","Textiles"
"Wadding, felt and nonwovens","198717","0.0005256120648585345","56","Textiles"
"Carpets","45732","0.00012096242873086098","57","Textiles"
"Special woven fabrics","45093","0.00011927225572379765","58","Textiles"
"Apparel, knit","17818","0.0000471291121124482","61","Textiles"
"Apparel, not knit","178656","0.0004725501545381942","62","Textiles"
"Other made up textile articles","371824","0.0009834849580255326","63","Textiles"
"Footwear","22797","0.00006029870742100581","64","Textiles"
"Headgear","19686","0.000052070024752814864","65","Textiles"
"Feathers and down","1274","0.000003369765901406387","67","Textiles"
"Articles of stone, plaster, cement, etc.","717933","0.0018989530164006212","68","Stone"
"Ceramic products","327767","0.0008669529514962852","69","Stone"
"Glass and glassware","36192668","0.09573062677183838","70","Stone"
"Precious metals and stones","8484096","0.022440673002400567","71","Stone"
"Iron and steel","51102700","0.13516808157755117","72","Metals"
"Articles of iron or steel","11673042","0.03087552503711508","73","Metals"
"Copper","440146","0.0011641985733441254","74","Metals"
"Nickel","25234","0.00006674464109583105","75","Metals"
"Aluminium","515071","0.0013623773097357057","76","Metals"
"Lead","3689123","0.009757834294736291","78","Metals"
"Zinc","1752500","0.0046354118855688325","79","Metals"
"Other base metals","106379","0.0002813754527674333","81","Metals"
"Metal tools and tableware","194833","0.0005153387754071512","82","Metals"
"Miscellaneous articles of base metal","85767","0.00022685613191987568","83","Metals"
"Industrial Machinery","81639946","0.2159399577892141","84","Machinery"
"Electrical machinery and equipment","37832713","0.10006859201341768","85","Electronics"
"Trains","1162515","0.003074884934751528","86","Vehicles"
"Vehicles","4588518","0.012136759414748377","87","Vehicles"
"Aircraft","4168444","0.011025651847034572","88","Vehicles"
"Ships","5850192","0.015473922698807248","89","Vehicles"
"Apparatuses (optical, medical, etc.)","4987387","0.013191779159903844","90","Machinery"
"Clocks","34616","0.00009156029548122722","91","Machinery"
"Musical instruments","1016","0.0000026873486309488926","92","Machinery"
"Furniture","1158423","0.00306406147943869","94","Textiles"
"Toys","1316","0.0000034808570849692354","95","Machinery"
"Miscellaneous manufactured articles","88220","0.000233344386045582","96","Machinery"
"Art","394873","0.0010444502125479154","97","Textiles"
"Other","66614248","0.1761965631540256","99","Other"
