"Name","Gross Import","Share","Code","Sector"
"Live animals","163542786","0.3343758746604751","01","Agriculture"
"Meat","186868808","0.3820677307145812","02","Agriculture"
"Fish","52630783","0.10760770639978373","03","Agriculture"
"Diary products","1280187870","2.617443112171151","04","Agriculture"
"Animal products","2209777","0.0045180599844960485","05","Agriculture"
"Plants","24849455","0.05080663264756365","06","Agriculture"
"Vegetables","319150123","0.6525271100990245","07","Agriculture"
"Fruits and nuts","109037378","0.2229353524614338","08","Agriculture"
"Coffee, tea and spices","308325787","0.6303959179740544","09","Agriculture"
"Cereals","2649888430","5.417901842114412","10","Agriculture"
"Flours, starches and malts","27709078","0.05665335303927944","11","Agriculture"
"Oil seeds and oleaginous fruits","146989302","0.30053099634723546","12","Agriculture"
"Lac and other vegetable extracts","14162222","0.028955758209878012","13","Agriculture"
"Other vegetable materials","2557948","0.0052299225221466685","14","Agriculture"
"Animal or vegetable fats, oils or waxes","762338374","1.5586597662185744","15","Agriculture"
"Preparations of meat or fish","54208272","0.11083300466602629","16","Agriculture"
"Sugar and candy","713162346","1.4581155736130504","17","Agriculture"
"Cocoa","81481449","0.16659512439746435","18","Agriculture"
"Preparations of cereals, flour, starch or milk","197497048","0.4037979894011456","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","111229545","0.22741740743894182","20","Agriculture"
"Miscellaneous edible preparations","181327440","0.37073797525954344","21","Agriculture"
"Beverages","66052211","0.13504885398236552","22","Agriculture"
"Food residues and animal feed","637160474","1.3027238681921005","23","Agriculture"
"Tobacco","122300112","0.25005203788734565","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","112675576","0.23037392965699405","25","Minerals"
"Ores, slag and ash","48808060","0.09979185357023909","26","Minerals"
"Mineral fuels, oils and waxes","3098539923","6.335204519039599","27","Minerals"
"Inorganic chemicals","125871804","0.25735463842221623","28","Chemicals"
"Organic chemicals","462917969","0.9464715905012506","29","Chemicals"
"Pharmaceutical products","1770686327","3.620305143511307","30","Chemicals"
"Fertilisers","139660963","0.285547640475253","31","Chemicals"
"Dyes, paints, inks, etc.","281641957","0.5758387637652381","32","Chemicals"
"Essential oils","331819649","0.678430935889198","33","Chemicals"
"Soaps, waxes, and paints","203150460","0.4153568274798612","34","Chemicals"
"Albuminoidals; modified starches; glues; enzymes","74782235","0.15289806324560345","35","Chemicals"
"Explosives","8586489","0.017555740854491422","36","Chemicals"
"Photographic or cinematographic goods","18845241","0.03853055274821138","37","Chemicals"
"Miscellaneous chemical products","430571215","0.8803361501940443","38","Chemicals"
"Plastics","2130334892","4.355634450499264","39","Chemicals"
"Rubber","491869213","1.0056646479988087","40","Chemicals"
"Leather and skins","1247251","0.002550101134061347","41","Agriculture"
"Articles of leather","91408867","0.18689249830223653","42","Agriculture"
"Furskins","7254","0.000014831364036974924","43","Agriculture"
"Wood","671806041","1.3735594094720018","44","Agriculture"
"Cork","594669","0.0012158467632346073","45","Agriculture"
"Manufactues of plaiting materials","1445722","0.002955890443653634","46","Agriculture"
"Pulp of wood","60929697","0.12457547792522455","47","Agriculture"
"Paper and paperboard","712400396","1.4565577079075123","48","Agriculture"
"Products of the printing industry","34793571","0.0711381469047882","49","Agriculture"
"Silk","1029428","0.002104745163751726","50","Textiles"
