"Name","Gross Export","Share","Code","Sector"
"Live animals","3160788","0.007432345460827358","01","Agriculture"
"Meat","127173","0.0002990373505878273","02","Agriculture"
"Fish","139113433","0.3271143437325315","03","Agriculture"
"Diary products","335856","0.0007897390831310526","04","Agriculture"
"Animal products","31679","0.00007449068771886944","05","Agriculture"
"Plants","1053","0.000002476047039615187","06","Agriculture"
"Vegetables","538012","0.0012650930863033676","07","Agriculture"
"Fruits and nuts","2244311","0.0052773215646019","08","Agriculture"
"Coffee, tea and spices","1310257","0.003080966729330557","09","Agriculture"
"Cereals","378629","0.0008903164430792581","10","Agriculture"
"Flours, starches and malts","7200862","0.01693226309380579","11","Agriculture"
"Oil seeds and oleaginous fruits","37431","0.00008801606527999627","12","Agriculture"
"Lac and other vegetable extracts","8872","0.000020861813234060722","13","Agriculture"
"Other vegetable materials","20503","0.000048211198910949835","14","Agriculture"
"Animal or vegetable fats, oils or waxes","5749901","0.013520441926999433","15","Agriculture"
"Preparations of meat or fish","1511017","0.003553038147823572","16","Agriculture"
"Sugar and candy","5684478","0.013366604865771757","17","Agriculture"
"Cocoa","52743","0.00012402103419793334","18","Agriculture"
"Preparations of cereals, flour, starch or milk","834337","0.0019618781186053337","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","1494491","0.0035141785529739233","20","Agriculture"
"Miscellaneous edible preparations","62218","0.00014630075471108993","21","Agriculture"
"Beverages","15577346","0.03662890925770321","22","Agriculture"
"Food residues and animal feed","15777904","0.03710050568901484","23","Agriculture"
"Tobacco","217082","0.0005104513233178957","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","53261295","0.12523976430277414","25","Minerals"
"Ores, slag and ash","9776606","0.022988923403403683","26","Minerals"
"Mineral fuels, oils and waxes","38382598006","90.25367347150626","27","Minerals"
"Inorganic chemicals","1726250","0.004059141692436578","28","Chemicals"
"Organic chemicals","552929","0.0013001692436537377","29","Chemicals"
"Pharmaceutical products","14027","0.00003298339204623194","30","Chemicals"
"Fertilisers","788122","0.0018532071652000005","31","Chemicals"
"Dyes, paints, inks, etc.","150016","0.00035275087625347764","32","Chemicals"
"Essential oils","747928","0.0017586941217904157","33","Chemicals"
"Soaps, waxes, and paints","6316032","0.01485165463980512","34","Chemicals"
"Albuminoidals; modified starches; glues; enzymes","131485","0.0003091766809152924","35","Chemicals"
"Explosives","747831","0.0017584660338864815","36","Chemicals"
"Photographic or cinematographic goods","35574","0.00008364947520158659","37","Chemicals"
"Miscellaneous chemical products","2438426","0.00573376778596458","38","Chemicals"
"Plastics","6111406","0.014370492625058396","39","Chemicals"
"Rubber","3052662","0.007178095639169778","40","Chemicals"
"Leather and skins","163841","0.0003852592811183209","41","Agriculture"
"Articles of leather","100898","0.00023725374568194982","42","Agriculture"
"Furskins","14715","0.00003460117016898146","43","Agriculture"
"Wood","168668878","0.3966116581644019","44","Agriculture"
"Cork","8760","0.000020598454004775914","45","Agriculture"
"Manufactues of plaiting materials","5395","0.000012685920017781517","46","Agriculture"
"Pulp of wood","303606","0.0007139057336271686","47","Agriculture"
"Paper and paperboard","8305020","0.019528604164240192","48","Agriculture"
"Products of the printing industry","165819","0.0003899103932212258","49","Agriculture"
"Wool","1088","0.000002558346798766689","51","Textiles"
"Cotton","1326004","0.003117994566683663","52","Textiles"
"Man-made filaments","572","0.000001345013206704546","54","Textiles"
"Man-made staple fibres","86243","0.0002027936608143709","55","Textiles"
"Wadding, felt and nonwovens","82906","0.00019494696663469773","56","Textiles"
"Carpets","13204","0.00003104817199532662","57","Textiles"
"Special woven fabrics","3058","0.000007190647528151227","58","Textiles"
"Impregnated, coated or laminated textile fabrics","35266","0.00008292523732105336","59","Textiles"
"Knitted fabrics","13126","0.00003086476110350327","60","Textiles"
"Apparel, knit","50067","0.00011772862975537851","61","Textiles"
"Apparel, not knit","141440","0.0003325850838396696","62","Textiles"
"Other made up textile articles","344742","0.0008106338162687739","63","Textiles"
"Footwear","8035454","0.018894740824942084","64","Textiles"
"Headgear","64728","0.00015220282315309765","65","Textiles"
"Umbrellas and walking-sticks","10367","0.00002437718866067488","66","Textiles"
"Feathers and down","75925","0.00017853169181650814","67","Textiles"
"Articles of stone, plaster, cement, etc.","385307","0.0009060192371253646","68","Stone"
"Ceramic products","799642","0.001880295543069295","69","Stone"
"Glass and glassware","429319","0.0010095100085475333","70","Stone"
"Precious metals and stones","1937208403","4.555193856947593","71","Stone"
"Iron and steel","9090809","0.021376325462637322","72","Metals"
"Articles of iron or steel","20692230","0.04865615843735666","73","Metals"
"Copper","10535445","0.024773273887254157","74","Metals"
"Nickel","81960","0.00019272252171591712","75","Metals"
"Aluminium","19114646","0.044946593201892","76","Metals"
"Lead","5032449","0.011833409732634767","78","Metals"
"Zinc","2876717","0.006764374749915179","79","Metals"
"Other base metals","9273","0.000021804733331767933","81","Metals"
"Metal tools and tableware","3229340","0.007593540120523181","82","Metals"
"Miscellaneous articles of base metal","1246637","0.002931369281410027","83","Metals"
"Industrial Machinery","90914450","0.21377820966832192","84","Machinery"
"Electrical machinery and equipment","55239404","0.12989113271064326","85","Electronics"
"Trains","1757162","0.0041318288397191845","86","Vehicles"
"Vehicles","6344876","0.014919479047032717","87","Vehicles"
"Aircraft","890371","0.002093637681585198","88","Vehicles"
"Ships","809394018","1.9032266497161838","89","Vehicles"
"Apparatuses (optical, medical, etc.)","16659198","0.03917279951591952","90","Machinery"
"Clocks","980878","0.002306457804485912","91","Machinery"
"Musical instruments","10630","0.000024995612565156166","92","Machinery"
"Arms and ammunition","2708","0.000006367649936636208","93","Machinery"
"Furniture","6027646","0.014173537544300403","94","Textiles"
"Toys","594410","0.0013977085667784077","95","Machinery"
"Miscellaneous manufactured articles","169821","0.0003993207828247775","96","Machinery"
"Art","106858","0.00025126821895460555","97","Textiles"
"Other","38574248","0.09070432342429445","99","Other"
"Travel and tourism","591565824","1.3910207096417084","travel","Services"
"Transport","30346218","0.07135675521597067","transport","Services"
"ICT","9212469","0.021662399425447943","ict","Services"
