"Name","Gross Import","Share","Code","Sector"
"Live animals","6634537","0.031313313454615355","01","Agriculture"
"Meat","460974621","2.175682010967082","02","Agriculture"
"Fish","127407451","0.6013304997193544","03","Agriculture"
"Diary products","169903128","0.8018991986906748","04","Agriculture"
"Animal products","15627804","0.07375922769882685","05","Agriculture"
"Plants","1424379","0.006722703649881152","06","Agriculture"
"Vegetables","64663374","0.30519454471276963","07","Agriculture"
"Fruits and nuts","20041826","0.09459227972364308","08","Agriculture"
"Coffee, tea and spices","16935210","0.0799298487821737","09","Agriculture"
"Cereals","311846575","1.471835872303254","10","Agriculture"
"Flours, starches and malts","204213622","0.9638359326940724","11","Agriculture"
"Oil seeds and oleaginous fruits","11182381","0.05277797100565346","12","Agriculture"
"Lac and other vegetable extracts","4529113","0.02137625203392087","13","Agriculture"
"Other vegetable materials","141477","0.0006677351633759245","14","Agriculture"
"Animal or vegetable fats, oils or waxes","294051377","1.3878471006736823","15","Agriculture"
"Preparations of meat or fish","121823552","0.5749759282268879","16","Agriculture"
"Sugar and candy","147204490","0.6947674475697084","17","Agriculture"
"Cocoa","15509679","0.073201707987681","18","Agriculture"
"Preparations of cereals, flour, starch or milk","181627193","0.8572337792811946","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","51313684","0.2421874309545761","20","Agriculture"
"Miscellaneous edible preparations","69772853","0.32930997545296664","21","Agriculture"
"Beverages","126538255","0.5972281174730125","22","Agriculture"
"Food residues and animal feed","24878366","0.11741950836910624","23","Agriculture"
"Tobacco","17659617","0.08334886407438137","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","28967422","0.13671880419961793","25","Minerals"
"Ores, slag and ash","1115069","0.005262839761165623","26","Minerals"
"Mineral fuels, oils and waxes","921515403","4.349316413096376","27","Minerals"
"Inorganic chemicals","53859431","0.2542027040304737","28","Chemicals"
"Organic chemicals","71849438","0.33911092418837235","29","Chemicals"
"Pharmaceutical products","208327725","0.9832534439421932","30","Chemicals"
"Fertilisers","41605705","0.1963682593322273","31","Chemicals"
"Dyes, paints, inks, etc.","72372403","0.3415791848930444","32","Chemicals"
"Essential oils","116568986","0.5501757240489681","33","Chemicals"
"Soaps, waxes, and paints","124433145","0.5872925380518041","34","Chemicals"
"Albuminoidals; modified starches; glues; enzymes","17180541","0.08108774819597368","35","Chemicals"
"Explosives","5683794","0.026826050278031758","36","Chemicals"
"Photographic or cinematographic goods","4301765","0.020303227769035488","37","Chemicals"
"Miscellaneous chemical products","137741927","0.6501065765393644","38","Chemicals"
"Plastics","407174154","1.921757601897438","39","Chemicals"
"Rubber","127929678","0.6037952772532597","40","Chemicals"
"Leather and skins","220502","0.001040712900292755","41","Agriculture"
"Articles of leather","34778331","0.16414480468363746","42","Agriculture"
"Furskins","12770","0.00006027112559858179","43","Agriculture"
"Wood","29951316","0.14136253159583495","44","Agriculture"
"Cork","282224","0.0013320249139337624","45","Agriculture"
"Manufactues of plaiting materials","332425","0.0015689607617156264","46","Agriculture"
"Pulp of wood","10556398","0.04982349175619558","47","Agriculture"
"Paper and paperboard","204988038","0.9674909776432934","48","Agriculture"
"Products of the printing industry","48350718","0.22820299117929593","49","Agriculture"
"Silk","7115709","0.033584321915580174","50","Textiles"
"Wool","3553567","0.016771925057163312","51","Textiles"
"Cotton","23384048","0.11036671057253447","52","Textiles"
"Other vegetable textile fibres","252338","0.001190970657110018","53","Textiles"
"Man-made filaments","22781199","0.10752141787120484","54","Textiles"
"Man-made staple fibres","24295682","0.11466938929719676","55","Textiles"
"Wadding, felt and nonwovens","24483691","0.11555674356913599","56","Textiles"
"Carpets","9165530","0.04325895143363894","57","Textiles"
"Special woven fabrics","1803600","0.008512529532466884","58","Textiles"
"Impregnated, coated or laminated textile fabrics","9654535","0.045566929646116194","59","Textiles"
"Knitted fabrics","3069912","0.014489197472873408","60","Textiles"
"Apparel, knit","110610461","0.5220530138956956","61","Textiles"
"Apparel, not knit","72126307","0.34041767487540087","62","Textiles"
"Other made up textile articles","135449205","0.6392855165844207","63","Textiles"
"Footwear","212941657","1.0050300199073705","64","Textiles"
"Headgear","5639155","0.026615365644077564","65","Textiles"
"Umbrellas and walking-sticks","2738858","0.012926707479614762","66","Textiles"
"Feathers and down","14953854","0.07057835650875917","67","Textiles"
"Articles of stone, plaster, cement, etc.","37304803","0.17606910470190684","68","Stone"
"Ceramic products","128654658","0.6072169969585423","69","Stone"
"Glass and glassware","54526281","0.2573500650410778","70","Stone"
"Precious metals and stones","3805414","0.017960578320172397","71","Stone"
"Iron and steel","178951310","0.8446042976539346","72","Metals"
"Articles of iron or steel","339442234","1.602080306881534","73","Metals"
"Copper","14499596","0.06843437522667926","74","Metals"
"Nickel","1166858","0.005507270561762721","75","Metals"
"Aluminium","126039928","0.5948761418108226","76","Metals"
"Lead","3624388","0.017106182017697154","78","Metals"
"Zinc","1926508","0.009092623777186578","79","Metals"
"Tin","288787","0.001363000591091436","80","Metals"
"Other base metals","567105","0.0026765901865766425","81","Metals"
"Metal tools and tableware","43016369","0.20302623169882067","82","Metals"
"Miscellaneous articles of base metal","64430508","0.3040954769027744","83","Metals"
"Industrial Machinery","1510820632","7.13068598811282","84","Machinery"
"Electrical machinery and equipment","754661954","3.5618109173065897","85","Electronics"
"Trains","9458278","0.04464064692907619","86","Vehicles"
"Vehicles","601080271","2.8369447539757697","87","Vehicles"
"Aircraft","56463530","0.2664933835841261","88","Vehicles"
"Ships","713022200","3.3652819554249884","89","Vehicles"
"Apparatuses (optical, medical, etc.)","164445321","0.7761397491065074","90","Machinery"
"Clocks","11930461","0.05630871678778244","91","Machinery"
"Musical instruments","794742","0.003750978457358503","92","Machinery"
"Arms and ammunition","12019544","0.056729165705691476","93","Machinery"
"Furniture","226270305","1.0679378208210186","94","Textiles"
"Toys","29472666","0.13910342632819506","95","Machinery"
"Miscellaneous manufactured articles","30100038","0.14206446130149447","96","Machinery"
"Art","818271","0.003862029304203377","97","Textiles"
"Other","158457712","0.7478797699307674","99","Other"
"Unspecified","2783286272","13.136397531442482","unspecified","Services"
"Travel and tourism","554962112","2.6192788688180273","travel","Services"
"Transport","3320012544","15.669607911377529","transport","Services"
"ICT","2654196736","12.527128021832562","ict","Services"
"Insurance and finance","777050176","3.6674775845024343","financial","Services"
