"Name","Gross Export","Share","Code","Sector"
"Live animals","33751591","0.04462490606583083","01","Agriculture"
"Meat","2203015006","2.91273195697251","02","Agriculture"
"Fish","1718426350","2.2720296192792375","03","Agriculture"
"Diary products","846010255","1.1185584750687632","04","Agriculture"
"Animal products","89008460","0.11768316837461859","05","Agriculture"
"Plants","2709222","0.0035820171339917685","06","Agriculture"
"Vegetables","546145986","0.7220907993190769","07","Agriculture"
"Fruits and nuts","961092298","1.27071501662969","08","Agriculture"
"Coffee, tea and spices","179155101","0.23687119085258637","09","Agriculture"
"Cereals","6817564725","9.013891684420058","10","Agriculture"
"Flours, starches and malts","423076507","0.5593736124479235","11","Agriculture"
"Oil seeds and oleaginous fruits","1599614200","2.1149412902215228","12","Agriculture"
"Lac and other vegetable extracts","10569596","0.013974666517314141","13","Agriculture"
"Other vegetable materials","1714199","0.002266440398413845","14","Agriculture"
"Animal or vegetable fats, oils or waxes","3719308352","4.91750998753985","15","Agriculture"
"Preparations of meat or fish","151830975","0.20074440334556407","16","Agriculture"
"Sugar and candy","117665052","0.1555716852794021","17","Agriculture"
"Cocoa","93015734","0.12298141419153567","18","Agriculture"
"Preparations of cereals, flour, starch or milk","201172283","0.2659813646095598","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","948024540","1.253437387458342","20","Agriculture"
"Miscellaneous edible preparations","142073791","0.18784387313153572","21","Agriculture"
"Beverages","798078835","1.0551856072504169","22","Agriculture"
"Food residues and animal feed","9054700414","11.971736545071005","23","Agriculture"
"Tobacco","274140531","0.36245685261805843","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","83444306","0.11032648259391517","25","Minerals"
"Ores, slag and ash","470589006","0.6221926008869538","26","Minerals"
"Mineral fuels, oils and waxes","2842868795","3.7587191944331364","27","Minerals"
"Inorganic chemicals","453000974","0.598938459300478","28","Chemicals"
"Organic chemicals","436495496","0.5771156241837085","29","Chemicals"
"Pharmaceutical products","610703160","0.807445526022938","30","Chemicals"
"Fertilisers","38388285","0.05075534401188207","31","Chemicals"
"Dyes, paints, inks, etc.","116617973","0.1541872823332268","32","Chemicals"
"Essential oils","555976775","0.7350886469072989","33","Chemicals"
"Soaps, waxes, and paints","133431329","0.17641718053717736","34","Chemicals"
"Albuminoidals; modified starches; glues; enzymes","155162035","0.20514858801347044","35","Chemicals"
"Explosives","4053473","0.005359328153312285","36","Chemicals"
"Photographic or cinematographic goods","218622","0.0002890526320351556","37","Chemicals"
"Miscellaneous chemical products","1745159083","2.3073744923256054","38","Chemicals"
"Plastics","803023465","1.0617231849687618","39","Chemicals"
"Rubber","224363116","0.29664328938262813","40","Chemicals"
"Leather and skins","646508214","0.854785432797466","41","Agriculture"
"Articles of leather","16018970","0.021179595104757053","42","Agriculture"
"Furskins","24974202","0.03301981877888615","43","Agriculture"
"Wood","103329441","0.1366177552477396","44","Agriculture"
"Cork","276388","0.0003654283597393336","45","Agriculture"
"Manufactues of plaiting materials","18928","0.000025025789806887804","46","Agriculture"
"Pulp of wood","146212079","0.19331534004026174","47","Agriculture"
"Paper and paperboard","250843877","0.33165501585729174","48","Agriculture"
"Products of the printing industry","31364144","0.04146832603639905","49","Agriculture"
"Wool","234875221","0.31054194376544375","51","Textiles"
"Cotton","149444474","0.1975890740767598","52","Textiles"
"Other vegetable textile fibres","309954","0.00040980788534468","53","Textiles"
"Man-made filaments","28868755","0.03816902972403536","54","Textiles"
"Man-made staple fibres","5520629","0.007299138892424408","55","Textiles"
"Wadding, felt and nonwovens","38681972","0.05114364436749363","56","Textiles"
"Carpets","2993090","0.003957335228925286","57","Textiles"
"Special woven fabrics","1310867","0.001733172126309467","58","Textiles"
"Impregnated, coated or laminated textile fabrics","4089517","0.005406983984239982","59","Textiles"
"Knitted fabrics","756252","0.000999883959902711","60","Textiles"
"Apparel, knit","10649324","0.014080079459501566","61","Textiles"
"Apparel, not knit","9234717","0.01220974675444281","62","Textiles"
"Other made up textile articles","4662781","0.006164929058619512","63","Textiles"
"Footwear","8878903","0.011739304743963732","64","Textiles"
"Headgear","750481","0.0009922537912121178","65","Textiles"
"Umbrellas and walking-sticks","66574","0.00008802128754246348","66","Textiles"
"Feathers and down","39700","0.00005248963732742211","67","Textiles"
"Articles of stone, plaster, cement, etc.","42700792","0.056457155810420344","68","Stone"
"Ceramic products","10323573","0.013649385458266173","69","Stone"
"Glass and glassware","37391028","0.04943681357731701","70","Stone"
"Precious metals and stones","2253504286","2.9794867175801336","71","Stone"
"Iron and steel","280672487","0.371093124695607","72","Metals"
"Articles of iron or steel","653985127","0.8646710864926471","73","Metals"
"Copper","11400294","0.015072979785541219","74","Metals"
"Nickel","831503","0.0010993776047018506","75","Metals"
"Aluminium","694408049","0.9181165402834449","76","Metals"
"Lead","56848518","0.07516267235318458","78","Metals"
"Zinc","1623508","0.0021465326478128065","79","Metals"
"Tin","152879","0.0002021300570523669","80","Metals"
"Other base metals","1179309","0.0015592317810318602","81","Metals"
"Metal tools and tableware","27261144","0.03604351540782442","82","Metals"
"Miscellaneous articles of base metal","29613144","0.03915322893412408","83","Metals"
"Industrial Machinery","893183657","1.1809291239977477","84","Machinery"
"Electrical machinery and equipment","123678434","0.1635223210550003","85","Electronics"
"Trains","2740788","0.0036237523453740705","86","Vehicles"
"Vehicles","5635338163","7.45080242804159","87","Vehicles"
"Aircraft","31677851","0.04188309597738327","88","Vehicles"
"Ships","9612213","0.012708855775413906","89","Vehicles"
"Apparatuses (optical, medical, etc.)","92464896","0.12225311981253913","90","Machinery"
"Clocks","1138250","0.0015049453321898795","91","Machinery"
"Musical instruments","1083046","0.0014319569710054209","92","Machinery"
"Arms and ammunition","7427939","0.00982090237280137","93","Machinery"
"Furniture","33783179","0.04466667036466959","94","Textiles"
"Toys","7068903","0.009346200372108971","95","Machinery"
"Miscellaneous manufactured articles","8206988","0.010850927548375449","96","Machinery"
"Art","13177116","0.017422217628749903","97","Textiles"
"Other","8628549632","11.408298258069056","99","Other"
"Unspecified","6066742784","8.02118711564018","unspecified","Services"
"Travel and tourism","5562807296","7.354905226432687","travel","Services"
"Transport","1811260032","2.3947703321243066","transport","Services"
"ICT","1078930304","1.4265153742701584","ict","Services"
"Insurance and finance","197170112","0.26068986576038283","financial","Services"
