"Name","Gross Import","Share","Code","Sector"
"Live animals","19951956","0.023690483493965374","01","Agriculture"
"Meat","145746377","0.17305582162589747","02","Agriculture"
"Fish","67121042","0.07969794728891526","03","Agriculture"
"Diary products","27682943","0.03287007570615554","04","Agriculture"
"Animal products","34293415","0.040719194750088894","05","Agriculture"
"Plants","10185968","0.01209457893622357","06","Agriculture"
"Vegetables","26391359","0.03133647922904474","07","Agriculture"
"Fruits and nuts","273171032","0.3243568612834495","08","Agriculture"
"Coffee, tea and spices","109152632","0.12960526911340806","09","Agriculture"
"Cereals","40887606","0.04854898211738035","10","Agriculture"
"Flours, starches and malts","28289607","0.03359041427739051","11","Agriculture"
"Oil seeds and oleaginous fruits","2606574156","3.094984873589072","12","Agriculture"
"Lac and other vegetable extracts","61559157","0.07309389579702978","13","Agriculture"
"Other vegetable materials","6179209","0.007337047496509229","14","Agriculture"
"Animal or vegetable fats, oils or waxes","127055782","0.1508630485293704","15","Agriculture"
"Preparations of meat or fish","139410437","0.1655326754246551","16","Agriculture"
"Sugar and candy","42045566","0.049923916598324077","17","Agriculture"
"Cocoa","186755089","0.22174860216053674","18","Agriculture"
"Preparations of cereals, flour, starch or milk","67738509","0.08043111308837714","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","130570732","0.15503661752466658","20","Agriculture"
"Miscellaneous edible preparations","176451145","0.20951394129546955","21","Agriculture"
"Beverages","142745727","0.16949292035966734","22","Agriculture"
"Food residues and animal feed","88731160","0.10535729335912733","23","Agriculture"
"Tobacco","54435956","0.06463597439249692","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","155711561","0.18488824683104166","25","Minerals"
"Ores, slag and ash","527617835","0.6264810132494902","26","Minerals"
"Mineral fuels, oils and waxes","6117016738","7.263201866719178","27","Minerals"
"Inorganic chemicals","671456205","0.797271312219871","28","Chemicals"
"Organic chemicals","2053858382","2.4387031576108846","29","Chemicals"
"Pharmaceutical products","2324834826","2.7604542166967923","30","Chemicals"
"Fertilisers","868319176","1.0310217758359939","31","Chemicals"
"Dyes, paints, inks, etc.","372210243","0.44195369206289054","32","Chemicals"
"Essential oils","523138324","0.6211621471991373","33","Chemicals"
"Soaps, waxes, and paints","333919558","0.3964882328886057","34","Chemicals"
"Albuminoidals; modified starches; glues; enzymes","141359842","0.16784735309212556","35","Chemicals"
"Explosives","21846708","0.025940267474100345","36","Chemicals"
"Photographic or cinematographic goods","42502332","0.05046626980838552","37","Chemicals"
"Miscellaneous chemical products","1203488002","1.4289933601781384","38","Chemicals"
"Plastics","2107351995","2.5022202160791904","39","Chemicals"
"Rubber","856092709","1.016504356358274","40","Chemicals"
"Leather and skins","14665352","0.017413294189762254","41","Agriculture"
"Articles of leather","147930195","0.1756488357786364","42","Agriculture"
"Furskins","1097984","0.001303720388549277","43","Agriculture"
"Wood","111435837","0.1323162930534087","44","Agriculture"
"Cork","24632189","0.02924768212824524","45","Agriculture"
"Manufactues of plaiting materials","3302183","0.003920934461541167","46","Agriculture"
"Pulp of wood","150615013","0.17883672555311772","47","Agriculture"
"Paper and paperboard","748565169","0.8888286832805715","48","Agriculture"
"Products of the printing industry","159249440","0.1890890411818886","49","Agriculture"
"Silk","948552","0.0011262883448203195","50","Textiles"
"Wool","2474693","0.0029383922894142137","51","Textiles"
"Cotton","94310714","0.11198232460622352","52","Textiles"
"Other vegetable textile fibres","8373218","0.009942162203062887","53","Textiles"
"Man-made filaments","169010289","0.2006788438118457","54","Textiles"
"Man-made staple fibres","199485769","0.2368647123006631","55","Textiles"
"Wadding, felt and nonwovens","103625400","0.123042363779048","56","Textiles"
"Carpets","25675983","0.03048705858477412","57","Textiles"
"Special woven fabrics","27939940","0.03317522790208553","58","Textiles"
"Impregnated, coated or laminated textile fabrics","94189393","0.11183827090301911","59","Textiles"
"Knitted fabrics","141833774","0.168410088807023","60","Textiles"
"Apparel, knit","206560770","0.24526540215835368","61","Textiles"
"Apparel, not knit","271439187","0.322300509245253","62","Textiles"
"Other made up textile articles","104990330","0.12466304957223129","63","Textiles"
"Footwear","480269195","0.5702603512561645","64","Textiles"
"Headgear","34988025","0.04154395833415771","65","Textiles"
"Umbrellas and walking-sticks","8422673","0.01000088390740075","66","Textiles"
"Feathers and down","9345142","0.01109620191121926","67","Textiles"
"Articles of stone, plaster, cement, etc.","128714993","0.15283315666355562","68","Stone"
"Ceramic products","209329230","0.24855260647725372","69","Stone"
"Glass and glassware","231576615","0.27496862840143965","70","Stone"
"Precious metals and stones","127084354","0.15089697425045706","71","Stone"
"Iron and steel","960687747","1.140698045502821","72","Metals"
"Articles of iron or steel","822683204","0.9768346955619062","73","Metals"
"Copper","240037742","0.28501517168440627","74","Metals"
"Nickel","25317308","0.030061176322042686","75","Metals"
"Aluminium","361159536","0.4288323423676453","76","Metals"
"Lead","1319418","0.001566645914347486","78","Metals"
"Zinc","109111594","0.12955654155699078","79","Metals"
"Tin","16247226","0.01929157418830139","80","Metals"
"Other base metals","16558801","0.0196615310183301","81","Metals"
"Metal tools and tableware","313474822","0.37221263400764987","82","Metals"
"Miscellaneous articles of base metal","300135551","0.3563738972217913","83","Metals"
"Industrial Machinery","8733239418","10.369643170873912","84","Machinery"
"Electrical machinery and equipment","5790241667","6.875196829731083","85","Electronics"
"Trains","222866761","0.26462675252611956","86","Vehicles"
"Vehicles","10298733721","12.228474302273677","87","Vehicles"
"Aircraft","229369365","0.2723477916427752","88","Vehicles"
"Ships","144888183","0.17203682224600608","89","Vehicles"
"Apparatuses (optical, medical, etc.)","1692888991","2.010096588946026","90","Machinery"
"Clocks","63718107","0.07565738227120286","91","Machinery"
"Musical instruments","21567446","0.025608678340609287","92","Machinery"
"Arms and ammunition","21185890","0.025155627716398638","93","Machinery"
"Furniture","509172828","0.6045798455705129","94","Textiles"
"Toys","368895674","0.43801805075613803","95","Machinery"
"Miscellaneous manufactured articles","137005275","0.1626768426100021","96","Machinery"
"Art","20380105","0.024198857550998067","97","Textiles"
"Other","1823983744","2.165755416686623","99","Other"
"Travel and tourism","12980673536","15.412946587550671","travel","Services"
"Transport","5984332800","7.10565607807052","transport","Services"
"ICT","4113645056","4.884445429771411","ict","Services"
"Insurance and finance","919831680","1.0921865120525747","financial","Services"
