"Name","Gross Export","Share","Code","Sector"
"Bovine","1041588","0.023558678065012672","0102","Agriculture"
"Sheep","1072134","0.024249568686039294","0104","Agriculture"
"Fowl","45367","0.0010261125778862946","0105","Agriculture"
"Other live animals","2618","0.00005921402625049748","0106","Agriculture"
"Beef","6471","0.00014636133073604631","0201","Agriculture"
"Pork","2039","0.00004611818163665561","0203","Agriculture"
"Lamb","14316757","0.3238169689915942","0204","Agriculture"
"Edible offal","4583","0.00010365847299695568","0206","Agriculture"
"Poultry","63895","0.0014451796055292348","0207","Agriculture"
"Pig and poultry fat","2127","0.00004810856907364711","0209","Agriculture"
"Preserved meat","3826","0.00008653661743101734","0210","Agriculture"
"Live Fish","611180","0.013823693110687187","0301","Agriculture"
"Fish, excluding fillets","19961680","0.45149405787778096","0302","Agriculture"
"Frozen fish, excluding fillets","198314","0.004485473797494713","0303","Agriculture"
"Fish fillets","26428","0.0005977495361910418","0304","Agriculture"
"Preserved fish","395983","0.00895635895979784","0305","Agriculture"
"Crustaceans","254292","0.005751586387811882","0306","Agriculture"
"Molluscs","801","0.000018117049284434108","0307","Agriculture"
"Milk","2036","0.000046050327519485445","0401","Agriculture"
"Milk, concentrated","609627","0.013788567296032098","0402","Agriculture"
"Fermented milk products","491607","0.011119186326557798","0403","Agriculture"
"Butter","460511","0.01041585578404998","0405","Agriculture"
"Cheese","6816840","0.15418355336342296","0406","Agriculture"
"Honey","125275","0.0028334748428308146","0409","Agriculture"
"Animal guts, except fish","10727","0.00024262370496145398","0504","Agriculture"
"Animal products n.e.c.","1576","0.00003564602955339344","0511","Agriculture"
"Flower bulbs","1093","0.00002472151668899685","0601","Agriculture"
"Other live plants","113604","0.0025694997089998153","0602","Agriculture"
"Cut flowers","6039923","0.13661121431359188","0603","Agriculture"
"Potatoes","45369","0.001026157813964408","0701","Agriculture"
"Tomatoes","21524444","0.48684071506621973","0702","Agriculture"
"Onions, shallots, garlic","18226","0.00041223637984781023","0703","Agriculture"
"Cabbages, cauliflowers, broccoli","468701","0.01060109752392453","0704","Agriculture"
"Lettuce","3436","0.00007771558219889586","0705","Agriculture"
"Carrots & turnips","618189","0.013982222946435748","0706","Agriculture"
"Cucumbers","960183","0.02171745659560024","0707","Agriculture"
"Legumes","6263","0.0001416567786122482","0708","Agriculture"
"Other vegetables","2394487","0.05415860048681244","0709","Agriculture"
"Frozen vegetables","56004","0.0012667006593326438","0710","Agriculture"
"Vegetables, provisionally preserved","137228","0.00310382826367581","0711","Agriculture"
"Vegetables, dried","85798","0.001940582514988611","0712","Agriculture"
"Legumes, dried","171318","0.0038748772151194536","0713","Agriculture"
"Cashew nuts & coconuts","21168","0.0004787786507526856","0801","Agriculture"
"Other nuts","1316818","0.029783840954594194","0802","Agriculture"
"Bananas and plantains","125501","0.0028385865196576335","0803","Agriculture"
"Avocados, pineapples, mangos, etc.","81530","0.0018440487242945226","0804","Agriculture"
"Citrus fruit","1009703","0.0228375018896891","0805","Agriculture"
"Grapes","4406915","0.09967577558965283","0806","Agriculture"
"Melons and papayas","33076","0.000748114259840128","0807","Agriculture"
"Apples & pears","4126936","0.09334319963259094","0808","Agriculture"
"Peaches & cherries","9091117","0.2056232393752269","0809","Agriculture"
"Other fresh fruit","3238871","0.07325691077768337","0810","Agriculture"
"Fruits and nuts, frozen","69910","0.001581227110455416","0811","Agriculture"
"Fruits and nuts, provisionally preserved","8045","0.00018196212421132631","0812","Agriculture"
"Fruits, dried","1053651","0.023831519470153904","0813","Agriculture"
"Coffee","3927983","0.08884327290813898","0901","Agriculture"
"Tea","58976","0.0013339214714092205","0902","Agriculture"
"Pepper","20042","0.0004533107387748169","0904","Agriculture"
"Spices","69335","0.0015682217379978012","0910","Agriculture"
"Wheat and meslin","6314","0.000142810298604141","1001","Agriculture"
"Other cereals","28870","0.0006529827875675563","1008","Agriculture"
"Wheat or meslin flour","21282","0.00048135710720515184","1101","Agriculture"
"Cereal meals","79795","0.0018048064265311105","1103","Agriculture"
"Worked cereal grains","63568","0.0014377835067576868","1104","Agriculture"
"Sunflower seeds","35109","0.0007940967332424432","1206","Agriculture"
"Plants used in perfumery, pharmacy or insecticide","531170","0.01201402380575888","1211","Agriculture"
"Seaweeds & edible vegetable products","15531","0.00035128076458994516","1212","Agriculture"
"Vegetable products n.e.c.","5649","0.00012776930263142105","1404","Agriculture"
"Olive oil","3888","0.00008793893585253408","1509","Agriculture"
"Sunflower seed oil","32641","0.000738275412850454","1512","Agriculture"
"Other vegetable fats and oils","19453","0.0004399887137704078","1515","Agriculture"
"Vegetable fats, hydrogenated","1718","0.00003885779109944793","1516","Agriculture"
"Margarine","19353","0.0004377269098647356","1517","Agriculture"
"Sausages","1682331","0.03805102826433372","1601","Agriculture"
"Other prepared or preserved meat","483584","0.01093772179920572","1602","Agriculture"
"Prepared or preserved fish","3613333","0.0817265069189415","1604","Agriculture"
"Prepared aquatic invertibrates","97137","0.0021970484598527787","1605","Agriculture"
"Sugarcane & sucrose","1341","0.000030330790375063838","1701","Agriculture"
"Molasses","11537","0.0002609443165973986","1703","Agriculture"
"Confectionery sugar","960885","0.02173333445901806","1704","Agriculture"
"Chocolates","15129976","0.3422103880952624","1806","Agriculture"
"Pasta","69582","0.0015738083936448115","1902","Agriculture"
"Cereal foods","30796","0.0006965451307908024","1904","Agriculture"
"Bakery products","1016329","0.022987369016478937","1905","Agriculture"
"Pickled fruits and vegetables","2090737","0.047288371123333214","2001","Agriculture"
"Tomatoes, prepared or preserved","812453","0.018376093685750737","2002","Agriculture"
"Mushrooms, prepared or preserved","207367","0.004690234905075215","2003","Agriculture"
"Other vegetables, frozen","11514","0.00026042410169909396","2004","Agriculture"
"Other vegetables, prepared or preserved","7362094","0.1665161296312567","2005","Agriculture"
"Vegetables, fruits and nuts, preserved by sugar","24417","0.0005522646596479745","2006","Agriculture"
"Jams, jellies and marmalades","3594310","0.08129624396196548","2007","Agriculture"
"Fruits and nuts, otherwise prepared","7776306","0.17588479282501954","2008","Agriculture"
"Fruit juices","2311703","0.052286188741540784","2009","Agriculture"
"Coffee extracts","336138","0.007602782412448328","2101","Agriculture"
"Yeasts","1221","0.000027616625688257232","2102","Agriculture"
"Sauces and seasonings","1569223","0.03549274710270604","2103","Agriculture"
"Soups and broths","248512","0.00562085412206403","2104","Agriculture"
"Ice cream","460161","0.010407939470380127","2105","Agriculture"
"Food preparations n.e.c.","648226","0.0146616009855825","2106","Agriculture"
"Waters","6345446","0.14352154546031864","2201","Agriculture"
"Waters, flavored or sweetened","2298096","0.05197842508409598","2202","Agriculture"
"Beer","816475","0.018467063438836875","2203","Agriculture"
"Wine","8674196","0.1961933039136594","2204","Agriculture"
"Wine, flavored","317514","0.007181544053055943","2205","Agriculture"
"Other fermented beverages","7890576","0.1784693561480311","2206","Agriculture"
"Ethyl alcohol > 80%","2498792","0.0565177750506238","2207","Agriculture"
"Spirits < 80% alcohol","186643632","4.221512958264397","2208","Agriculture"
"Vinegars","5663","0.00012808595517821515","2209","Agriculture"
"Animal feed","15821","0.0003578399959163945","2309","Agriculture"
"Cigars and cigarettes","233932272","5.2910892647236505","2402","Agriculture"
"Other manufactured tobacco","1360421","0.03077005531158443","2403","Agriculture"
"Salt","30881","0.0006984676641106237","2501","Minerals"
"Sulphur, crude","3573","0.00008081425354966674","2503","Minerals"
"Quartz","5528","0.00012503251990555772","2506","Minerals"
"Clays","2224816","0.05032097518201941","2508","Minerals"
"Chalk","9902","0.00022396382273965856","2509","Minerals"
"Siliceous fossil meals and earths","1772860","0.04009861672209968","2512","Minerals"
"Marble","134313","0.0030378966798254655","2515","Minerals"
"Granite","361999","0.00818770752049421","2516","Minerals"
"Gravel","16587","0.00037516541383384334","2517","Minerals"
"Gypsum","37091","0.0008389256866528657","2520","Minerals"
"Quicklime","3947","0.00008927340015688066","2522","Minerals"
"Cements","206507","0.004670783391486434","2523","Minerals"
"Mineral substances n.e.c.","1656378","0.03746402229669463","2530","Minerals"
"Copper ore","629700928","14.242600183557919","2603","Minerals"
"Zinc ore","6568909","0.14857584032205087","2608","Minerals"
"Molybdenum ore","15084724","0.34118687659186764","2613","Minerals"
"Zirconium ore","61529","0.0013916653251210313","2615","Minerals"
"Precious metal ores","6502680","0.14707787021336324","2616","Minerals"
"Other ores","25","5.654509764180432e-7","2617","Minerals"
"Granulated iron or steel slag","247015","0.005586994917596118","2618","Minerals"
"Slag, ash and residues containing metals","154340","0.0034908681480144313","2620","Minerals"
"Peat","1095521","0.024778536765458846","2703","Minerals"
"Petroleum oils, refined","21675160","0.49024961544069257","2710","Minerals"
"Petroleum gases","2239637","0.05065619713887908","2711","Minerals"
"Bituminous mixtures","1819","0.00004114221304417682","2715","Minerals"
"Electrical energy","80038312","1.8103096668500795","2716","Minerals"
