"Name","Gross Import","Share","Code","Sector"
"Live animals","5969160","0.09775418195952647","01","Agriculture"
"Meat","39895962","0.6533577804579461","02","Agriculture"
"Fish","3315300","0.05429313998123993","03","Agriculture"
"Diary products","41262947","0.6757442637195682","04","Agriculture"
"Animal products","6044883","0.09899426262758049","05","Agriculture"
"Plants","8791846","0.14398000952297055","06","Agriculture"
"Vegetables","7437262","0.12179661172236492","07","Agriculture"
"Fruits and nuts","35109392","0.5749703298380916","08","Agriculture"
"Coffee, tea and spices","11975440","0.196116261049359","09","Agriculture"
"Cereals","47514147","0.7781172847586074","10","Agriculture"
"Flours, starches and malts","8983919","0.1471255005119057","11","Agriculture"
"Oil seeds and oleaginous fruits","10458733","0.17127784960498701","12","Agriculture"
"Lac and other vegetable extracts","4634329","0.07589426993518525","13","Agriculture"
"Other vegetable materials","23479","0.00038450476084201496","14","Agriculture"
"Animal or vegetable fats, oils or waxes","40821439","0.6685138907075218","15","Agriculture"
"Preparations of meat or fish","5773740","0.09455387869432154","16","Agriculture"
"Sugar and candy","23094051","0.3782006285032709","17","Agriculture"
"Cocoa","35794472","0.5861895692246775","18","Agriculture"
"Preparations of cereals, flour, starch or milk","26406890","0.43245346582185773","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","16973373","0.27796510609682334","20","Agriculture"
"Miscellaneous edible preparations","23881375","0.3910942707506059","21","Agriculture"
"Beverages","34536746","0.565592370245386","22","Agriculture"
"Food residues and animal feed","32261890","0.528338102081068","23","Agriculture"
"Tobacco","89345169","1.4631646509107887","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","38092403","0.6238217260280529","25","Minerals"
"Ores, slag and ash","2079928","0.0340620221563359","26","Minerals"
"Mineral fuels, oils and waxes","526108373","8.61583432588043","27","Minerals"
"Inorganic chemicals","24277537","0.39758203322195024","28","Chemicals"
"Organic chemicals","7283563","0.11927955404373053","29","Chemicals"
"Pharmaceutical products","92912001","1.5215770145175713","30","Chemicals"
"Fertilisers","18532112","0.30349185623141683","31","Chemicals"
"Dyes, paints, inks, etc.","20080376","0.32884706211924436","32","Chemicals"
"Essential oils","50229376","0.8225833385631265","33","Chemicals"
"Soaps, waxes, and paints","20116095","0.3294320157183122","34","Chemicals"
"Albuminoidals; modified starches; glues; enzymes","4176290","0.06839317635576041","35","Chemicals"
"Explosives","1759020","0.028806659756221355","36","Chemicals"
"Photographic or cinematographic goods","1396709","0.02287325950896077","37","Chemicals"
"Miscellaneous chemical products","18692707","0.30612184652348307","38","Chemicals"
"Plastics","90658669","1.484675234980212","39","Chemicals"
"Rubber","36843230","0.6033645955874335","40","Chemicals"
"Leather and skins","1734146","0.02839930972337565","41","Agriculture"
"Articles of leather","7482992","0.12254551085407007","42","Agriculture"
"Furskins","254185","0.004162670583697244","43","Agriculture"
"Wood","32382186","0.5303081342251222","44","Agriculture"
"Cork","2984439","0.04887478188775426","45","Agriculture"
"Manufactues of plaiting materials","84987","0.0013917929260053804","46","Agriculture"
"Pulp of wood","52303","0.0008565421230171605","47","Agriculture"
"Paper and paperboard","69939896","1.1453734394478214","48","Agriculture"
"Products of the printing industry","32887854","0.5385892259839477","49","Agriculture"
"Silk","49743","0.0008146181829960541","50","Textiles"
"Wool","332626","0.005447262684945529","51","Textiles"
"Cotton","16139196","0.2643041738644067","52","Textiles"
"Other vegetable textile fibres","628982","0.010300548297795148","53","Textiles"
"Man-made filaments","21583997","0.3534711701733365","54","Textiles"
"Man-made staple fibres","22788913","0.37320352412430197","55","Textiles"
"Wadding, felt and nonwovens","5374109","0.08800930600894077","56","Textiles"
"Carpets","4168124","0.06825944553770871","57","Textiles"
"Special woven fabrics","4598477","0.07530713825642091","58","Textiles"
"Impregnated, coated or laminated textile fabrics","5394774","0.08834772718883771","59","Textiles"
"Knitted fabrics","2813225","0.046070889127295775","60","Textiles"
"Apparel, knit","41395272","0.6779112892521044","61","Textiles"
"Apparel, not knit","65886536","1.0789934310400278","62","Textiles"
"Other made up textile articles","7151975","0.11712459802048938","63","Textiles"
"Footwear","16375217","0.26816938099242293","64","Textiles"
"Headgear","1083372","0.017741883886150833","65","Textiles"
"Umbrellas and walking-sticks","447383","0.00732658517908698","66","Textiles"
"Feathers and down","176858","0.0028963219469737675","67","Textiles"
"Articles of stone, plaster, cement, etc.","13219349","0.21648718538830997","68","Stone"
"Ceramic products","26799064","0.4388759186553879","69","Stone"
"Glass and glassware","29515855","0.4833675526139355","70","Stone"
"Precious metals and stones","241401954","3.9533285314351163","71","Stone"
"Iron and steel","80791718","1.3230887264195883","72","Metals"
"Articles of iron or steel","68584461","1.1231761052124665","73","Metals"
"Copper","4469655","0.07319747974024943","74","Metals"
"Nickel","94207","0.0015427846162376468","75","Metals"
"Aluminium","72669525","1.1900753154149593","76","Metals"
"Lead","648102","0.010613667724827787","78","Metals"
"Zinc","678238","0.011107191106263748","79","Metals"
"Tin","51322","0.0008404767381887598","80","Metals"
"Other base metals","253042","0.004143952199539383","81","Metals"
"Metal tools and tableware","10519699","0.172276261685974","82","Metals"
"Miscellaneous articles of base metal","13776856","0.22561722055602362","83","Metals"
"Industrial Machinery","429341468","7.031127325392888","84","Machinery"
"Electrical machinery and equipment","293433830","4.80543058167326","85","Electronics"
"Trains","3771551","0.06176495230880627","86","Vehicles"
"Vehicles","223098239","3.6535770275978408","87","Vehicles"
"Aircraft","12888976","0.21107681904589085","88","Vehicles"
"Ships","556111","0.00910717351917091","89","Vehicles"
"Apparatuses (optical, medical, etc.)","74621529","1.222042385187209","90","Machinery"
"Clocks","15036494","0.24624573147801837","91","Machinery"
"Musical instruments","749596","0.01227578818127395","92","Machinery"
"Arms and ammunition","1535401","0.025144554465760492","93","Machinery"
"Furniture","75830835","1.2418466321446953","94","Textiles"
"Toys","7342475","0.12024432871346624","95","Machinery"
"Miscellaneous manufactured articles","7178484","0.11755872369471575","96","Machinery"
"Art","322208","0.00527665190090651","97","Textiles"
"Other","291633376","4.775945376397182","99","Other"
"Travel and tourism","1497641984","24.52619246496362","travel","Services"
"Transport","560513024","9.179263437197266","transport","Services"
"ICT","84092536","1.377144701362006","ict","Services"
"Insurance and finance","85499040","1.4001783690711647","financial","Services"
