"Name","Gross Export","Share","Code","Sector"
"Live animals","1217457973","0.3850615944633214","01","Agriculture"
"Meat","8167157877","2.583135438015892","02","Agriculture"
"Fish","928164711","0.2935629742204234","03","Agriculture"
"Diary products","1618498545","0.5119040198476451","04","Agriculture"
"Animal products","278495481","0.08808346270913914","05","Agriculture"
"Plants","13012610","0.004115670902694364","06","Agriculture"
"Vegetables","872668369","0.2760104094409229","07","Agriculture"
"Fruits and nuts","1364589659","0.4315968859178846","08","Agriculture"
"Coffee, tea and spices","49505350","0.01565771421126895","09","Agriculture"
"Cereals","4298689740","1.359603667721449","10","Agriculture"
"Flours, starches and malts","579802858","0.18338194658639828","11","Agriculture"
"Oil seeds and oleaginous fruits","1364198842","0.4314732770373312","12","Agriculture"
"Lac and other vegetable extracts","44114258","0.013952601979506962","13","Agriculture"
"Other vegetable materials","377125","0.00011927832995675825","14","Agriculture"
"Animal or vegetable fats, oils or waxes","515295931","0.1629794844764811","15","Agriculture"
"Preparations of meat or fish","156889807","0.0496216219189874","16","Agriculture"
"Sugar and candy","994110602","0.31442055657638074","17","Agriculture"
"Cocoa","189990256","0.06009074032147689","18","Agriculture"
"Preparations of cereals, flour, starch or milk","848748853","0.2684450665921223","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","153920936","0.04868261767705952","20","Agriculture"
"Miscellaneous edible preparations","1196708264","0.378498808552526","21","Agriculture"
"Beverages","2249237454","0.7113961874426539","22","Agriculture"
"Food residues and animal feed","502493741","0.15893036590044102","23","Agriculture"
"Tobacco","39633956","0.012535557391474017","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","1536302843","0.48590689405597554","25","Minerals"
"Ores, slag and ash","52048029438","16.461921190334323","26","Minerals"
"Mineral fuels, oils and waxes","75761044492","23.961951243713408","27","Minerals"
"Inorganic chemicals","5642567028","1.7846495771134472","28","Chemicals"
"Organic chemicals","531803869","0.16820066916503187","29","Chemicals"
"Pharmaceutical products","2517975257","0.7963934598008596","30","Chemicals"
"Fertilisers","269755134","0.0853190371383004","31","Chemicals"
"Dyes, paints, inks, etc.","657304012","0.20789426536357175","32","Chemicals"
"Essential oils","708475948","0.22407909285242586","33","Chemicals"
"Soaps, waxes, and paints","237922414","0.0752508802153144","34","Chemicals"
"Albuminoidals; modified starches; glues; enzymes","148179967","0.046866845202008754","35","Chemicals"
"Explosives","18290785","0.005785069375931388","36","Chemicals"
"Photographic or cinematographic goods","13742306","0.004346461543081839","37","Chemicals"
"Miscellaneous chemical products","391275899","0.1237540226318839","38","Chemicals"
"Plastics","842853356","0.26658041949520456","39","Chemicals"
"Rubber","215180196","0.06805789703320626","40","Chemicals"
"Leather and skins","551282299","0.17436137079069874","41","Agriculture"
"Articles of leather","79981670","0.025296864500503953","42","Agriculture"
"Furskins","5276483","0.0016688633219362962","43","Agriculture"
"Wood","1588193003","0.5023188837834902","44","Agriculture"
"Cork","831893","0.0002631138422080676","45","Agriculture"
"Manufactues of plaiting materials","551290","0.00017436380648819691","46","Agriculture"
"Pulp of wood","174866913","0.05530747987360621","47","Agriculture"
"Paper and paperboard","913225956","0.288838095869656","48","Agriculture"
"Products of the printing industry","189377892","0.059897059830272006","49","Agriculture"
"Silk","776506","0.0002455958604743852","50","Textiles"
"Wool","2549208719","0.8062720814412384","51","Textiles"
"Cotton","1118319320","0.35370569664694074","52","Textiles"
"Other vegetable textile fibres","497956","0.0001574951543173948","53","Textiles"
"Man-made filaments","21572868","0.0068231373348825765","54","Textiles"
"Man-made staple fibres","14360458","0.004541972681880461","55","Textiles"
"Wadding, felt and nonwovens","35989866","0.011382992673112404","56","Textiles"
"Carpets","31736233","0.010037639698663732","57","Textiles"
"Special woven fabrics","4384747","0.001386822139722654","58","Textiles"
"Impregnated, coated or laminated textile fabrics","25215309","0.007975180502124271","59","Textiles"
"Knitted fabrics","9347039","0.0029563121033097457","60","Textiles"
"Apparel, knit","64722883","0.020470765380780007","61","Textiles"
"Apparel, not knit","88424810","0.02796728846813035","62","Textiles"
"Other made up textile articles","96499106","0.030521053247597456","63","Textiles"
"Footwear","77459053","0.024499002935026916","64","Textiles"
"Headgear","8117039","0.0025672836754759695","65","Textiles"
"Umbrellas and walking-sticks","1170136","0.00037009444587943327","66","Textiles"
"Feathers and down","2380397","0.0007528797581546635","67","Textiles"
"Articles of stone, plaster, cement, etc.","65915775","0.02084805716885764","68","Stone"
"Ceramic products","49785070","0.015746184968857293","69","Stone"
"Glass and glassware","68203218","0.021571537131499407","70","Stone"
"Precious metals and stones","16512696337","5.22268967095907","71","Stone"
"Iron and steel","1590836812","0.5031550763515901","72","Metals"
"Articles of iron or steel","597143521","0.18886650826484164","73","Metals"
"Copper","2442372935","0.7724817098266784","74","Metals"
"Nickel","2266953026","0.7169993265673174","75","Metals"
"Aluminium","3058007654","0.9671966747473763","76","Metals"
"Lead","798614770","0.2525884946487255","78","Metals"
"Zinc","1332655699","0.4214967084761718","79","Metals"
"Tin","11944676","0.0037779012400518965","80","Metals"
"Other base metals","229701446","0.07265072553538611","81","Metals"
"Metal tools and tableware","127200577","0.0402314150324058","82","Metals"
"Miscellaneous articles of base metal","103694358","0.03279679111217292","83","Metals"
"Industrial Machinery","3829530677","1.211216502938638","84","Machinery"
"Electrical machinery and equipment","2534498378","0.8016194466183695","85","Electronics"
"Trains","61971826","0.01960065206403927","86","Vehicles"
"Vehicles","1153427872","0.36480994444212805","87","Vehicles"
"Aircraft","1046761755","0.33107323566193","88","Vehicles"
"Ships","377534454","0.11940783340870155","89","Vehicles"
"Apparatuses (optical, medical, etc.)","2679849450","0.8475915596461044","90","Machinery"
"Clocks","103753692","0.0328155574639917","91","Machinery"
"Musical instruments","7276482","0.002301429554976234","92","Machinery"
"Arms and ammunition","47281213","0.014954256877612907","93","Machinery"
"Furniture","238495691","0.07543219814216258","94","Textiles"
"Toys","247121691","0.07816045766939358","95","Machinery"
"Miscellaneous manufactured articles","43771339","0.013844142435243277","96","Machinery"
"Art","81694158","0.02583849581296266","97","Textiles"
"Other","28232382464","8.929430377212828","99","Other"
"Travel and tourism","53852749824","17.03272406386696","travel","Services"
"Transport","6739323904","2.1315354333623606","transport","Services"
"ICT","4010144000","1.2683414761845924","ict","Services"
"Insurance and finance","4790736384","1.5152297915720223","financial","Services"
