"Name","Gross Import","Share","Code","Sector"
"Live animals","132032451","0.04615174000638453","01","Agriculture"
"Meat","523611551","0.1830276116444415","02","Agriculture"
"Fish","695078683","0.24296368369164162","03","Agriculture"
"Diary products","1028382045","0.3594693608170164","04","Agriculture"
"Animal products","75933560","0.026542459011680394","05","Agriculture"
"Plants","94268793","0.03295151148297385","06","Agriculture"
"Vegetables","241338122","0.08435936904763747","07","Agriculture"
"Fruits and nuts","694598485","0.2427958312199217","08","Agriculture"
"Coffee, tea and spices","600340181","0.2098479861507519","09","Agriculture"
"Cereals","176058290","0.061540904258822325","10","Agriculture"
"Flours, starches and malts","144409041","0.050477957989307674","11","Agriculture"
"Oil seeds and oleaginous fruits","240599360","0.08410113592773123","12","Agriculture"
"Lac and other vegetable extracts","104713001","0.036602268312358174","13","Agriculture"
"Other vegetable materials","5825334","0.0020362365326259983","14","Agriculture"
"Animal or vegetable fats, oils or waxes","585947376","0.20481700331818606","15","Agriculture"
"Preparations of meat or fish","814180799","0.28459564500274576","16","Agriculture"
"Sugar and candy","283468433","0.0990859544055062","17","Agriculture"
"Cocoa","669420602","0.23399494097418078","18","Agriculture"
"Preparations of cereals, flour, starch or milk","1448993310","0.5064933810409271","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","956628849","0.3343881416066031","20","Agriculture"
"Miscellaneous edible preparations","1843092676","0.6442502077797791","21","Agriculture"
"Beverages","1779033299","0.621858351157539","22","Agriculture"
"Food residues and animal feed","775403425","0.271041073611972","23","Agriculture"
"Tobacco","438471136","0.15326691063984013","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","476057120","0.1664050334900486","25","Minerals"
"Ores, slag and ash","767703899","0.26834971615073394","26","Minerals"
"Mineral fuels, oils and waxes","27199465933","9.50753144810081","27","Minerals"
"Inorganic chemicals","1874832476","0.6553448060119565","28","Chemicals"
"Organic chemicals","2208555018","0.7719970068610778","29","Chemicals"
"Pharmaceutical products","7174990504","2.5080068860411133","30","Chemicals"
"Fertilisers","1308203135","0.45728039209131366","31","Chemicals"
"Dyes, paints, inks, etc.","679816689","0.23762887718208886","32","Chemicals"
"Essential oils","1792920016","0.6267124317087379","33","Chemicals"
"Soaps, waxes, and paints","753079620","0.2632378219377815","34","Chemicals"
"Albuminoidals; modified starches; glues; enzymes","266414004","0.09312460500084095","35","Chemicals"
"Explosives","137765371","0.04815567336756558","36","Chemicals"
"Photographic or cinematographic goods","90964721","0.03179657820140979","37","Chemicals"
"Miscellaneous chemical products","1809050054","0.63235066166229","38","Chemicals"
"Plastics","5981520184","2.0908311728221216","39","Chemicals"
"Rubber","2895451091","1.0121004718229039","40","Chemicals"
"Leather and skins","43321836","0.015143081087476211","41","Agriculture"
"Articles of leather","1086998940","0.37995880623389755","42","Agriculture"
"Furskins","27069446","0.009462083180663407","43","Agriculture"
"Wood","1801991931","0.6298835056323752","44","Agriculture"
"Cork","24423422","0.008537169564550553","45","Agriculture"
"Manufactues of plaiting materials","39485250","0.013802008356923518","46","Agriculture"
"Pulp of wood","242042882","0.08460571682078377","47","Agriculture"
"Paper and paperboard","2348761079","0.8210058196611315","48","Agriculture"
"Products of the printing industry","810111327","0.28317316732937997","49","Agriculture"
"Silk","5272033","0.0018428310197852757","50","Textiles"
"Wool","47557461","0.016623637286228763","51","Textiles"
"Cotton","68644916","0.023994724721061986","52","Textiles"
"Other vegetable textile fibres","25788768","0.009014424157141255","53","Textiles"
"Man-made filaments","247670041","0.08657268158721522","54","Textiles"
"Man-made staple fibres","116889724","0.0408586230930913","55","Textiles"
"Wadding, felt and nonwovens","257582291","0.09003749331655504","56","Textiles"
"Carpets","420035560","0.14682278342735702","57","Textiles"
"Special woven fabrics","43244027","0.015115883071299439","58","Textiles"
"Impregnated, coated or laminated textile fabrics","200804009","0.0701907322436035","59","Textiles"
"Knitted fabrics","72744686","0.025427793013689342","60","Textiles"
"Apparel, knit","2983369656","1.0428322708835334","61","Textiles"
"Apparel, not knit","2988787731","1.0447261506596128","62","Textiles"
"Other made up textile articles","1349142265","0.4715906019642454","63","Textiles"
"Footwear","1425476685","0.49827318097187256","64","Textiles"
"Headgear","187654490","0.0655943381185182","65","Textiles"
"Umbrellas and walking-sticks","37174249","0.012994201514751854","66","Textiles"
"Feathers and down","95224750","0.03328566478079669","67","Textiles"
"Articles of stone, plaster, cement, etc.","835036497","0.291885722134978","68","Stone"
"Ceramic products","847697630","0.29631140168554737","69","Stone"
"Glass and glassware","787571351","0.27529435341489655","70","Stone"
"Precious metals and stones","5786315515","2.0225976812563227","71","Stone"
"Iron and steel","1866806246","0.6525392496704218","72","Metals"
"Articles of iron or steel","4548337608","1.5898644095130592","73","Metals"
"Copper","848212094","0.2964912317848208","74","Metals"
"Nickel","77310269","0.027023685523429763","75","Metals"
"Aluminium","1909192351","0.6673552474272407","76","Metals"
"Lead","16236664","0.0056755009077202045","78","Metals"
"Zinc","62075486","0.02169839057704051","79","Metals"
"Tin","17301223","0.006047615867469431","80","Metals"
"Other base metals","109465878","0.03826362915149252","81","Metals"
"Metal tools and tableware","871500485","0.3046316530105013","82","Metals"
"Miscellaneous articles of base metal","819464152","0.2864424329111059","83","Metals"
"Industrial Machinery","28501380805","9.962613787540144","84","Machinery"
"Electrical machinery and equipment","20518283297","7.1721343421890005","85","Electronics"
"Trains","1248439701","0.436390175731877","86","Vehicles"
"Vehicles","30294492332","10.589393161624136","87","Vehicles"
"Aircraft","1507087280","0.5268000388290092","88","Vehicles"
"Ships","726174702","0.2538332492662563","89","Vehicles"
"Apparatuses (optical, medical, etc.)","7113805450","2.4866197445990097","90","Machinery"
"Clocks","424300961","0.14831374778107467","91","Machinery"
"Musical instruments","131451387","0.04594862997963005","92","Machinery"
"Arms and ammunition","382701217","0.13377262130134163","93","Machinery"
"Furniture","4514173352","1.577922346418104","94","Textiles"
"Toys","2170588996","0.7587260423129707","95","Machinery"
"Miscellaneous manufactured articles","442038613","0.15451391673368867","96","Machinery"
"Art","196820404","0.06879826924791062","97","Textiles"
"Other","8731541504","3.052096892055452","99","Other"
"Unspecified","4352","0.0000015212349008637692","unspecified","Services"
"Travel and tourism","44679983104","15.617819317051545","travel","Services"
"Transport","16771589120","5.862483159993353","transport","Services"
"ICT","8402059776","2.936927061212046","ict","Services"
"Insurance and finance","3158037504","1.103887148281596","financial","Services"
