"Name","Gross Export","Share","Code","Sector"
"Live animals","154846589","0.06199485655765682","01","Agriculture"
"Meat","1251847591","0.5011935512256794","02","Agriculture"
"Fish","53085024","0.02125328345618107","03","Agriculture"
"Diary products","1436832123","0.5752545273232884","04","Agriculture"
"Animal products","66875257","0.026774383547909057","05","Agriculture"
"Plants","41035795","0.016429217079844172","06","Agriculture"
"Vegetables","185521579","0.0742759898860607","07","Agriculture"
"Fruits and nuts","293336748","0.11744120250107366","08","Agriculture"
"Coffee, tea and spices","160962245","0.06444333940073689","09","Agriculture"
"Cereals","449359547","0.179906970111422","10","Agriculture"
"Flours, starches and malts","217383162","0.087032191236966","11","Agriculture"
"Oil seeds and oleaginous fruits","384297341","0.1538584652373836","12","Agriculture"
"Lac and other vegetable extracts","16869834","0.006754058618504551","13","Agriculture"
"Other vegetable materials","3917117","0.001568269008073268","14","Agriculture"
"Animal or vegetable fats, oils or waxes","370774245","0.14844431693647772","15","Agriculture"
"Preparations of meat or fish","547042014","0.21901542299353907","16","Agriculture"
"Sugar and candy","283298056","0.11342208090087814","17","Agriculture"
"Cocoa","415567103","0.16637772331275566","18","Agriculture"
"Preparations of cereals, flour, starch or milk","1176852338","0.471168221108526","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","792127740","0.3171386979447179","20","Agriculture"
"Miscellaneous edible preparations","841899949","0.3370656525999006","21","Agriculture"
"Beverages","2957049044","1.1838932487995342","22","Agriculture"
"Food residues and animal feed","880913042","0.3526850544867935","23","Agriculture"
"Tobacco","2689767","0.0010768833877155596","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","370882534","0.14848767185352904","25","Minerals"
"Ores, slag and ash","97677484","0.039106457872913294","26","Minerals"
"Mineral fuels, oils and waxes","4260948109","1.7059262882250126","27","Minerals"
"Inorganic chemicals","1021322576","0.4088998473076895","28","Chemicals"
"Organic chemicals","2313002925","0.926040964020303","29","Chemicals"
"Pharmaceutical products","9779781448","3.915463375392746","30","Chemicals"
"Fertilisers","269192787","0.10777485202738864","31","Chemicals"
"Dyes, paints, inks, etc.","780399809","0.3124432674237195","32","Chemicals"
"Essential oils","498229966","0.19947288134901206","33","Chemicals"
"Soaps, waxes, and paints","603049333","0.2414386854625879","34","Chemicals"
"Albuminoidals; modified starches; glues; enzymes","260216559","0.10418110178153192","35","Chemicals"
"Explosives","54924159","0.02198960520050549","36","Chemicals"
"Photographic or cinematographic goods","32879260","0.013163641644194717","37","Chemicals"
"Miscellaneous chemical products","1861646948","0.7453346970546416","38","Chemicals"
"Plastics","7662257242","3.06768487244919","39","Chemicals"
"Rubber","763856591","0.30581997379138737","40","Chemicals"
"Leather and skins","530790356","0.2125088592194149","41","Agriculture"
"Articles of leather","212930026","0.0852493200136823","42","Agriculture"
"Furskins","11160316","0.0044681784340636806","43","Agriculture"
"Wood","4927652671","1.9728501769231706","44","Agriculture"
"Cork","7383027","0.0029558913940707296","45","Agriculture"
"Manufactues of plaiting materials","5603375","0.0022433844465489664","46","Agriculture"
"Pulp of wood","750923131","0.30064189397269536","47","Agriculture"
"Paper and paperboard","5142415367","2.0588332303338963","48","Agriculture"
"Products of the printing industry","513912079","0.20575142033546634","49","Agriculture"
"Silk","5536713","0.0022166954432293875","50","Textiles"
"Wool","72492177","0.029023190912311723","51","Textiles"
"Cotton","396721111","0.15883248400027236","52","Textiles"
"Other vegetable textile fibres","8526643","0.0034137530126888914","53","Textiles"
"Man-made filaments","106882997","0.042792005366469286","54","Textiles"
"Man-made staple fibres","1071575880","0.42901941463653986","55","Textiles"
"Wadding, felt and nonwovens","182809461","0.07319015798325114","56","Textiles"
"Carpets","137717383","0.05513695496760917","57","Textiles"
"Special woven fabrics","115455384","0.046224072587670535","58","Textiles"
"Impregnated, coated or laminated textile fabrics","211358323","0.08462006816728715","59","Textiles"
"Knitted fabrics","169478605","0.06785297547992342","60","Textiles"
"Apparel, knit","1321344306","0.5290174697599996","61","Textiles"
"Apparel, not knit","1250550028","0.5006740549127221","62","Textiles"
"Other made up textile articles","338804731","0.13564490399850204","63","Textiles"
"Footwear","896522318","0.3589344322279388","64","Textiles"
"Headgear","100599883","0.04027647852354086","65","Textiles"
"Umbrellas and walking-sticks","47064313","0.0188428130852767","66","Textiles"
"Feathers and down","33495186","0.013410235671655868","67","Textiles"
"Articles of stone, plaster, cement, etc.","977296781","0.39127354463297054","68","Stone"
"Ceramic products","420980330","0.1685449795212798","69","Stone"
"Glass and glassware","823970171","0.3298872315420068","70","Stone"
"Precious metals and stones","1601270281","0.6410894939418641","71","Stone"
"Iron and steel","7870024770","3.1508673188878324","72","Metals"
"Articles of iron or steel","5625967802","2.2524297702352736","73","Metals"
"Copper","1540440343","0.6167354328994141","74","Metals"
"Nickel","433998499","0.17375697369570967","75","Metals"
"Aluminium","4007237364","1.6043498741432582","76","Metals"
"Lead","66699082","0.026703849583134116","78","Metals"
"Zinc","197185180","0.07894566505043092","79","Metals"
"Tin","31867826","0.012758700817583823","80","Metals"
"Other base metals","592107609","0.23705802319386027","81","Metals"
"Metal tools and tableware","918220913","0.3676217484498524","82","Metals"
"Miscellaneous articles of base metal","2523564726","1.0103421341901986","83","Metals"
"Industrial Machinery","28240861805","11.306598278800859","84","Machinery"
"Electrical machinery and equipment","17700111506","7.086471074083531","85","Electronics"
"Trains","1263499095","0.505858383197929","86","Vehicles"
"Vehicles","18419130735","7.374339823740341","87","Vehicles"
"Aircraft","1381586306","0.5531361421367375","88","Vehicles"
"Ships","53221767","0.02130803030417437","89","Vehicles"
"Apparatuses (optical, medical, etc.)","5124050854","2.051480757434501","90","Machinery"
"Clocks","273763293","0.1096047138648096","91","Machinery"
"Musical instruments","54787205","0.02193477387590332","92","Machinery"
"Arms and ammunition","326827978","0.130849854336404","93","Machinery"
