"Name","Gross Import","Share","Code","Sector"
"Live animals","267065728","0.10896523709133848","01","Agriculture"
"Meat","1193543474","0.4869765529152052","02","Agriculture"
"Fish","398727393","0.16268438948877895","03","Agriculture"
"Diary products","1045819507","0.42670383575013315","04","Agriculture"
"Animal products","110496378","0.04508352350813115","05","Agriculture"
"Plants","452012192","0.18442507033120933","06","Agriculture"
"Vegetables","631864552","0.2578064629778793","07","Agriculture"
"Fruits and nuts","1204575664","0.49147778640551176","08","Agriculture"
"Coffee, tea and spices","539307034","0.2200421569061701","09","Agriculture"
"Cereals","526190407","0.21469045423133776","10","Agriculture"
"Flours, starches and malts","149643736","0.06105600031342721","11","Agriculture"
"Oil seeds and oleaginous fruits","612299235","0.24982363634700513","12","Agriculture"
"Lac and other vegetable extracts","59528957","0.024288353889066194","13","Agriculture"
"Other vegetable materials","5093702","0.0020782765735580457","14","Agriculture"
"Animal or vegetable fats, oils or waxes","558983815","0.2280704618590967","15","Agriculture"
"Preparations of meat or fish","553993619","0.22603441667147814","16","Agriculture"
"Sugar and candy","324902287","0.1325630772604155","17","Agriculture"
"Cocoa","695166207","0.2836341118379723","18","Agriculture"
"Preparations of cereals, flour, starch or milk","1110132488","0.45294411478255076","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","976776311","0.39853358613396467","20","Agriculture"
"Miscellaneous edible preparations","912789222","0.37242627399067996","21","Agriculture"
"Beverages","854402696","0.3486040423019715","22","Agriculture"
"Food residues and animal feed","681102358","0.27789593400370605","23","Agriculture"
"Tobacco","286061087","0.11671551569342888","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","477153930","0.19468312726189238","25","Minerals"
"Ores, slag and ash","749064951","0.3056252878037831","26","Minerals"
"Mineral fuels, oils and waxes","12946997302","5.282492220916305","27","Minerals"
"Inorganic chemicals","987992937","0.40311007118357345","28","Chemicals"
"Organic chemicals","4069955953","1.660578909510806","29","Chemicals"
"Pharmaceutical products","6770891102","2.762584925344911","30","Chemicals"
"Fertilisers","211078930","0.08612211617222575","31","Chemicals"
"Dyes, paints, inks, etc.","1129463739","0.46083144036439094","32","Chemicals"
