"Name","Gross Export","Share","Code","Sector"
"Live animals","383240","0.0016531585430280152","01","Agriculture"
"Meat","1041190","0.004491316520758113","02","Agriculture"
"Fish","574794","0.002479453114448505","03","Agriculture"
"Diary products","7658281","0.03303505025586873","04","Agriculture"
"Animal products","754892","0.0032563306514547144","05","Agriculture"
"Plants","365607","0.0015770961680431157","06","Agriculture"
"Vegetables","227205480","0.9800821424819457","07","Agriculture"
"Fruits and nuts","326482855","1.4083287780383749","08","Agriculture"
"Coffee, tea and spices","9000874","0.03882651014460585","09","Agriculture"
"Cereals","7780782","0.03356347519762709","10","Agriculture"
"Flours, starches and malts","645936","0.002786333933434256","11","Agriculture"
"Oil seeds and oleaginous fruits","6288656","0.02712698411064708","12","Agriculture"
"Lac and other vegetable extracts","1187092","0.005120684900219739","13","Agriculture"
"Other vegetable materials","158592","0.0006841084428971376","14","Agriculture"
"Animal or vegetable fats, oils or waxes","16736083","0.07219339992765873","15","Agriculture"
"Preparations of meat or fish","373288","0.0016102292198357212","16","Agriculture"
"Sugar and candy","25100254","0.10827340395645839","17","Agriculture"
"Cocoa","3201838","0.013811569364084475","18","Agriculture"
"Preparations of cereals, flour, starch or milk","1444722","0.006232007401629581","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","16221594","0.06997408073956789","20","Agriculture"
"Miscellaneous edible preparations","4076729","0.01758553223557055","21","Agriculture"
"Beverages","17709475","0.07639226043416936","22","Agriculture"
"Food residues and animal feed","6115951","0.02638199729775267","23","Agriculture"
"Tobacco","12236390","0.05278335420186457","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","35888387","0.15480950204713903","25","Minerals"
"Ores, slag and ash","28233616","0.12178959265988012","26","Minerals"
"Mineral fuels, oils and waxes","16983522378","73.26076377700181","27","Minerals"
"Inorganic chemicals","4091756","0.01765035327049927","28","Chemicals"
"Organic chemicals","45018390","0.1941930279247129","29","Chemicals"
"Pharmaceutical products","1491037","0.0064317935354369655","30","Chemicals"
"Fertilisers","857128","0.0036973397235897003","31","Chemicals"
"Dyes, paints, inks, etc.","2189944","0.009446625175746123","32","Chemicals"
"Essential oils","776428","0.0033492291546972025","33","Chemicals"
"Soaps, waxes, and paints","140540","0.0006062386536821764","34","Chemicals"
"Albuminoidals; modified starches; glues; enzymes","12506","0.000053946354083885715","35","Chemicals"
"Photographic or cinematographic goods","6355","0.000027413168095561626","37","Chemicals"
"Miscellaneous chemical products","5128752","0.02212357839440565","38","Chemicals"
"Plastics","84595857","0.3649158848354199","39","Chemicals"
"Rubber","791434","0.003413959603232529","40","Chemicals"
"Leather and skins","4400793","0.018983426949295192","41","Agriculture"
"Articles of leather","178709","0.0007708858941289886","42","Agriculture"
"Furskins","15560","0.00006712020386576537","43","Agriculture"
"Wood","664453","0.0028662095642171845","44","Agriculture"
"Cork","1008","0.00000434814688282079","45","Agriculture"
"Paper and paperboard","1396811","0.0060253367019243945","48","Agriculture"
"Products of the printing industry","2344921","0.010115139818066478","49","Agriculture"
"Silk","50332","0.0002171140167719603","50","Textiles"
"Wool","118885","0.0005128268275437992","51","Textiles"
"Cotton","47934048","0.2067701204287521","52","Textiles"
"Other vegetable textile fibres","92532","0.00039914953111227515","53","Textiles"
"Man-made filaments","2724527","0.011752622601399879","54","Textiles"
"Man-made staple fibres","355242","0.0015323853124474434","55","Textiles"
"Wadding, felt and nonwovens","49505","0.00021354663832742383","56","Textiles"
"Carpets","498728","0.0021513319430311972","57","Textiles"
"Special woven fabrics","852903","0.0036791146039667657","58","Textiles"
"Impregnated, coated or laminated textile fabrics","44409","0.0001915643401976076","59","Textiles"
"Knitted fabrics","36182","0.00015607604217680738","60","Textiles"
"Apparel, knit","517670","0.0022330408698708715","61","Textiles"
"Apparel, not knit","1748151","0.007540890199752031","62","Textiles"
"Other made up textile articles","26081484","0.11250607475589317","63","Textiles"
"Footwear","300671","0.0012969857851236207","64","Textiles"
"Headgear","37619","0.00016227473966749532","65","Textiles"
"Feathers and down","7852","0.00003387068385308417","67","Textiles"
"Articles of stone, plaster, cement, etc.","4331322","0.018683754219040782","68","Stone"
"Ceramic products","342537","0.0014775805444452229","69","Stone"
"Glass and glassware","425610","0.001835927375791028","70","Stone"
"Precious metals and stones","146503097","0.6319612941906169","71","Stone"
"Iron and steel","26428916","0.1140047705572743","72","Metals"
"Articles of iron or steel","56459340","0.24354514209039596","73","Metals"
"Copper","15866953","0.06844428792342656","74","Metals"
"Nickel","20279","0.00008747626055230437","75","Metals"
"Aluminium","55885418","0.24106945046809214","76","Metals"
"Lead","4451333","0.01920143820272551","78","Metals"
"Zinc","36850","0.00015895755221423223","79","Metals"
"Metal tools and tableware","2421423","0.010445141735556118","82","Metals"
"Miscellaneous articles of base metal","235226","0.0010146797605738126","83","Metals"
"Industrial Machinery","52458874","0.22628858081288547","84","Machinery"
"Electrical machinery and equipment","24064519","0.10380561832979332","85","Electronics"
"Trains","7263756","0.03133321231048691","86","Vehicles"
"Vehicles","8037596","0.03467127777060799","87","Vehicles"
"Aircraft","703352","0.0030340057602438178","88","Vehicles"
"Ships","6406042","0.027633344795157794","89","Vehicles"
"Apparatuses (optical, medical, etc.)","11146430","0.04808166156654775","90","Machinery"
"Clocks","4898757","0.021131463273062027","91","Machinery"
"Musical instruments","19907","0.00008587158729793002","92","Machinery"
"Arms and ammunition","1490069","0.0064276179340653685","93","Machinery"
"Furniture","2084100","0.008990052498498817","94","Textiles"
"Toys","116485","0.0005024740968704164","95","Machinery"
"Miscellaneous manufactured articles","93085","0.00040153497280493377","96","Machinery"
"Art","1448208","0.00624704474293267","97","Textiles"
"Other","82003760","0.35373451728530175","99","Other"
"Travel and tourism","3025929216","13.05276258748686","travel","Services"
"Transport","1405835136","6.064263555911053","transport","Services"
"ICT","230241248","0.99317734601981","ict","Services"
"Insurance and finance","28698598","0.123795356582368","financial","Services"
