"Name","Gross Import","Share","Code","Sector"
"Live animals","34848176","0.20717444041492455","01","Agriculture"
"Meat","61381744","0.36491805094453594","02","Agriculture"
"Fish","14666983","0.0871960700496982","03","Agriculture"
"Diary products","93008320","0.5529398913140314","04","Agriculture"
"Animal products","465782","0.0027691011777874514","05","Agriculture"
"Plants","21593720","0.1283759258297067","06","Agriculture"
"Vegetables","38734967","0.23028163978268387","07","Agriculture"
"Fruits and nuts","73207762","0.43522441824154523","08","Agriculture"
"Coffee, tea and spices","46072121","0.2739014485838138","09","Agriculture"
"Cereals","200150049","1.189903724102941","10","Agriculture"
"Flours, starches and malts","13414016","0.07974710809876662","11","Agriculture"
"Oil seeds and oleaginous fruits","35431855","0.21064444613938324","12","Agriculture"
"Lac and other vegetable extracts","647885","0.0038517141421755734","13","Agriculture"
"Other vegetable materials","532442","0.0031653987687448337","14","Agriculture"
"Animal or vegetable fats, oils or waxes","114010439","0.6777987146668708","15","Agriculture"
"Preparations of meat or fish","24420048","0.14517861076303099","16","Agriculture"
"Sugar and candy","66822640","0.3972644952507114","17","Agriculture"
"Cocoa","60781632","0.3613503500758798","18","Agriculture"
"Preparations of cereals, flour, starch or milk","84586662","0.5028726429301885","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","28082691","0.16695323718722718","20","Agriculture"
"Miscellaneous edible preparations","67538147","0.4015182261299965","21","Agriculture"
"Beverages","84111633","0.5000485677976518","22","Agriculture"
"Food residues and animal feed","40867380","0.2429589595370524","23","Agriculture"
"Tobacco","135053734","0.8029023317431614","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","29852619","0.1774755624582746","25","Minerals"
"Ores, slag and ash","1332852","0.00792388293883482","26","Minerals"
"Mineral fuels, oils and waxes","694863591","4.131004607820221","27","Minerals"
"Inorganic chemicals","75427253","0.44841942178867383","28","Chemicals"
"Organic chemicals","39314195","0.23372518405233678","29","Chemicals"
"Pharmaceutical products","217619345","1.2937597085092032","30","Chemicals"
"Fertilisers","58605693","0.34841426571089007","31","Chemicals"
"Dyes, paints, inks, etc.","52013819","0.3092251900119011","32","Chemicals"
"Essential oils","108363223","0.644225685917756","33","Chemicals"
"Soaps, waxes, and paints","86009257","0.51133005324234","34","Chemicals"
"Albuminoidals; modified starches; glues; enzymes","12482342","0.074208251786771","35","Chemicals"
"Explosives","6192674","0.03681580839760602","36","Chemicals"
"Photographic or cinematographic goods","3940556","0.02342683543103299","37","Chemicals"
"Miscellaneous chemical products","88178028","0.5242235234289321","38","Chemicals"
"Plastics","304655810","1.8111965732698774","39","Chemicals"
"Rubber","89613798","0.532759259885111","40","Chemicals"
"Leather and skins","1171335","0.0069636549460555894","41","Agriculture"
"Articles of leather","12786809","0.07601832587357","42","Agriculture"
"Furskins","2673349","0.015893215848909802","43","Agriculture"
"Wood","242471433","1.4415068222904945","44","Agriculture"
"Cork","822160","0.0048877891896417875","45","Agriculture"
"Manufactues of plaiting materials","159183","0.0009463522265431894","46","Agriculture"
"Pulp of wood","225321","0.0013395464970313287","47","Agriculture"
"Paper and paperboard","168038627","0.9989994459628887","48","Agriculture"
"Products of the printing industry","18898085","0.11235021840995867","49","Agriculture"
"Silk","447976","0.0026632434684477103","50","Textiles"
"Wool","981552","0.0058353839333843485","51","Textiles"
"Cotton","5411106","0.0321693410173273","52","Textiles"
"Other vegetable textile fibres","2868833","0.01705537963934954","53","Textiles"
"Man-made filaments","30589939","0.18185897289578878","54","Textiles"
"Man-made staple fibres","8098956","0.04814876615766334","55","Textiles"
"Wadding, felt and nonwovens","12606262","0.07494496342000591","56","Textiles"
"Carpets","19876308","0.11816581124402861","57","Textiles"
"Special woven fabrics","4520906","0.026877050056177257","58","Textiles"
"Impregnated, coated or laminated textile fabrics","6526604","0.03880104173916616","59","Textiles"
"Knitted fabrics","14389204","0.08554465768068305","60","Textiles"
"Apparel, knit","79110624","0.4703172773827675","61","Textiles"
"Apparel, not knit","77875977","0.462977228901178","62","Textiles"
"Other made up textile articles","25440232","0.1512436641913728","63","Textiles"
"Footwear","42845832","0.2547209721596869","64","Textiles"
"Headgear","2887790","0.01716808011087338","65","Textiles"
"Umbrellas and walking-sticks","416436","0.002475736327451673","66","Textiles"
"Feathers and down","604002","0.003590827145716185","67","Textiles"
"Articles of stone, plaster, cement, etc.","47126702","0.28017099418491537","68","Stone"
"Ceramic products","75464973","0.4486436693903977","69","Stone"
"Glass and glassware","68854800","0.40934580506829255","70","Stone"
"Precious metals and stones","1063006216","6.319634002003044","71","Stone"
"Iron and steel","300384085","1.7858009188034443","72","Metals"
"Articles of iron or steel","573526234","3.4096469379696974","73","Metals"
"Copper","18749271","0.11146551049365605","74","Metals"
"Nickel","3115822","0.018523743661146314","75","Metals"
"Aluminium","71166577","0.4230894542721731","76","Metals"
"Lead","338161","0.0020103868835244436","78","Metals"
"Zinc","1654243","0.009834571193491048","79","Metals"
"Tin","140962","0.0008380273179798162","80","Metals"
"Other base metals","625520","0.0037187529117261005","81","Metals"
"Metal tools and tableware","32299837","0.19202441631287318","82","Metals"
"Miscellaneous articles of base metal","45077876","0.26799060402453656","83","Metals"
"Industrial Machinery","1620559228","9.634319202822613","84","Machinery"
"Electrical machinery and equipment","712506894","4.2358950739983054","85","Electronics"
"Trains","121196462","0.7205200408514544","86","Vehicles"
"Vehicles","526449582","3.1297734939562103","87","Vehicles"
"Aircraft","215221963","1.2795071325835419","88","Vehicles"
"Ships","28090606","0.16700029232422733","89","Vehicles"
"Apparatuses (optical, medical, etc.)","195187790","1.160402804699902","90","Machinery"
"Clocks","14224647","0.08456635671045841","91","Machinery"
"Musical instruments","2211502","0.013147508475809078","92","Machinery"
"Arms and ammunition","3419094","0.020326713403192927","93","Machinery"
"Furniture","155069610","0.9218978828938016","94","Textiles"
"Toys","15234501","0.0905699976858361","95","Machinery"
"Miscellaneous manufactured articles","10676216","0.06347072729283922","96","Machinery"
"Art","4976182","0.029583692450727412","97","Textiles"
"Other","149738672","0.8902051453158965","99","Other"
"Travel and tourism","2810665984","16.709573334009313","travel","Services"
"Transport","1871270656","11.124813276358246","transport","Services"
"ICT","1820300416","10.821792224415258","ict","Services"
"Insurance and finance","250520704","1.4893602082230346","financial","Services"
