"Name","Gross Export","Share","Code","Sector"
"Live animals","1267380","0.006511192344487687","01","Agriculture"
"Meat","3609554","0.018544162265314988","02","Agriculture"
"Fish","60074595","0.30863453980826455","03","Agriculture"
"Diary products","120802992","0.6206280016266686","04","Agriculture"
"Animal products","2060","0.000010583294852092219","05","Agriculture"
"Plants","762956","0.003919703061734403","06","Agriculture"
"Vegetables","7688564","0.039500164952029876","07","Agriculture"
"Fruits and nuts","6591490","0.03386392339059094","08","Agriculture"
"Coffee, tea and spices","3816114","0.019605368762717013","09","Agriculture"
"Cereals","339316","0.0017432433378798656","10","Agriculture"
"Flours, starches and malts","585628","0.003008676600796632","11","Agriculture"
"Oil seeds and oleaginous fruits","2268249","0.011653178623768603","12","Agriculture"
"Lac and other vegetable extracts","63999","0.0003287962559412863","13","Agriculture"
"Other vegetable materials","17009","0.00008738410783458084","14","Agriculture"
"Animal or vegetable fats, oils or waxes","1522174","0.007820202067081854","15","Agriculture"
"Preparations of meat or fish","8908613","0.045768193253486314","16","Agriculture"
"Sugar and candy","52549325","0.26997330133661207","17","Agriculture"
"Cocoa","1365131","0.007013390235306555","18","Agriculture"
"Preparations of cereals, flour, starch or milk","74586171","0.38318807746678146","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","22006159","0.11305712099952565","20","Agriculture"
"Miscellaneous edible preparations","68845306","0.35369425853422987","21","Agriculture"
"Beverages","7324026","0.03762734303999493","22","Agriculture"
"Food residues and animal feed","127276","0.0006538832211625675","23","Agriculture"
"Tobacco","31115700","0.15985758622778923","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","6265679","0.03219006228425356","25","Minerals"
"Ores, slag and ash","720974639","3.704022905542595","26","Minerals"
"Mineral fuels, oils and waxes","12097710494","62.15225106468554","27","Minerals"
"Inorganic chemicals","67954777","0.34911914640736635","28","Chemicals"
"Organic chemicals","103823162","0.5333937553022022","29","Chemicals"
"Pharmaceutical products","2050096","0.01053241283645381","30","Chemicals"
"Fertilisers","144957426","0.7447219322127858","31","Chemicals"
"Dyes, paints, inks, etc.","18279616","0.0939119251995255","32","Chemicals"
"Essential oils","58717945","0.3016647208951136","33","Chemicals"
"Soaps, waxes, and paints","83720922","0.43011805961893895","34","Chemicals"
"Albuminoidals; modified starches; glues; enzymes","138386","0.0007109610880590455","35","Chemicals"
"Explosives","4351083","0.022353783648022315","36","Chemicals"
"Photographic or cinematographic goods","126346","0.0006491053259138075","37","Chemicals"
"Miscellaneous chemical products","61359078","0.31523359918763344","38","Chemicals"
"Plastics","150760488","0.774535289587044","39","Chemicals"
"Rubber","11734638","0.060286958221633845","40","Chemicals"
"Leather and skins","230128","0.001182287610544795","41","Agriculture"
"Articles of leather","6583420","0.03382246358988396","42","Agriculture"
"Furskins","70930","0.00036440441934898113","43","Agriculture"
"Wood","15093780","0.07754462338476334","44","Agriculture"
"Cork","16958","0.00008712209422416497","45","Agriculture"
"Manufactues of plaiting materials","117309","0.000602677541652469","46","Agriculture"
"Pulp of wood","9891994","0.05082033455200345","47","Agriculture"
"Paper and paperboard","84669007","0.43498886694896116","48","Agriculture"
"Products of the printing industry","4797192","0.024645678348591247","49","Agriculture"
"Silk","13958","0.00007170952890558407","50","Textiles"
"Wool","13319","0.00006842665249272634","51","Textiles"
"Cotton","45609086","0.2343176723652579","52","Textiles"
"Other vegetable textile fibres","31563","0.00016215559971678967","53","Textiles"
"Man-made filaments","774961","0.003981379010617591","54","Textiles"
"Man-made staple fibres","1521438","0.00781642085105703","55","Textiles"
"Wadding, felt and nonwovens","402793","0.002069357807455719","56","Textiles"
"Carpets","526379","0.002704283573276432","57","Textiles"
"Special woven fabrics","78227","0.00040189291572554264","58","Textiles"
"Impregnated, coated or laminated textile fabrics","315222","0.0016194598882845693","59","Textiles"
"Knitted fabrics","177641","0.0009126345052526766","60","Textiles"
"Apparel, knit","16261610","0.08354437543676278","61","Textiles"
"Apparel, not knit","123670204","0.6353583657040749","62","Textiles"
"Other made up textile articles","67916488","0.3489224358362053","63","Textiles"
"Footwear","9897202","0.050847090765396515","64","Textiles"
"Headgear","4744143","0.02437313795606278","65","Textiles"
"Umbrellas and walking-sticks","4277","0.000021973180622523504","66","Textiles"
"Feathers and down","71666","0.0003681856353738063","67","Textiles"
"Articles of stone, plaster, cement, etc.","4168210","0.02141426962885403","68","Stone"
"Ceramic products","3904725","0.020060609704531936","69","Stone"
"Glass and glassware","91411912","0.4696306881987898","70","Stone"
"Precious metals and stones","480346628","2.467791259870027","71","Stone"
"Iron and steel","625906258","3.215607028244517","72","Metals"
"Articles of iron or steel","429038384","2.204194039192798","73","Metals"
"Copper","25958782","0.13336380772193407","74","Metals"
"Nickel","10728897","0.05511994193627555","75","Metals"
"Aluminium","2547471777","13.087691720084619","76","Metals"
"Lead","737222","0.0037874940764316164","78","Metals"
"Zinc","2633902","0.01353172887258029","79","Metals"
"Tin","43041","0.00022112407462568015","80","Metals"
"Other base metals","718069","0.003689095121916023","81","Metals"
"Metal tools and tableware","6957646","0.03574505781285438","82","Metals"
"Miscellaneous articles of base metal","34136635","0.17537770556468496","83","Metals"
"Industrial Machinery","227904842","1.1708660879152866","84","Machinery"
"Electrical machinery and equipment","88449492","0.4544111909484329","85","Electronics"
"Trains","17837471","0.09164039563526419","86","Vehicles"
"Vehicles","216601073","1.1127927285624033","87","Vehicles"
"Aircraft","16480515","0.08466900464045077","88","Vehicles"
"Ships","34543794","0.177469493792201","89","Vehicles"
"Apparatuses (optical, medical, etc.)","32218240","0.16552190948323864","90","Machinery"
"Clocks","46718500","0.24001731094537393","91","Machinery"
"Musical instruments","78158","0.00040153842672321536","92","Machinery"
"Arms and ammunition","51451","0.00026433063273543535","93","Machinery"
"Furniture","62849324","0.3228897704595514","94","Textiles"
"Toys","2662977","0.013681102318126203","95","Machinery"
"Miscellaneous manufactured articles","934702","0.004802051876136068","96","Machinery"
"Art","1067427","0.0054839294534389516","97","Textiles"
"Other","49412192","0.2538562122447535","99","Other"
