"Name","Gross Import","Share","Code","Sector"
"Live animals","21035494","0.10909531871551507","01","Agriculture"
"Meat","187885947","0.9744233850715069","02","Agriculture"
"Fish","57710239","0.29929969397693007","03","Agriculture"
"Diary products","203817858","1.0570502493748706","04","Agriculture"
"Animal products","194077","0.001006531730148625","05","Agriculture"
"Plants","9998009","0.0518521684527869","06","Agriculture"
"Vegetables","100075877","0.5190184598017848","07","Agriculture"
"Fruits and nuts","129990898","0.6741652203378733","08","Agriculture"
"Coffee, tea and spices","34751031","0.18022751463016484","09","Agriculture"
"Cereals","88392386","0.4584249612913694","10","Agriculture"
"Flours, starches and malts","10877647","0.05641419052672908","11","Agriculture"
"Oil seeds and oleaginous fruits","10764903","0.055829472021270546","12","Agriculture"
"Lac and other vegetable extracts","2998235","0.015549594552379534","13","Agriculture"
"Other vegetable materials","375740","0.001948681359903772","14","Agriculture"
"Animal or vegetable fats, oils or waxes","50553227","0.2621816445890352","15","Agriculture"
"Preparations of meat or fish","38493960","0.19963927801373663","16","Agriculture"
"Sugar and candy","45150205","0.23416022483455073","17","Agriculture"
"Cocoa","40000200","0.20745101435147403","18","Agriculture"
"Preparations of cereals, flour, starch or milk","101278221","0.5252541156834907","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","74029390","0.3839348815086142","20","Agriculture"
"Miscellaneous edible preparations","66448930","0.3446207251731265","21","Agriculture"
"Beverages","65154280","0.3379063473517622","22","Agriculture"
"Food residues and animal feed","17260720","0.08951839921892328","23","Agriculture"
"Tobacco","141400983","0.7333407671373028","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","188372951","0.9769491092877166","25","Minerals"
"Ores, slag and ash","528754270","2.742251530096679","26","Minerals"
"Mineral fuels, oils and waxes","4541654276","23.554151888988294","27","Minerals"
"Inorganic chemicals","588493060","3.052071795536094","28","Chemicals"
"Organic chemicals","55373657","0.28718159691703044","29","Chemicals"
"Pharmaceutical products","261318551","1.3552631855292576","30","Chemicals"
"Fertilisers","4063370","0.021073650336382047","31","Chemicals"
"Dyes, paints, inks, etc.","79835310","0.41404583078495555","32","Chemicals"
"Essential oils","154044054","0.7989108868733966","33","Chemicals"
"Soaps, waxes, and paints","65379703","0.3390754472564665","34","Chemicals"
"Albuminoidals; modified starches; glues; enzymes","9928253","0.051490396437719445","35","Chemicals"
"Explosives","3983797","0.02066096491068443","36","Chemicals"
"Photographic or cinematographic goods","6467817","0.03354371221368163","37","Chemicals"
"Miscellaneous chemical products","106601768","0.5528633582647213","38","Chemicals"
"Plastics","368136873","1.9092496468525102","39","Chemicals"
"Rubber","71957154","0.373187748739887","40","Chemicals"
"Leather and skins","769885","0.003992815640521412","41","Agriculture"
"Articles of leather","45672888","0.23687098924408545","42","Agriculture"
"Furskins","243261","0.0012616122219927383","43","Agriculture"
"Wood","114612546","0.5944092510813691","44","Agriculture"
"Cork","2489247","0.012909855828754951","45","Agriculture"
"Manufactues of plaiting materials","1438620","0.007461042151447182","46","Agriculture"
"Pulp of wood","18200000","0.09438973958122279","47","Agriculture"
"Paper and paperboard","124203766","0.6441517103157766","48","Agriculture"
"Products of the printing industry","26573604","0.13781733853266703","49","Agriculture"
"Silk","1322544","0.006859043062896083","50","Textiles"
"Wool","1004598","0.005210095802407541","51","Textiles"
"Cotton","51319108","0.2661536944868487","52","Textiles"
"Other vegetable textile fibres","724195","0.003755855904177123","53","Textiles"
