"Name","Gross Export","Share","Code","Sector"
"Live animals","1875","0.000004430273520840021","01","Agriculture"
"Meat","872214","0.002060878180643178","02","Agriculture"
"Fish","390771844","0.9233206150202813","03","Agriculture"
"Diary products","1371179","0.003239838941883679","04","Agriculture"
"Animal products","2320839","0.005483707502844179","05","Agriculture"
"Plants","132948","0.0003141312021592742","06","Agriculture"
"Vegetables","45113517","0.10659478389176862","07","Agriculture"
"Fruits and nuts","32601811","0.07703196800252317","08","Agriculture"
"Coffee, tea and spices","22340925","0.052787417844572186","09","Agriculture"
"Cereals","8134021","0.019219166855603556","10","Agriculture"
"Flours, starches and malts","2274391","0.005373959585779657","11","Agriculture"
"Oil seeds and oleaginous fruits","9493167","0.022430574074139894","12","Agriculture"
"Lac and other vegetable extracts","1452","0.000003430803814538512","13","Agriculture"
"Other vegetable materials","478486","0.001130572723142751","14","Agriculture"
"Animal or vegetable fats, oils or waxes","27238328","0.0643590630881895","15","Agriculture"
"Preparations of meat or fish","67977636","0.16061841108272074","16","Agriculture"
"Sugar and candy","6721061","0.015880607242800295","17","Agriculture"
"Cocoa","2752676","0.0065040573836009745","18","Agriculture"
"Preparations of cereals, flour, starch or milk","47238104","0.11161478470713979","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","16223368","0.03833277742359644","20","Agriculture"
"Miscellaneous edible preparations","5202906","0.012293491564383826","21","Agriculture"
"Beverages","21949106","0.0518616229962191","22","Agriculture"
"Food residues and animal feed","7612758","0.017987520100246953","23","Agriculture"
"Tobacco","93721333","0.22144594129478937","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","13589202","0.032108736954638006","25","Minerals"
"Ores, slag and ash","5125076","0.012109593864049436","26","Minerals"
"Mineral fuels, oils and waxes","22089313","0.05219290585463854","27","Minerals"
"Inorganic chemicals","32135693","0.07593061854493015","28","Chemicals"
"Organic chemicals","5593202","0.013215687849231706","29","Chemicals"
"Pharmaceutical products","84066148","0.1986325490578231","30","Chemicals"
"Dyes, paints, inks, etc.","331522","0.0007833243403604935","32","Chemicals"
"Essential oils","3084512","0.007288123647100424","33","Chemicals"
"Soaps, waxes, and paints","2061702","0.0048714153485135536","34","Chemicals"
"Albuminoidals; modified starches; glues; enzymes","1107438","0.002616668398598417","35","Chemicals"
"Explosives","24713","0.0000583921864109437","36","Chemicals"
"Photographic or cinematographic goods","10663","0.000025194670161449144","37","Chemicals"
"Miscellaneous chemical products","16030365","0.03787674751408034","38","Chemicals"
"Plastics","93550570","0.2210424603362618","39","Chemicals"
"Rubber","9523984","0.02250338886832215","40","Chemicals"
"Leather and skins","150761258","0.3562205916191631","41","Agriculture"
"Articles of leather","261326632","0.617465844287949","42","Agriculture"
"Furskins","103231","0.00024391550177591266","43","Agriculture"
"Wood","5646890","0.013342542529118031","44","Agriculture"
"Cork","7036","0.000016624749062736208","45","Agriculture"
"Manufactues of plaiting materials","15582403","0.036818297281044327","46","Agriculture"
"Pulp of wood","4455","0.00001052632988551589","47","Agriculture"
"Paper and paperboard","22440302","0.0530222270668018","48","Agriculture"
"Products of the printing industry","15030862","0.03551510928746692","49","Agriculture"
"Silk","195939","0.00046296712714659886","50","Textiles"
"Wool","145529","0.0003438577467809746","51","Textiles"
"Cotton","39584914","0.0935317313700957","52","Textiles"
"Other vegetable textile fibres","597768534","1.4124149908114974","53","Textiles"
"Man-made filaments","5172441","0.012221508480217216","54","Textiles"
"Man-made staple fibres","20834994","0.049229185186699054","55","Textiles"
"Wadding, felt and nonwovens","28117576","0.06643656129227034","56","Textiles"
"Carpets","27598679","0.0652105049513939","57","Textiles"
"Special woven fabrics","2241426","0.005296069470251928","58","Textiles"
"Impregnated, coated or laminated textile fabrics","760977","0.0017980460016364143","59","Textiles"
"Knitted fabrics","12161773","0.02873598980712912","60","Textiles"
"Apparel, knit","16405599743","38.76335687195347","61","Textiles"
"Apparel, not knit","15302282964","36.156426146032295","62","Textiles"
"Other made up textile articles","894023114","2.1124090287856743","63","Textiles"
"Footwear","859510543","2.030862293085722","64","Textiles"
"Headgear","250991139","0.5930450117744944","65","Textiles"
"Umbrellas and walking-sticks","3787830","0.00894993224023651","66","Textiles"
"Feathers and down","66159669","0.1563228958497282","67","Textiles"
"Articles of stone, plaster, cement, etc.","2931775","0.006927234747499069","68","Stone"
"Ceramic products","48581256","0.11478840110184022","69","Stone"
"Glass and glassware","1922158","0.004541699034811101","70","Stone"
"Precious metals and stones","3739991","0.008836897650922663","71","Stone"
"Iron and steel","30166670","0.07127818630022349","72","Metals"
"Articles of iron or steel","11912789","0.02814768728856228","73","Metals"
"Copper","52623216","0.1243387948939973","74","Metals"
"Nickel","2651420","0.0062648084366003455","75","Metals"
