"Name","Gross Import","Share","Code","Sector"
"Live animals","25585152","0.038224529533580485","01","Agriculture"
"Meat","8016280","0.0119764202147187","02","Agriculture"
"Fish","46409134","0.06933581294380796","03","Agriculture"
"Diary products","373935090","0.5586635909509967","04","Agriculture"
"Animal products","40478344","0.060475140257069036","05","Agriculture"
"Plants","960605","0.0014351556008971563","06","Agriculture"
"Vegetables","500644697","0.7479692911852527","07","Agriculture"
"Fruits and nuts","364898297","0.5451625118517851","08","Agriculture"
"Coffee, tea and spices","178403979","0.2665377232933293","09","Agriculture"
"Cereals","1726777215","2.5798262465933894","10","Agriculture"
"Flours, starches and malts","28509437","0.0425934470349151","11","Agriculture"
"Oil seeds and oleaginous fruits","608767399","0.9095059283664398","12","Agriculture"
"Lac and other vegetable extracts","25758518","0.03848354045472407","13","Agriculture"
"Other vegetable materials","7444774","0.011122583271494032","14","Agriculture"
"Animal or vegetable fats, oils or waxes","1771994733","2.647381770681197","15","Agriculture"
"Preparations of meat or fish","5502308","0.008220515346121693","16","Agriculture"
"Sugar and candy","585532510","0.8747927204562439","17","Agriculture"
"Cocoa","14886235","0.022240216880529746","18","Agriculture"
"Preparations of cereals, flour, starch or milk","112656356","0.16830997162211725","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","17990439","0.026877935565033116","20","Agriculture"
"Miscellaneous edible preparations","92932109","0.1388417057318409","21","Agriculture"
"Beverages","17603984","0.026300567075649123","22","Agriculture"
"Food residues and animal feed","421705987","0.6300338944466387","23","Agriculture"
"Tobacco","12529085","0.018718605995041195","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","963976288","1.4401923463392863","25","Minerals"
"Ores, slag and ash","61378408","0.09170009110440902","26","Minerals"
"Mineral fuels, oils and waxes","5083932215","7.595456814131444","27","Minerals"
"Inorganic chemicals","475697106","0.7106972855715598","28","Chemicals"
"Organic chemicals","792572199","1.1841125441885327","29","Chemicals"
"Pharmaceutical products","226406438","0.3382539832448038","30","Chemicals"
"Fertilisers","730696115","1.0916689190625102","31","Chemicals"
"Dyes, paints, inks, etc.","763489921","1.1406632657040898","32","Chemicals"
"Essential oils","184652420","0.2758729704532186","33","Chemicals"
"Soaps, waxes, and paints","196359491","0.29336347749383435","34","Chemicals"
"Albuminoidals; modified starches; glues; enzymes","107930212","0.16124905477050136","35","Chemicals"
"Explosives","3595058","0.00537106055480674","36","Chemicals"
"Photographic or cinematographic goods","39666822","0.05926271647877175","37","Chemicals"
"Miscellaneous chemical products","695730115","1.0394292880581224","38","Chemicals"
"Plastics","2381153093","3.557471799556047","39","Chemicals"
"Rubber","310178090","0.4634098543512497","40","Chemicals"
"Leather and skins","175902897","0.2628010762421449","41","Agriculture"
"Articles of leather","65377440","0.09767469374854158","42","Agriculture"
"Furskins","1062925","0.0015880229304278135","43","Agriculture"
"Wood","46000579","0.06872542678453902","44","Agriculture"
"Cork","500726","0.000748090758860124","45","Agriculture"
"Manufactues of plaiting materials","1252992","0.0018719853495238203","46","Agriculture"
"Pulp of wood","280090619","0.41845880524940166","47","Agriculture"
"Paper and paperboard","700927205","1.0471938039849253","48","Agriculture"
"Products of the printing industry","101344168","0.15140942460580817","49","Agriculture"
"Silk","6065122","0.009061366335199756","50","Textiles"
"Wool","71317125","0.10654865567390613","51","Textiles"
"Cotton","6883868822","10.284584085794481","52","Textiles"
"Other vegetable textile fibres","225633016","0.3370984813317833","53","Textiles"
"Man-made filaments","1391409106","2.078782196235919","54","Textiles"
"Man-made staple fibres","1930600794","2.88434116271058","55","Textiles"
"Wadding, felt and nonwovens","159806220","0.2387524442317114","56","Textiles"
"Carpets","17608227","0.026306906169464586","57","Textiles"
"Special woven fabrics","464127048","0.6934114776261453","58","Textiles"
"Impregnated, coated or laminated textile fabrics","367781138","0.549469511511006","59","Textiles"
"Knitted fabrics","1382821184","2.0659517358923147","60","Textiles"
"Apparel, knit","57756712","0.08628923305229932","61","Textiles"
"Apparel, not knit","172367179","0.25751867037199755","62","Textiles"
"Other made up textile articles","67529478","0.10088986480120475","63","Textiles"
"Footwear","217652429","0.32517538689494707","64","Textiles"
"Headgear","18312666","0.02735934663806551","65","Textiles"
"Umbrellas and walking-sticks","24277390","0.036270717135206056","66","Textiles"
"Feathers and down","44573733","0.06659370143591217","67","Textiles"
"Articles of stone, plaster, cement, etc.","77178753","0.11530599948803952","68","Stone"
"Ceramic products","104745408","0.15649091870171172","69","Stone"
"Glass and glassware","150127202","0.22429187313965548","70","Stone"
"Precious metals and stones","978987098","1.4626186797911245","71","Stone"
"Iron and steel","2772538170","4.142205884184084","72","Metals"
"Articles of iron or steel","1008179693","1.5062327732207572","73","Metals"
"Copper","209604673","0.31315194115184386","74","Metals"
"Nickel","4056390","0.006060296196587791","75","Metals"
"Aluminium","443519421","0.6626234312280426","76","Metals"
"Lead","67475680","0.1008094899322242","78","Metals"
"Zinc","162112856","0.24219858658432358","79","Metals"
"Tin","4542591","0.006786686428068784","80","Metals"
"Other base metals","3309593","0.00494457235871146","81","Metals"
"Metal tools and tableware","88801650","0.13267074954472333","82","Metals"
"Miscellaneous articles of base metal","206013333","0.3077864353344412","83","Metals"
"Industrial Machinery","6826822478","10.199356151209189","84","Machinery"
"Electrical machinery and equipment","4079716969","6.095146973142467","85","Electronics"
"Trains","10557199","0.015772584230392156","86","Vehicles"
"Vehicles","2059903966","3.077521680727422","87","Vehicles"
"Aircraft","152707059","0.22814621100283933","88","Vehicles"
"Ships","242166683","0.36179998173873357","89","Vehicles"
"Apparatuses (optical, medical, etc.)","690696435","1.0319089086668805","90","Machinery"
"Clocks","17836076","0.026647315357953942","91","Machinery"
"Musical instruments","2226550","0.0033264928906028626","92","Machinery"
"Arms and ammunition","18754518","0.02801947892195703","93","Machinery"
"Furniture","238444066","0.35623834648017777","94","Textiles"
"Toys","82813526","0.12372441916182225","95","Machinery"
"Miscellaneous manufactured articles","452173918","0.6755533554346599","96","Machinery"
"Art","844269","0.001261348196203269","97","Textiles"
"Other","968270976","1.4466086626579664","99","Other"
"Travel and tourism","820008960","1.2251034001799408","travel","Services"
"Transport","6531160576","9.75763365900146","transport","Services"
"ICT","867881536","1.2966256133432856","ict","Services"
"Insurance and finance","1706375296","2.5493455304593904","financial","Services"
