"Name","Gross Export","Share","Code","Sector"
"Live animals","5776714","0.01525808900402972","01","Agriculture"
"Meat","806583289","2.1304360251736587","02","Agriculture"
"Fish","124049221","0.3276523738060345","03","Agriculture"
"Diary products","1979681320","5.228950884564312","04","Agriculture"
"Animal products","9675738","0.025556617755989396","05","Agriculture"
"Plants","85990484","0.22712747391883925","06","Agriculture"
"Vegetables","244686998","0.6462940684986036","07","Agriculture"
"Fruits and nuts","140147935","0.370174058463163","08","Agriculture"
"Coffee, tea and spices","3694122","0.009757319172758818","09","Agriculture"
"Cereals","9108025","0.024057112071140755","10","Agriculture"
"Flours, starches and malts","42941493","0.1134217692203421","11","Agriculture"
"Oil seeds and oleaginous fruits","21693161","0.05729835012028402","12","Agriculture"
"Lac and other vegetable extracts","2318893","0.0061249138844023596","13","Agriculture"
"Other vegetable materials","174021","0.00045964330354077696","14","Agriculture"
"Animal or vegetable fats, oils or waxes","198113331","0.5232786039403717","15","Agriculture"
"Preparations of meat or fish","363543414","0.9602306376325407","16","Agriculture"
"Sugar and candy","198298607","0.5237679751812382","17","Agriculture"
"Cocoa","64465245","0.17027265775604988","18","Agriculture"
"Preparations of cereals, flour, starch or milk","141960976","0.3749628607036677","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","80405648","0.21237619408035163","20","Agriculture"
"Miscellaneous edible preparations","93544000","0.24707864675193478","21","Agriculture"
"Beverages","193688764","0.5115919535210688","22","Agriculture"
"Food residues and animal feed","160457570","0.4238180883509776","23","Agriculture"
"Tobacco","14658430","0.03871744898558928","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","266008901","0.7026118113727164","25","Minerals"
"Ores, slag and ash","34583886","0.09134674326844247","26","Minerals"
"Mineral fuels, oils and waxes","4911246730","12.972122166181313","27","Minerals"
"Inorganic chemicals","61057536","0.16127184393320299","28","Chemicals"
"Organic chemicals","242027503","0.6392695193490746","29","Chemicals"
"Pharmaceutical products","228845213","0.6044510128249623","30","Chemicals"
"Fertilisers","2865000675","7.567353221183397","31","Chemicals"
"Dyes, paints, inks, etc.","157882700","0.4170170600096393","32","Chemicals"
"Essential oils","119410855","0.31540101407777626","33","Chemicals"
"Soaps, waxes, and paints","89811084","0.23721886062221353","34","Chemicals"
"Albuminoidals; modified starches; glues; enzymes","15226994","0.04021920242473948","35","Chemicals"
"Explosives","8097236","0.021387305581448832","36","Chemicals"
"Photographic or cinematographic goods","3164803","0.0083592239211116","37","Chemicals"
"Miscellaneous chemical products","292948365","0.7737672709355154","38","Chemicals"
"Plastics","1029346298","2.718822055385207","39","Chemicals"
"Rubber","333093858","0.8798039390663337","40","Chemicals"
"Leather and skins","27082356","0.07153288154594781","41","Agriculture"
"Articles of leather","18314507","0.04837427954212816","42","Agriculture"
"Furskins","15744680","0.04158657132410686","43","Agriculture"
"Wood","1305739278","3.448861432257423","44","Agriculture"
"Cork","589549","0.0015571813169626741","45","Agriculture"
"Manufactues of plaiting materials","3625727","0.009576666816171558","46","Agriculture"
"Pulp of wood","12431509","0.032835461609558046","47","Agriculture"
"Paper and paperboard","204668724","0.5405934251086679","48","Agriculture"
"Products of the printing industry","27703866","0.07317448175272531","49","Agriculture"
"Silk","169049","0.0004465107131913092","50","Textiles"
"Wool","13019131","0.034387553123302016","51","Textiles"
"Cotton","29603400","0.07819173876738461","52","Textiles"
"Other vegetable textile fibres","66386725","0.1753478809468575","53","Textiles"
"Man-made filaments","175803878","0.4643524359657727","54","Textiles"
"Man-made staple fibres","171746540","0.45363575095705805","55","Textiles"
