"Name","Gross Import","Share","Code","Sector"
"Live animals","20587921","0.05049725852547068","01","Agriculture"
"Meat","106417648","0.26101710234503706","02","Agriculture"
"Fish","275025703","0.6745724362134631","03","Agriculture"
"Diary products","50128874","0.1229541686102616","04","Agriculture"
"Animal products","9464139","0.023213275094847583","05","Agriculture"
"Plants","104131404","0.25540949124529044","06","Agriculture"
"Vegetables","234579032","0.5753664016662324","07","Agriculture"
"Fruits and nuts","476392207","1.168476430252406","08","Agriculture"
"Coffee, tea and spices","62799893","0.15403315527550823","09","Agriculture"
"Cereals","117509036","0.2882216310219396","10","Agriculture"
"Flours, starches and malts","29286809","0.07183355548426096","11","Agriculture"
"Oil seeds and oleaginous fruits","316466660","0.7762172171105685","12","Agriculture"
"Lac and other vegetable extracts","11424405","0.02802133992959658","13","Agriculture"
"Other vegetable materials","488341","0.001197783968842064","14","Agriculture"
"Animal or vegetable fats, oils or waxes","176412745","0.43269837646321524","15","Agriculture"
"Preparations of meat or fish","58282178","0.142952278177748","16","Agriculture"
"Sugar and candy","87092910","0.2136181303593282","17","Agriculture"
"Cocoa","151867692","0.372495217199957","18","Agriculture"
"Preparations of cereals, flour, starch or milk","174874180","0.4289246435757012","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","126636835","0.3106099443378656","20","Agriculture"
"Miscellaneous edible preparations","207944728","0.510038808135347","21","Agriculture"
"Beverages","209008605","0.5126482446058047","22","Agriculture"
"Food residues and animal feed","312643200","0.7668391818984751","23","Agriculture"
"Tobacco","78101234","0.19156369428735814","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","218336734","0.5355279196187378","25","Minerals"
"Ores, slag and ash","21887755","0.05368544122435497","26","Minerals"
"Mineral fuels, oils and waxes","10071340479","24.702595461975044","27","Minerals"
"Inorganic chemicals","208690768","0.511868666271598","28","Chemicals"
"Organic chemicals","461345396","1.1315701926069974","29","Chemicals"
"Pharmaceutical products","587825913","1.441796726183855","30","Chemicals"
"Fertilisers","96237739","0.2360482142023846","31","Chemicals"
"Dyes, paints, inks, etc.","217285702","0.5329499888688315","32","Chemicals"
"Essential oils","257522748","0.6316418633015756","33","Chemicals"
"Soaps, waxes, and paints","180285640","0.44219766393653537","34","Chemicals"
"Albuminoidals; modified starches; glues; enzymes","46381476","0.11376269533795635","35","Chemicals"
"Explosives","4002596","0.00981741308338102","36","Chemicals"
"Photographic or cinematographic goods","13720290","0.03365259810227707","37","Chemicals"
"Miscellaneous chemical products","319368463","0.7833346475825906","38","Chemicals"
"Plastics","1327363087","3.2557049816446173","39","Chemicals"
"Rubber","384386903","0.9428093693674083","40","Chemicals"
"Leather and skins","38693493","0.09490590717122385","41","Agriculture"
"Articles of leather","26574611","0.06518118084292324","42","Agriculture"
"Furskins","11053070","0.02711054376447842","43","Agriculture"
"Wood","149325251","0.36625921598046735","44","Agriculture"
"Cork","2290184","0.005617274979775595","45","Agriculture"
"Manufactues of plaiting materials","891012","0.0021854398660892805","46","Agriculture"
"Pulp of wood","27071082","0.06639890576218045","47","Agriculture"
"Paper and paperboard","534554878","1.3111355862700969","48","Agriculture"
"Products of the printing industry","39677193","0.09731868858861444","49","Agriculture"
"Silk","576247","0.001413396414991436","50","Textiles"
"Wool","31614203","0.07754209771679767","51","Textiles"
"Cotton","83487431","0.20477475053621952","52","Textiles"
"Other vegetable textile fibres","9853857","0.024169160373309136","53","Textiles"
"Man-made filaments","137068715","0.3361968572304635","54","Textiles"
"Man-made staple fibres","81851448","0.20076207453584655","55","Textiles"
"Wadding, felt and nonwovens","84267268","0.20668750465047556","56","Textiles"
"Carpets","22642323","0.05553621651006971","57","Textiles"
"Special woven fabrics","34436849","0.08446537495241004","58","Textiles"
"Impregnated, coated or laminated textile fabrics","32273120","0.07915826391909792","59","Textiles"
"Knitted fabrics","124024232","0.30420185247101705","60","Textiles"
"Apparel, knit","154643052","0.3793025131586529","61","Textiles"
"Apparel, not knit","131589174","0.3227568504188036","62","Textiles"
"Other made up textile articles","81604546","0.2001564828335831","63","Textiles"
"Footwear","195336134","0.47911293510228564","64","Textiles"
"Headgear","7378870","0.018098607723229552","65","Textiles"
"Umbrellas and walking-sticks","2248762","0.005515676695876893","66","Textiles"
"Feathers and down","4656928","0.011422333374530781","67","Textiles"
"Articles of stone, plaster, cement, etc.","133206179","0.3267229779127831","68","Stone"
"Ceramic products","89874393","0.2204404445762519","69","Stone"
"Glass and glassware","130655716","0.3204673006411126","70","Stone"
"Precious metals and stones","110765491","0.2716813239533849","71","Stone"
"Iron and steel","1596058776","3.914751403675888","72","Metals"
"Articles of iron or steel","814417913","1.99757284383087","73","Metals"
"Copper","165066520","0.40486879342211274","74","Metals"
"Nickel","7668171","0.018808194057307537","75","Metals"
"Aluminium","284784868","0.6985093397015678","76","Metals"
"Lead","2051620","0.0050321344023044464","78","Metals"
"Zinc","20914202","0.05129754797718118","79","Metals"
"Tin","2438820","0.005981843627488585","80","Metals"
"Other base metals","3684783","0.009037893615448565","81","Metals"
"Metal tools and tableware","126318690","0.30982961055313885","82","Metals"
"Miscellaneous articles of base metal","150322086","0.36870421441922363","83","Metals"
"Industrial Machinery","3253910841","7.981067003162131","84","Machinery"
"Electrical machinery and equipment","1976903535","4.848872738865273","85","Electronics"
"Trains","164375482","0.40317384206996193","86","Vehicles"
"Vehicles","1540295883","3.7779783305739874","87","Vehicles"
