"Name","Gross Export","Share","Code","Sector"
"Live animals","697661412","0.12515765847163385","01","Agriculture"
"Meat","3678608888","0.6599276768585574","02","Agriculture"
"Fish","738328062","0.1324530923373175","03","Agriculture"
"Diary products","4266583410","0.7654079473002572","04","Agriculture"
"Animal products","170774226","0.03063621104138925","05","Agriculture"
"Plants","671708586","0.12050182560340904","06","Agriculture"
"Vegetables","2452907949","0.4400418456041795","07","Agriculture"
"Fruits and nuts","2420599485","0.43424583677596723","08","Agriculture"
"Coffee, tea and spices","933888907","0.16753592338965917","09","Agriculture"
"Cereals","637463705","0.11435843133381204","10","Agriculture"
"Flours, starches and malts","1305308388","0.23416708824002286","11","Agriculture"
"Oil seeds and oleaginous fruits","702609082","0.12604525062083294","12","Agriculture"
"Lac and other vegetable extracts","101380720","0.018187294454187673","13","Agriculture"
"Other vegetable materials","17816219","0.003196158214434589","14","Agriculture"
"Animal or vegetable fats, oils or waxes","2177284376","0.39059608234005705","15","Agriculture"
"Preparations of meat or fish","1092478964","0.19598634339225343","16","Agriculture"
"Sugar and candy","1468814926","0.26349950521033855","17","Agriculture"
"Cocoa","3673337336","0.6589819815778909","18","Agriculture"
"Preparations of cereals, flour, starch or milk","3997985727","0.7172226005160406","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","4067911317","0.7297669708382557","20","Agriculture"
"Miscellaneous edible preparations","2208233264","0.39614818868814444","21","Agriculture"
"Beverages","4113910217","0.7380189889623008","22","Agriculture"
"Food residues and animal feed","2236939601","0.40129799038337943","23","Agriculture"
"Tobacco","1657406112","0.2973320073985897","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","1242698779","0.22293517555934195","25","Minerals"
"Ores, slag and ash","1775510842","0.3185195221542783","26","Minerals"
"Mineral fuels, oils and waxes","45792287186","8.214952614091782","27","Minerals"
"Inorganic chemicals","3858479883","0.6921958117646096","28","Chemicals"
"Organic chemicals","32050924962","5.749807357976623","29","Chemicals"
"Pharmaceutical products","38970129232","6.991084845916763","30","Chemicals"
"Fertilisers","2190054388","0.3928869712627981","31","Chemicals"
"Dyes, paints, inks, etc.","4003778620","0.7182618222806187","32","Chemicals"
"Essential oils","3169709400","0.5686331502874169","33","Chemicals"
"Soaps, waxes, and paints","3500344960","0.6279478433251585","34","Chemicals"
"Albuminoidals; modified starches; glues; enzymes","1005438330","0.18037160283766693","35","Chemicals"
"Explosives","41275810","0.007404714725887764","36","Chemicals"
"Photographic or cinematographic goods","973570286","0.17465460359060092","37","Chemicals"
"Miscellaneous chemical products","8641540481","1.550257694616191","38","Chemicals"
"Plastics","31091378038","5.57766848927064","39","Chemicals"
"Rubber","4565623649","0.8190545665030371","40","Chemicals"
"Leather and skins","156475296","0.028071040363080616","41","Agriculture"
"Articles of leather","1249130241","0.22408895404074275","42","Agriculture"
"Furskins","15370256","0.0027573622648196304","43","Agriculture"
"Wood","2796528148","0.501685930787433","44","Agriculture"
"Cork","8769112","0.001573143513340116","45","Agriculture"
"Manufactues of plaiting materials","17022806","0.0030538231052069133","46","Agriculture"
"Pulp of wood","740253200","0.13279845437135065","47","Agriculture"
"Paper and paperboard","5157097674","0.9251626337438158","48","Agriculture"
"Products of the printing industry","1015732643","0.18221836129168628","49","Agriculture"
"Silk","7240352","0.0012988901023386558","50","Textiles"
"Wool","88404412","0.015859396856654027","51","Textiles"
"Cotton","313746710","0.05628490110153714","52","Textiles"
"Other vegetable textile fibres","350473369","0.06287351638806836","53","Textiles"
"Man-made filaments","769584771","0.13806042053790493","54","Textiles"
"Man-made staple fibres","945875049","0.16968618917908843","55","Textiles"
"Wadding, felt and nonwovens","494828738","0.08877029046943131","56","Textiles"
"Carpets","1618865057","0.29041789674855645","57","Textiles"
"Special woven fabrics","217383737","0.03899777032921734","58","Textiles"
"Impregnated, coated or laminated textile fabrics","475778702","0.08535279043495853","59","Textiles"
"Knitted fabrics","144408217","0.025906254800550144","60","Textiles"
"Apparel, knit","4548201768","0.8159291509438181","61","Textiles"
"Apparel, not knit","2855623006","0.5122873112390061","62","Textiles"
"Other made up textile articles","937540421","0.16819099035230836","63","Textiles"
