"Name","Gross Import","Share","Code","Sector"
"Live animals","659362067","0.12054627462847643","01","Agriculture"
"Meat","1768822460","0.32338068673304077","02","Agriculture"
"Fish","1622764644","0.2966780198973833","03","Agriculture"
"Diary products","4109382721","0.7512879536626145","04","Agriculture"
"Animal products","144901717","0.026491305833066324","05","Agriculture"
"Plants","609274214","0.11138908408707883","06","Agriculture"
"Vegetables","1857312768","0.3395587131983189","07","Agriculture"
"Fruits and nuts","3131535799","0.5725154559659547","08","Agriculture"
"Coffee, tea and spices","1244345553","0.22749446513831884","09","Agriculture"
"Cereals","1923538405","0.35166625505551186","10","Agriculture"
"Flours, starches and malts","617236744","0.11284481436966042","11","Agriculture"
"Oil seeds and oleaginous fruits","1766470157","0.3229506326282641","12","Agriculture"
"Lac and other vegetable extracts","143927869","0.026313264428609266","13","Agriculture"
"Other vegetable materials","18472061","0.0033771098607344795","14","Agriculture"
"Animal or vegetable fats, oils or waxes","2280140153","0.41686110686581884","15","Agriculture"
"Preparations of meat or fish","1289248621","0.23570375990624057","16","Agriculture"
"Sugar and candy","864722412","0.15809078285110165","17","Agriculture"
"Cocoa","2296228003","0.4198023291188754","18","Agriculture"
"Preparations of cereals, flour, starch or milk","1926191076","0.35215122321317355","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","2100359147","0.38399307940881966","20","Agriculture"
"Miscellaneous edible preparations","1433064864","0.2619966165814695","21","Agriculture"
"Beverages","3241803723","0.5926749223873312","22","Agriculture"
"Food residues and animal feed","1940525754","0.35477192603698154","23","Agriculture"
"Tobacco","2140625632","0.3913547021075871","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","1320328440","0.24138585261992007","25","Minerals"
"Ores, slag and ash","4015512403","0.734126339885566","26","Minerals"
"Mineral fuels, oils and waxes","55974705705","10.23344014444658","27","Minerals"
"Inorganic chemicals","3339778104","0.6105868515529211","28","Chemicals"
"Organic chemicals","33951340923","6.207071761847331","29","Chemicals"
"Pharmaceutical products","34711728768","6.346087829915326","30","Chemicals"
