"Name","Gross Export","Share","Code","Sector"
"Live animals","13632","0.00013992320616600578","01","Agriculture"
"Meat","7524414","0.07723299085976967","02","Agriculture"
"Fish","612073","0.006282512952438796","03","Agriculture"
"Diary products","13378176","0.1373178754821824","04","Agriculture"
"Animal products","1608088","0.016505929339574524","05","Agriculture"
"Vegetables","14540787","0.14925128647425007","07","Agriculture"
"Fruits and nuts","216398946","2.2211879647347677","08","Agriculture"
"Coffee, tea and spices","9457676","0.09707661009384426","09","Agriculture"
"Cereals","80231065","0.8235173011233282","10","Agriculture"
"Flours, starches and malts","4508744","0.046279189866618366","11","Agriculture"
"Oil seeds and oleaginous fruits","81746320","0.8390703628720865","12","Agriculture"
"Lac and other vegetable extracts","141643","0.0014538690354292515","13","Agriculture"
"Other vegetable materials","215829","0.002215337856778379","14","Agriculture"
"Animal or vegetable fats, oils or waxes","307765483","3.1590033104892417","15","Agriculture"
"Preparations of meat or fish","8198176","0.0841486994302524","16","Agriculture"
"Sugar and candy","30568420","0.31376403563886845","17","Agriculture"
"Cocoa","1782013","0.01829115114359613","18","Agriculture"
"Preparations of cereals, flour, starch or milk","20809451","0.21359485786930718","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","15575482","0.15987172674742606","20","Agriculture"
"Miscellaneous edible preparations","730335","0.00749639192893558","21","Agriculture"
"Beverages","57862323","0.5939173819229033","22","Agriculture"
"Food residues and animal feed","552193034","5.667885837721115","23","Agriculture"
"Tobacco","121401","0.0012460986760386788","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","60813861","0.6242129115649808","25","Minerals"
"Ores, slag and ash","1872028461","19.21509861334606","26","Minerals"
"Mineral fuels, oils and waxes","3030947639","31.110615564125986","27","Minerals"
"Inorganic chemicals","30006704","0.3079984030336202","28","Chemicals"
"Organic chemicals","5692294","0.05842752544890828","29","Chemicals"
"Pharmaceutical products","1497816","0.015374062277489884","30","Chemicals"
"Fertilisers","73416243","0.7535677894089333","31","Chemicals"
"Dyes, paints, inks, etc.","595860","0.006116097537124135","32","Chemicals"
"Essential oils","4288585","0.04401940750553403","33","Chemicals"
"Soaps, waxes, and paints","3434360","0.03525136900882362","34","Chemicals"
"Albuminoidals; modified starches; glues; enzymes","286754","0.0029433347315820733","35","Chemicals"
"Explosives","6817128","0.06997318123562578","36","Chemicals"
"Photographic or cinematographic goods","5388","0.00005530415454976813","37","Chemicals"
"Miscellaneous chemical products","734262","0.007536699912401976","38","Chemicals"
"Plastics","3023331","0.031032435946381783","39","Chemicals"
"Rubber","463444","0.004756937379577346","40","Chemicals"
"Leather and skins","20865325","0.2141683664682889","41","Agriculture"
"Articles of leather","2727966","0.02800071515785315","42","Agriculture"
"Furskins","19729","0.00020250476338388556","43","Agriculture"
"Wood","58525943","0.600728989762977","44","Agriculture"
"Manufactues of plaiting materials","15239","0.00015641796792574547","46","Agriculture"
"Pulp of wood","184036","0.0018890043405198826","47","Agriculture"
"Paper and paperboard","1307573","0.013421347304584996","48","Agriculture"
"Products of the printing industry","482169","0.0049491367659812826","49","Agriculture"
"Wool","15819498","0.16237638498362061","51","Textiles"
"Cotton","145616","0.0014946491776018998","52","Textiles"
"Other vegetable textile fibres","4345","0.00004459846910147411","53","Textiles"
"Man-made filaments","465375","0.004776757780920257","54","Textiles"
"Man-made staple fibres","224369","0.002302995147026155","55","Textiles"
"Wadding, felt and nonwovens","262323","0.002692567136963405","56","Textiles"
"Carpets","7887","0.00008095468948292896","57","Textiles"
"Special woven fabrics","26752","0.0002745910806450254","58","Textiles"
"Impregnated, coated or laminated textile fabrics","4725","0.000048498910587909134","59","Textiles"
"Knitted fabrics","9974","0.00010237632469921813","60","Textiles"
"Apparel, knit","7999384","0.0821082347882224","61","Textiles"
"Apparel, not knit","1308464","0.013430492813438716","62","Textiles"
"Other made up textile articles","1840085","0.018887220717281012","63","Textiles"
"Footwear","897667","0.00921394107316754","64","Textiles"
"Headgear","7599691","0.07800565805391275","65","Textiles"
"Feathers and down","2118","0.000021739829127024667","67","Textiles"
"Articles of stone, plaster, cement, etc.","4153538","0.04263324192285353","68","Stone"
"Ceramic products","2260456","0.023202043054370947","69","Stone"
"Glass and glassware","1006596","0.010332023153893541","70","Stone"
"Precious metals and stones","1192922697","12.244539940759877","71","Stone"
"Iron and steel","16432870","0.1686722312873512","72","Metals"
