"Name","Gross Import","Share","Code","Sector"
"Live animals","8315404","0.07869819056924116","01","Agriculture"
"Meat","3903207","0.03694051766062071","02","Agriculture"
"Fish","10022132","0.09485091211997516","03","Agriculture"
"Diary products","21284005","0.2014349130320886","04","Agriculture"
"Animal products","925265","0.008756842276941556","05","Agriculture"
"Plants","1683432","0.015932244824948826","06","Agriculture"
"Vegetables","1743765","0.016503245095244055","07","Agriculture"
"Fruits and nuts","23535215","0.22274069127105103","08","Agriculture"
"Coffee, tea and spices","4407972","0.041717686895294454","09","Agriculture"
"Cereals","39619542","0.37496509689511826","10","Agriculture"
"Flours, starches and malts","103732363","0.981738141835526","11","Agriculture"
"Oil seeds and oleaginous fruits","15168544","0.14355730237158887","12","Agriculture"
"Lac and other vegetable extracts","1635680","0.015480312964985993","13","Agriculture"
"Other vegetable materials","22363","0.00021164667834538647","14","Agriculture"
"Animal or vegetable fats, oils or waxes","19099759","0.18076289181001656","15","Agriculture"
"Preparations of meat or fish","12382622","0.11719093214266896","16","Agriculture"
"Sugar and candy","30362998","0.2873598207444266","17","Agriculture"
"Cocoa","30397246","0.2876839487880689","18","Agriculture"
"Preparations of cereals, flour, starch or milk","64698396","0.6123150117459392","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","27690109","0.2620632112360457","20","Agriculture"
"Miscellaneous edible preparations","132491079","1.253914804844886","21","Agriculture"
"Beverages","42092296","0.3983675997107185","22","Agriculture"
"Food residues and animal feed","36712830","0.3474555525716073","23","Agriculture"
"Tobacco","24481348","0.23169503132931496","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","28574802","0.27043607421531574","25","Minerals"
"Ores, slag and ash","109758","0.0010387656451206425","26","Minerals"
"Mineral fuels, oils and waxes","370303713","3.504608095309811","27","Minerals"
"Inorganic chemicals","61618997","0.5831711325861617","28","Chemicals"
"Organic chemicals","57977962","0.5487118487919795","29","Chemicals"
"Pharmaceutical products","136130175","1.2883557376615915","30","Chemicals"
"Fertilisers","48737104","0.46125502722236045","31","Chemicals"
"Dyes, paints, inks, etc.","60313858","0.5708191076284629","32","Chemicals"
"Essential oils","104591594","0.9898700287505814","33","Chemicals"
"Soaps, waxes, and paints","45131627","0.427132269501988","34","Chemicals"
"Albuminoidals; modified starches; glues; enzymes","25065061","0.23721937589654746","35","Chemicals"
"Explosives","11595322","0.10973981065354305","36","Chemicals"
"Photographic or cinematographic goods","8407767","0.07957232740920069","37","Chemicals"
"Miscellaneous chemical products","232340021","2.1988996865960444","38","Chemicals"
"Plastics","346907959","3.283187283187744","39","Chemicals"
"Rubber","134677830","1.2746105337505986","40","Chemicals"
"Leather and skins","102964","0.000974466242863407","41","Agriculture"
"Articles of leather","18765098","0.17759561152464584","42","Agriculture"
"Furskins","18258","0.00017279636243930003","43","Agriculture"
"Wood","33136508","0.31360872200354717","44","Agriculture"
"Cork","567168","0.005367760285462423","45","Agriculture"
"Manufactues of plaiting materials","32923","0.0003115880512974627","46","Agriculture"
"Pulp of wood","16095486","0.15233001601997367","47","Agriculture"
"Paper and paperboard","174649238","1.6529057415486672","48","Agriculture"
"Products of the printing industry","39163171","0.37064593550160385","49","Agriculture"
"Silk","74331","0.0007034793743277253","50","Textiles"
"Wool","5773236","0.054638743581094024","51","Textiles"
"Cotton","29195444","0.2763099201993804","52","Textiles"
"Other vegetable textile fibres","2011219","0.019034468576449037","53","Textiles"
"Man-made filaments","17362400","0.16432027402870536","54","Textiles"
"Man-made staple fibres","73330376","0.6940093235352255","55","Textiles"
"Wadding, felt and nonwovens","10955472","0.10368417736913149","56","Textiles"
"Carpets","4702917","0.044509089191255645","57","Textiles"
"Special woven fabrics","3432362","0.03248437222997484","58","Textiles"
"Impregnated, coated or laminated textile fabrics","13769185","0.13031356565635738","59","Textiles"
"Knitted fabrics","12947133","0.12253354619442555","60","Textiles"
"Apparel, knit","35520776","0.33617378046999613","61","Textiles"
"Apparel, not knit","34935754","0.33063704733674143","62","Textiles"
"Other made up textile articles","19430800","0.18389591188988666","63","Textiles"
"Footwear","104582484","0.9897838103881199","64","Textiles"
"Headgear","3445536","0.032609052878390624","65","Textiles"
"Umbrellas and walking-sticks","1109339","0.010498945334212435","66","Textiles"
"Feathers and down","1004955","0.009511040005213427","67","Textiles"
"Articles of stone, plaster, cement, etc.","23959606","0.22675718930215946","68","Stone"
"Ceramic products","42709588","0.4042097408084773","69","Stone"
"Glass and glassware","23172166","0.2193047428327103","70","Stone"
"Precious metals and stones","17280125","0.1635416114851796","71","Stone"
"Iron and steel","369763882","3.499499056360749","72","Metals"
"Articles of iron or steel","229590096","2.1728739972006617","73","Metals"
"Copper","18712622","0.17709897104291922","74","Metals"
"Nickel","263490","0.0024937076097672887","75","Metals"
"Aluminium","63186088","0.5980023092983626","76","Metals"
"Lead","198005","0.001873948063577259","78","Metals"
"Zinc","2277194","0.021551694586953628","79","Metals"
"Tin","291113","0.0027551356916853953","80","Metals"
"Other base metals","251143","0.00237685380940372","81","Metals"
"Metal tools and tableware","52131296","0.4933781530313523","82","Metals"
"Miscellaneous articles of base metal","37804735","0.3577894999989972","83","Metals"
"Industrial Machinery","1230336882","11.644086854228847","84","Machinery"
"Electrical machinery and equipment","630832995","5.970295040129758","85","Electronics"
"Trains","5597600","0.052976498980733144","86","Vehicles"
"Vehicles","1020978236","9.662686236745163","87","Vehicles"
"Aircraft","17293494","0.16366813764190274","88","Vehicles"
"Ships","1667856","0.015784831299844516","89","Vehicles"
"Apparatuses (optical, medical, etc.)","131062919","1.2403984912847312","90","Machinery"
"Clocks","5642782","0.053404107987619576","91","Machinery"
"Musical instruments","6734661","0.06373780934723511","92","Machinery"
"Arms and ammunition","5328152","0.05042640399406733","93","Machinery"
"Furniture","63061791","0.5968259444466747","94","Textiles"
"Toys","41868646","0.3962509436443613","95","Machinery"
"Miscellaneous manufactured articles","33318249","0.315328745210146","96","Machinery"
"Art","217773","0.0020610352852170927","97","Textiles"
"Other","250012976","2.366159098226751","99","Other"
"Travel and tourism","1099385856","10.404747334539167","travel","Services"
"Transport","987661632","9.347373060053815","transport","Services"
"ICT","946868928","8.96130498768756","ict","Services"
"Insurance and finance","221726416","2.098450988142349","financial","Services"
