"Name","Gross Export","Share","Code","Sector"
"Live animals","6267112","0.0667383597206038","01","Agriculture"
"Meat","50062307","0.5331125808840341","02","Agriculture"
"Fish","7671241","0.08169090345943143","03","Agriculture"
"Diary products","49568727","0.527856456597298","04","Agriculture"
"Animal products","336813","0.003586715404571631","05","Agriculture"
"Plants","3142845","0.033468098249417114","06","Agriculture"
"Vegetables","17807940","0.18963642353973073","07","Agriculture"
"Fruits and nuts","71781633","0.7644012815610066","08","Agriculture"
"Coffee, tea and spices","6858597","0.07303707254069401","09","Agriculture"
"Cereals","17198059","0.1831418120560423","10","Agriculture"
"Flours, starches and malts","9414867","0.10025874446916566","11","Agriculture"
"Oil seeds and oleaginous fruits","6983918","0.07437161355073912","12","Agriculture"
"Lac and other vegetable extracts","21169","0.0002254282892862712","13","Agriculture"
"Other vegetable materials","101895","0.0010850779695226321","14","Agriculture"
"Animal or vegetable fats, oils or waxes","78648628","0.837527784248303","15","Agriculture"
"Preparations of meat or fish","32020227","0.34098280481685816","16","Agriculture"
"Sugar and candy","12486934","0.13297312910626743","17","Agriculture"
"Cocoa","12874929","0.13710488068176116","18","Agriculture"
"Preparations of cereals, flour, starch or milk","39514104","0.42078496232225443","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","10263762","0.10929861161611022","20","Agriculture"
"Miscellaneous edible preparations","11310450","0.12044477276006924","21","Agriculture"
"Beverages","45104228","0.48031408935792586","22","Agriculture"
"Food residues and animal feed","9823949","0.104615051117463","23","Agriculture"
"Tobacco","5120186","0.0545247659694608","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","47905801","0.5101479883942812","25","Minerals"
"Ores, slag and ash","41505070","0.44198672241517956","26","Minerals"
"Mineral fuels, oils and waxes","743997165","7.922812043071738","27","Minerals"
"Inorganic chemicals","387510070","4.1265875648969335","28","Chemicals"
"Organic chemicals","15896499","0.1692815237002655","29","Chemicals"
"Pharmaceutical products","84092083","0.8954950358169553","30","Chemicals"
"Fertilisers","3015624","0.03211332417452984","31","Chemicals"
"Dyes, paints, inks, etc.","10385017","0.11058985386739306","32","Chemicals"
"Essential oils","15123546","0.16105036150608104","33","Chemicals"
"Soaps, waxes, and paints","6316731","0.06726675153344783","34","Chemicals"
"Albuminoidals; modified starches; glues; enzymes","623750","0.006642302208054781","35","Chemicals"
"Explosives","21934708","0.23358229960951798","36","Chemicals"
"Photographic or cinematographic goods","69863","0.000743969794246623","37","Chemicals"
"Miscellaneous chemical products","57388360","0.611127583718866","38","Chemicals"
"Plastics","246503782","2.6250142131822916","39","Chemicals"
"Rubber","11495319","0.12241343932023097","40","Chemicals"
"Leather and skins","56411650","0.6007266170020256","41","Agriculture"
"Articles of leather","52930856","0.5636597061050576","42","Agriculture"
"Furskins","3641064","0.03877362316131266","43","Agriculture"
"Wood","467315231","4.97643124766161","44","Agriculture"
"Cork","15189","0.00016174737994091232","45","Agriculture"
"Manufactues of plaiting materials","2673340","0.028468348192194255","46","Agriculture"
"Pulp of wood","7537552","0.08026725177222882","47","Agriculture"
"Paper and paperboard","164962977","1.7566876895781802","48","Agriculture"
"Products of the printing industry","28245816","0.30078917192001453","49","Agriculture"
"Silk","12138","0.00012925733739698427","50","Textiles"
"Wool","495051","0.005271788938516597","51","Textiles"
"Cotton","13259094","0.14119584665812568","52","Textiles"
"Other vegetable textile fibres","52372","0.0005577084589021963","53","Textiles"
"Man-made filaments","3273280","0.03485709815083215","54","Textiles"
"Man-made staple fibres","17170506","0.18284840066888636","55","Textiles"
"Wadding, felt and nonwovens","2053995","0.021872954747628823","56","Textiles"
"Carpets","745388","0.007937623019250559","57","Textiles"
"Special woven fabrics","1442238","0.015358365774654126","58","Textiles"
"Impregnated, coated or laminated textile fabrics","11200389","0.11927273520765126","59","Textiles"
"Knitted fabrics","2777121","0.029573510140818115","60","Textiles"
"Apparel, knit","166880747","1.7771099868215328","61","Textiles"
"Apparel, not knit","260874473","2.778047435724292","62","Textiles"
"Other made up textile articles","35330136","0.3762299645109029","63","Textiles"
"Footwear","569550642","6.065134247624237","64","Textiles"
"Headgear","3197098","0.03404583744251306","65","Textiles"
"Umbrellas and walking-sticks","7775109","0.08279699186944545","66","Textiles"
"Feathers and down","39771","0.0004235206430726199","67","Textiles"
"Articles of stone, plaster, cement, etc.","30483258","0.3246156503761179","68","Stone"
"Ceramic products","8191524","0.08723138749905207","69","Stone"
"Glass and glassware","21465385","0.2285844876669274","70","Stone"
"Precious metals and stones","8903598","0.09481425034874891","71","Stone"
"Iron and steel","340426715","3.6251977887380127","72","Metals"
"Articles of iron or steel","407276443","4.337079305214584","73","Metals"
"Copper","44550903","0.47442174167171836","74","Metals"
"Nickel","16532","0.00017604896208987835","75","Metals"
"Aluminium","380661148","4.053653521252213","76","Metals"
"Lead","1616995","0.01721934983392952","78","Metals"
"Zinc","22690375","0.2416293835095647","79","Metals"
"Tin","207392","0.0022085135703934222","80","Metals"
"Other base metals","126978","0.0013521863723837753","81","Metals"
"Metal tools and tableware","20417449","0.2174250365940615","82","Metals"
"Miscellaneous articles of base metal","39908627","0.4249862304489533","83","Metals"
"Industrial Machinery","477989324","5.090099466503906","84","Machinery"
"Electrical machinery and equipment","439327617","4.678391664061795","85","Electronics"
"Trains","7522715","0.08010925283377446","86","Vehicles"
"Vehicles","183853538","1.9578529241139615","87","Vehicles"
"Aircraft","395353","0.0042101067813404116","88","Vehicles"
"Ships","474383","0.0050516957889597605","89","Vehicles"
"Apparatuses (optical, medical, etc.)","72102448","0.7678176345596072","90","Machinery"
"Clocks","797042","0.008487685509438715","91","Machinery"
"Musical instruments","175511","0.0018690133913232905","92","Machinery"
"Arms and ammunition","72589497","0.7730042103481938","93","Machinery"
"Furniture","479135554","5.102305648563928","94","Textiles"
"Toys","66682084","0.7100962786226763","95","Machinery"
"Miscellaneous manufactured articles","1501732","0.015991916279769973","96","Machinery"
"Art","730970","0.00778408600404297","97","Textiles"
"Other","85468912","0.9101568623609455","99","Other"
"Travel and tourism","1030746240","10.976397636707274","travel","Services"
"Transport","480958592","5.121719146492214","transport","Services"
"ICT","572951680","6.10135183835302","ict","Services"
"Insurance and finance","12211776","0.13004297665582426","financial","Services"
