"Name","Gross Import","Share","Code","Sector"
"Live animals","37753557","0.3706503979341374","01","Agriculture"
"Meat","137832434","1.353187635017562","02","Agriculture"
"Fish","13890936","0.1363760494429077","03","Agriculture"
"Diary products","85749111","0.8418529177170913","04","Agriculture"
"Animal products","1704599","0.016735119757540533","05","Agriculture"
"Plants","11157666","0.10954181993808412","06","Agriculture"
"Vegetables","38660980","0.3795591398586291","07","Agriculture"
"Fruits and nuts","70597723","0.6931022187709095","08","Agriculture"
"Coffee, tea and spices","27971646","0.2746152295205674","09","Agriculture"
"Cereals","125266361","1.2298185983485292","10","Agriculture"
"Flours, starches and malts","28035029","0.2752375002690497","11","Agriculture"
"Oil seeds and oleaginous fruits","57394673","0.5634795785401013","12","Agriculture"
"Lac and other vegetable extracts","2234963","0.021942036489914673","13","Agriculture"
"Other vegetable materials","68649","0.0006739703802685558","14","Agriculture"
"Animal or vegetable fats, oils or waxes","93546623","0.9184059939132285","15","Agriculture"
"Preparations of meat or fish","63189236","0.62036844550976","16","Agriculture"
"Sugar and candy","53918653","0.5293533054520577","17","Agriculture"
"Cocoa","90197088","0.8855215035685355","18","Agriculture"
"Preparations of cereals, flour, starch or milk","127312414","1.2499059866347335","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","44852183","0.4403420710044553","20","Agriculture"
"Miscellaneous edible preparations","157214832","1.543476818408092","21","Agriculture"
"Beverages","198023811","1.944124214510024","22","Agriculture"
"Food residues and animal feed","85372240","0.8381529382391355","23","Agriculture"
"Tobacco","36947667","0.36273846928616543","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","59853999","0.5876243276176457","25","Minerals"
"Ores, slag and ash","6531823","0.06412701177230402","26","Minerals"
"Mineral fuels, oils and waxes","1045626799","10.26557548312463","27","Minerals"
"Inorganic chemicals","126059243","1.2376028192847133","28","Chemicals"
"Organic chemicals","41356272","0.40602051546752066","29","Chemicals"
"Pharmaceutical products","327316733","3.2134740929696184","30","Chemicals"
"Fertilisers","37196313","0.365179583347146","31","Chemicals"
"Dyes, paints, inks, etc.","93906614","0.921940251821767","32","Chemicals"
"Essential oils","126624999","1.2431572015256667","33","Chemicals"
"Soaps, waxes, and paints","86464958","0.8488808376402381","34","Chemicals"
"Albuminoidals; modified starches; glues; enzymes","21027794","0.2064430700868018","35","Chemicals"
"Explosives","11141139","0.1093795639915343","36","Chemicals"
"Photographic or cinematographic goods","3490497","0.03426840289612745","37","Chemicals"
"Miscellaneous chemical products","89091373","0.8746660044495586","38","Chemicals"
"Plastics","539918904","5.300723230390273","39","Chemicals"
"Rubber","114235979","1.1215264054389833","40","Chemicals"
"Leather and skins","185676035","1.8228983366940184","41","Agriculture"
"Articles of leather","40256954","0.3952278197181861","42","Agriculture"
"Furskins","1387527","0.013622224647451359","43","Agriculture"
"Wood","152316019","1.4953820921852112","44","Agriculture"
"Cork","512300","0.005029571090789103","45","Agriculture"
"Manufactues of plaiting materials","403204","0.003958507089772652","46","Agriculture"
"Pulp of wood","18020134","0.17691498149237908","47","Agriculture"
"Paper and paperboard","206366732","2.0260319136596183","48","Agriculture"
"Products of the printing industry","26098349","0.2562238954669621","49","Agriculture"
"Silk","309989","0.0030433568472821066","50","Textiles"
"Wool","33390516","0.3278156821786668","51","Textiles"
"Cotton","43146857","0.4235998138309808","52","Textiles"
"Other vegetable textile fibres","1284989","0.012615544654268982","53","Textiles"
"Man-made filaments","52635190","0.5167527424989102","54","Textiles"
"Man-made staple fibres","55341343","0.5433207473711573","55","Textiles"
"Wadding, felt and nonwovens","40339077","0.396034072825133","56","Textiles"
"Carpets","20524915","0.2015059908742995","57","Textiles"
"Special woven fabrics","17660365","0.17338290309737203","58","Textiles"
"Impregnated, coated or laminated textile fabrics","50940932","0.5001191468378949","59","Textiles"
"Knitted fabrics","56876438","0.558391739824046","60","Textiles"
"Apparel, knit","130751470","1.283669360902164","61","Textiles"
"Apparel, not knit","118179805","1.1602454240544477","62","Textiles"
"Other made up textile articles","32511889","0.3191896486850366","63","Textiles"
"Footwear","228141822","2.2398116582688923","64","Textiles"
"Headgear","2396329","0.02352626793367082","65","Textiles"
"Umbrellas and walking-sticks","1367704","0.013427609797299667","66","Textiles"
"Feathers and down","1032974","0.010141355002804574","67","Textiles"
"Articles of stone, plaster, cement, etc.","48172054","0.4729353312167316","68","Stone"
