"Name","Gross Export","Share","Code","Sector"
"Live animals","144022","0.002258525902703743","01","Agriculture"
"Meat","70129488","1.0997574342208223","02","Agriculture"
"Fish","1495882","0.023458140036857426","03","Agriculture"
"Diary products","693896","0.010881546498330228","04","Agriculture"
"Animal products","56840","0.0008913541841502043","05","Agriculture"
"Plants","7984","0.0001252035856132166","06","Agriculture"
"Vegetables","6426633","0.10078124937628044","07","Agriculture"
"Fruits and nuts","81623","0.0012799965266166806","08","Agriculture"
"Coffee, tea and spices","125165","0.00196281397711401","09","Agriculture"
"Cereals","1439478","0.02257362312266305","10","Agriculture"
"Flours, starches and malts","863859","0.013546874281594148","11","Agriculture"
"Oil seeds and oleaginous fruits","271836","0.004262880999342979","12","Agriculture"
"Lac and other vegetable extracts","3048073","0.04779930721578582","13","Agriculture"
"Animal or vegetable fats, oils or waxes","268291","0.004207288976422281","15","Agriculture"
"Preparations of meat or fish","239118","0.0037498034800427264","16","Agriculture"
"Sugar and candy","75955","0.001191112017190865","17","Agriculture"
"Cocoa","5116","0.0000802281492982485","18","Agriculture"
"Preparations of cereals, flour, starch or milk","1265925","0.019851997634946293","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","1412254","0.022146701477531013","20","Agriculture"
"Miscellaneous edible preparations","293175","0.0045975151818831135","21","Agriculture"
"Beverages","1090878","0.017106943520362537","22","Agriculture"
"Food residues and animal feed","3213937","0.05040035525237782","23","Agriculture"
"Tobacco","3078965","0.04828374974669307","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","22131040","0.34705480477824663","25","Minerals"
"Ores, slag and ash","6693956","0.10497335835885582","26","Minerals"
"Mineral fuels, oils and waxes","13027510","0.20429496037224892","27","Minerals"
"Inorganic chemicals","48307821","0.7575541586124052","28","Chemicals"
"Organic chemicals","116375","0.0018249708511695992","29","Chemicals"
"Pharmaceutical products","9910171","0.1554094367785717","30","Chemicals"
"Fertilisers","581698","0.009122078575154917","31","Chemicals"
"Dyes, paints, inks, etc.","977511","0.01532914355916345","32","Chemicals"
"Essential oils","4259594","0.06679815156018834","33","Chemicals"
"Soaps, waxes, and paints","1492828","0.023410247783542948","34","Chemicals"
"Albuminoidals; modified starches; glues; enzymes","176473","0.00276741637824664","35","Chemicals"
"Explosives","687027","0.010773828132902225","36","Chemicals"
"Photographic or cinematographic goods","20025","0.0003140282818016862","37","Chemicals"
"Miscellaneous chemical products","186304","0.0029215842703011904","38","Chemicals"
"Plastics","27182888","0.42627693448427834","39","Chemicals"
"Rubber","1429419","0.022415879777512332","40","Chemicals"
