"Name","Gross Import","Share","Code","Sector"
"Live animals","4935174","0.06502789332432815","01","Agriculture"
"Meat","13111150","0.172757933876144","02","Agriculture"
"Fish","3515496","0.04632162895778392","03","Agriculture"
"Diary products","50187197","0.6612872601377462","04","Agriculture"
"Animal products","1748828","0.023043280870461334","05","Agriculture"
"Plants","1978358","0.02606766306138977","06","Agriculture"
"Vegetables","34612211","0.45606480432648117","07","Agriculture"
"Fruits and nuts","28893733","0.3807157736010159","08","Agriculture"
"Coffee, tea and spices","30113790","0.39679174912803883","09","Agriculture"
"Cereals","74205074","0.9777567389104976","10","Agriculture"
"Flours, starches and malts","14571991","0.19200657895163775","11","Agriculture"
"Oil seeds and oleaginous fruits","5266720","0.06939648051499411","12","Agriculture"
"Lac and other vegetable extracts","179965","0.0023712932557418877","13","Agriculture"
"Other vegetable materials","53476","0.0007046218883897047","14","Agriculture"
"Animal or vegetable fats, oils or waxes","39767225","0.5239894003949112","15","Agriculture"
"Preparations of meat or fish","16807792","0.2214664174340147","16","Agriculture"
"Sugar and candy","63595554","0.8379613163413389","17","Agriculture"
"Cocoa","7587830","0.0999803856567442","18","Agriculture"
"Preparations of cereals, flour, starch or milk","52018670","0.6854195057020136","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","66465610","0.8757783609689138","20","Agriculture"
"Miscellaneous edible preparations","61609921","0.8117977948717279","21","Agriculture"
"Beverages","90779617","1.196149771071773","22","Agriculture"
"Food residues and animal feed","36611015","0.4824018723383163","23","Agriculture"
"Tobacco","19341810","0.2548556864214764","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","58214802","0.7670623030419769","25","Minerals"
"Ores, slag and ash","320241","0.004219627836034996","26","Minerals"
"Mineral fuels, oils and waxes","828072028","10.91101944969804","27","Minerals"
"Inorganic chemicals","13873864","0.1828077689232916","28","Chemicals"
"Organic chemicals","5257288","0.06927220058285088","29","Chemicals"
"Pharmaceutical products","104719878","1.379832414322303","30","Chemicals"
"Fertilisers","19822243","0.26118607028909424","31","Chemicals"
"Dyes, paints, inks, etc.","21730103","0.286324822551477","32","Chemicals"
"Essential oils","63735552","0.8398059878786786","33","Chemicals"
"Soaps, waxes, and paints","65243980","0.8596816589434536","34","Chemicals"
"Albuminoidals; modified starches; glues; enzymes","3966976","0.05227051612530176","35","Chemicals"
"Explosives","6804365","0.08965712685303337","36","Chemicals"
"Photographic or cinematographic goods","964887","0.012713750093923946","37","Chemicals"
"Miscellaneous chemical products","43006465","0.56667096606451","38","Chemicals"
"Plastics","114830950","1.5130600799346203","39","Chemicals"
"Rubber","61629414","0.8120546427001065","40","Chemicals"
"Leather and skins","189057","0.002491093207294719","41","Agriculture"
"Articles of leather","13824313","0.18215486445789406","42","Agriculture"
"Furskins","119134","0.0015697588460509215","43","Agriculture"
"Wood","63166511","0.8323080683635471","44","Agriculture"
"Cork","27013","0.0003559344579076799","45","Agriculture"
"Manufactues of plaiting materials","99705","0.0013137543081362761","46","Agriculture"
"Pulp of wood","703531","0.009270015366906598","47","Agriculture"
"Paper and paperboard","80437493","1.0598776687671787","48","Agriculture"
