"Name","Gross Export","Share","Code","Sector"
"Live animals","632500680","0.23487481273981684","01","Agriculture"
"Meat","12834976978","4.766181143437839","02","Agriculture"
"Fish","275067075","0.10214428185518182","03","Agriculture"
"Diary products","238014702","0.08838513590463383","04","Agriculture"
"Animal products","554642589","0.20596274177745102","05","Agriculture"
"Plants","12427389","0.004614826128281569","06","Agriculture"
"Vegetables","110512131","0.041037925957807836","07","Agriculture"
"Fruits and nuts","1073685585","0.39870581754681383","08","Agriculture"
"Coffee, tea and spices","4370538758","1.6229697529453433","09","Agriculture"
"Cereals","4631833228","1.7199996718874062","10","Agriculture"
"Flours, starches and malts","101214285","0.03758523427353383","11","Agriculture"
"Oil seeds and oleaginous fruits","31853621475","11.82862503645946","12","Agriculture"
"Lac and other vegetable extracts","125136492","0.04646858265103776","13","Agriculture"
"Other vegetable materials","14249109","0.005291309422915148","14","Agriculture"
"Animal or vegetable fats, oils or waxes","1424406238","0.5289435395005061","15","Agriculture"
"Preparations of meat or fish","987687814","0.3667711319435246","16","Agriculture"
"Sugar and candy","6479793736","2.4062272001599085","17","Agriculture"
"Cocoa","354379694","0.1315964818678829","18","Agriculture"
"Preparations of cereals, flour, starch or milk","199697005","0.0741561205184432","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","2611335922","0.9697017806850531","20","Agriculture"
"Miscellaneous edible preparations","1045980471","0.3884177124610054","21","Agriculture"
"Beverages","1033946921","0.38394913575869233","22","Agriculture"
"Food residues and animal feed","6745525230","2.504904777695986","23","Agriculture"
"Tobacco","1799713477","0.6683113224411074","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","729293306","0.2708180941072695","25","Minerals"
"Ores, slag and ash","25213936003","9.363023130881617","26","Minerals"
"Mineral fuels, oils and waxes","28692393743","10.654724683369853","27","Minerals"
"Inorganic chemicals","3900632767","1.4484733687810716","28","Chemicals"
"Organic chemicals","2204293056","0.8185491891513517","29","Chemicals"
"Pharmaceutical products","1373264310","0.5099523334165013","30","Chemicals"
"Fertilisers","194971332","0.07240127408737752","31","Chemicals"
"Dyes, paints, inks, etc.","354114878","0.1314981442527984","32","Chemicals"
"Essential oils","849490124","0.31545236251575853","33","Chemicals"
"Soaps, waxes, and paints","286759824","0.10648630443101316","34","Chemicals"
