"Name","Gross Import","Share","Code","Sector"
"Live animals","12231742","0.004947543609183817","01","Agriculture"
"Meat","263004681","0.106381178467219","02","Agriculture"
"Fish","1187597039","0.48036396946486226","03","Agriculture"
"Diary products","454035408","0.18365004601908433","04","Agriculture"
"Animal products","218358799","0.0883226347074279","05","Agriculture"
"Plants","43962782","0.017782240757370563","06","Agriculture"
"Vegetables","360469974","0.1458043274757068","07","Agriculture"
"Fruits and nuts","592861410","0.23980293895809823","08","Agriculture"
"Coffee, tea and spices","105249185","0.042571608575340716","09","Agriculture"
"Cereals","1612309307","0.652153275295983","10","Agriculture"
"Flours, starches and malts","513055894","0.20752288672486632","11","Agriculture"
"Oil seeds and oleaginous fruits","232386637","0.09399667036380177","12","Agriculture"
"Lac and other vegetable extracts","106526924","0.04308843352338613","13","Agriculture"
"Other vegetable materials","2420029","0.0009788629463399","14","Agriculture"
"Animal or vegetable fats, oils or waxes","1052479922","0.4257112610685691","15","Agriculture"
"Preparations of meat or fish","77598063","0.031387172872080954","16","Agriculture"
"Sugar and candy","80157858","0.03242256892548616","17","Agriculture"
"Cocoa","376472801","0.15227721453077417","18","Agriculture"
"Preparations of cereals, flour, starch or milk","216485484","0.08756490881227427","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","470309605","0.19023269789008918","20","Agriculture"
"Miscellaneous edible preparations","338579119","0.13694982745806253","21","Agriculture"
"Beverages","1408967515","0.5699047792526897","22","Agriculture"
"Food residues and animal feed","231227047","0.09352763479276263","23","Agriculture"
"Tobacco","56555122","0.022875640478495298","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","656108224","0.2653852616073936","25","Minerals"
"Ores, slag and ash","1146283585","0.4636533394245124","26","Minerals"
"Mineral fuels, oils and waxes","23338487999","9.440044365509479","27","Minerals"
"Inorganic chemicals","2289916978","0.9262347186578509","28","Chemicals"
"Organic chemicals","9387051911","3.796912058098085","29","Chemicals"
"Pharmaceutical products","6306243096","2.550774266459705","30","Chemicals"
"Fertilisers","7660214136","3.098433852966023","31","Chemicals"
"Dyes, paints, inks, etc.","1203110110","0.48663875806691625","32","Chemicals"
"Essential oils","728935104","0.2948425674204819","33","Chemicals"
"Soaps, waxes, and paints","567366760","0.2294907616185273","34","Chemicals"
"Albuminoidals; modified starches; glues; enzymes","385333628","0.15586127704582176","35","Chemicals"
"Explosives","31323643","0.012669911590761591","36","Chemicals"
"Photographic or cinematographic goods","132796779","0.05371416886177338","37","Chemicals"
"Miscellaneous chemical products","4781540190","1.9340563763599716","38","Chemicals"
"Plastics","7040895741","2.847929487583543","39","Chemicals"
"Rubber","2788497175","1.1279024179383752","40","Chemicals"
"Leather and skins","37228244","0.015058228066234209","41","Agriculture"
"Articles of leather","671161259","0.2714739730201319","42","Agriculture"
"Furskins","4731691","0.0019138931779040616","43","Agriculture"
"Wood","108036213","0.04369891673553706","44","Agriculture"
"Cork","8192279","0.0033136455634120462","45","Agriculture"
"Manufactues of plaiting materials","9007807","0.003643513569499033","46","Agriculture"
"Pulp of wood","170634036","0.06901873292627013","47","Agriculture"
"Paper and paperboard","899921277","0.3640037341197917","48","Agriculture"
"Products of the printing industry","169334683","0.06849316546161761","49","Agriculture"
"Silk","12805361","0.005179563301681942","50","Textiles"
"Wool","10527337","0.004258139102024416","51","Textiles"
"Cotton","194413367","0.07863709122059294","52","Textiles"
"Other vegetable textile fibres","31352679","0.012681656187421356","53","Textiles"
"Man-made filaments","1382489973","0.5591950378512609","54","Textiles"
"Man-made staple fibres","874881868","0.3538756944688826","55","Textiles"
"Wadding, felt and nonwovens","247012715","0.09991268451258974","56","Textiles"
"Carpets","105912411","0.042839872863268354","57","Textiles"
"Special woven fabrics","116829519","0.04725566808819784","58","Textiles"
"Impregnated, coated or laminated textile fabrics","362953982","0.14680906890219872","59","Textiles"
"Knitted fabrics","334793256","0.13541850654801593","60","Textiles"
"Apparel, knit","1057367340","0.42768814332224236","61","Textiles"
"Apparel, not knit","1000651651","0.40474755606554524","62","Textiles"
"Other made up textile articles","265005990","0.10719067588409976","63","Textiles"
"Footwear","343677410","0.13901200446071754","64","Textiles"
"Headgear","75034863","0.030350399550745366","65","Textiles"
"Umbrellas and walking-sticks","72461942","0.029309694240701643","66","Textiles"
"Feathers and down","92358200","0.03735741173789643","67","Textiles"
"Articles of stone, plaster, cement, etc.","394871382","0.1597191456837204","68","Stone"
"Ceramic products","341108084","0.13797275327055922","69","Stone"
"Glass and glassware","553232408","0.2237736427561809","70","Stone"
"Precious metals and stones","793996166","0.32115872431005765","71","Stone"
"Iron and steel","2340368857","0.9466416951553739","72","Metals"
"Articles of iron or steel","2376804994","0.9613795286346687","73","Metals"
"Copper","1584372364","0.6408532295788822","74","Metals"
"Nickel","123221490","0.049841117917922693","75","Metals"
"Aluminium","1701585302","0.6882639845077843","76","Metals"
"Lead","146863483","0.05940392519226829","78","Metals"
"Zinc","108954014","0.04407015253106418","79","Metals"
"Tin","4812144","0.0019464351270385076","80","Metals"
"Other base metals","191550853","0.07747925018315942","81","Metals"
"Metal tools and tableware","741349660","0.29986405636283003","82","Metals"
"Miscellaneous articles of base metal","814842253","0.3295906324154885","83","Metals"
"Industrial Machinery","20103588996","8.131579562323822","84","Machinery"
