"Name","Gross Export","Share","Code","Sector"
"Live animals","42457659","0.09745098801957776","01","Agriculture"
"Meat","219468543","0.5037354121329956","02","Agriculture"
"Fish","50337385","0.11553693769531365","03","Agriculture"
"Diary products","208541351","0.4786547628046935","04","Agriculture"
"Animal products","15704641","0.03604609434407982","05","Agriculture"
"Plants","10764640","0.024707551673422867","06","Agriculture"
"Vegetables","110862733","0.25445780855229555","07","Agriculture"
"Fruits and nuts","119049434","0.27324834293081285","08","Agriculture"
"Coffee, tea and spices","99925224","0.2293534791185172","09","Agriculture"
"Cereals","1143101371","2.6237046656407483","10","Agriculture"
"Flours, starches and malts","58124532","0.13341039532056076","11","Agriculture"
"Oil seeds and oleaginous fruits","653589619","1.500152284205999","12","Agriculture"
"Lac and other vegetable extracts","4784155","0.010980836969574867","13","Agriculture"
"Other vegetable materials","2017621","0.004630946795701772","14","Agriculture"
"Animal or vegetable fats, oils or waxes","317433801","0.7285902771572976","15","Agriculture"
"Preparations of meat or fish","98026569","0.22499558916376697","16","Agriculture"
"Sugar and candy","106567880","0.2446000425306492","17","Agriculture"
"Cocoa","198432286","0.4554519203633773","18","Agriculture"
"Preparations of cereals, flour, starch or milk","272287649","0.6249685226540163","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","136476286","0.3132473439466474","20","Agriculture"
"Miscellaneous edible preparations","104622249","0.24013433086078254","21","Agriculture"
"Beverages","152368355","0.3497236326116749","22","Agriculture"
"Food residues and animal feed","303305158","0.6961614939376224","23","Agriculture"
"Tobacco","278954048","0.6402695822127338","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","148521934","0.3408951306259848","25","Minerals"
"Ores, slag and ash","668203102","1.5336938969632474","26","Minerals"
"Mineral fuels, oils and waxes","2914869680","6.690357804802908","27","Minerals"
"Inorganic chemicals","462286577","1.061063768891229","28","Chemicals"
"Organic chemicals","122710070","0.28165042169309307","29","Chemicals"
"Pharmaceutical products","1064723214","2.4438071155001815","30","Chemicals"
"Fertilisers","218375360","0.5012262826627106","31","Chemicals"
"Dyes, paints, inks, etc.","40789254","0.09362157962787149","32","Chemicals"
"Essential oils","314886490","0.7227435588127196","33","Chemicals"
"Soaps, waxes, and paints","99976550","0.229471285175867","34","Chemicals"
"Albuminoidals; modified starches; glues; enzymes","96270608","0.22096521776778758","35","Chemicals"
"Explosives","12604416","0.02893029953935459","36","Chemicals"
"Photographic or cinematographic goods","7115629","0.01633215520504228","37","Chemicals"
"Miscellaneous chemical products","448013292","1.0283029959636634","38","Chemicals"
"Plastics","922972666","2.1184540159589047","39","Chemicals"
"Rubber","329136714","0.7554514009549418","40","Chemicals"
"Leather and skins","17106162","0.039262936944379254","41","Agriculture"
"Articles of leather","109296678","0.2508633191094603","42","Agriculture"
"Furskins","11313223","0.02596668740110734","43","Agriculture"
"Wood","298010565","0.6840090735931201","44","Agriculture"
"Cork","2391283","0.005488594907797907","45","Agriculture"
"Manufactues of plaiting materials","319102","0.0007324192127272797","46","Agriculture"
"Pulp of wood","99105143","0.2274711873109052","47","Agriculture"
"Paper and paperboard","277137565","0.6361002976303981","48","Agriculture"
"Products of the printing industry","37404249","0.08585214321826608","49","Agriculture"
"Silk","3941665","0.009047110880328776","50","Textiles"
"Wool","157017837","0.3603953612314568","51","Textiles"
"Cotton","38650445","0.08871247594330034","52","Textiles"
"Other vegetable textile fibres","3856583","0.008851826327247748","53","Textiles"
"Man-made filaments","82179403","0.18862236415835015","54","Textiles"
"Man-made staple fibres","124484146","0.28572237156253405","55","Textiles"
"Wadding, felt and nonwovens","66453896","0.15252837710506523","56","Textiles"
"Carpets","24215643","0.05558098094573166","57","Textiles"
"Special woven fabrics","17339786","0.0397991626845946","58","Textiles"
"Impregnated, coated or laminated textile fabrics","10075237","0.02312519868750669","59","Textiles"
"Knitted fabrics","32277135","0.0740841292307542","60","Textiles"
"Apparel, knit","804244186","1.8459423430458346","61","Textiles"
"Apparel, not knit","1081212517","2.4816542061535825","62","Textiles"
"Other made up textile articles","106209060","0.24377646053520322","63","Textiles"
"Footwear","235360904","0.5402123710113407","64","Textiles"
"Headgear","9028506","0.020722688220768035","65","Textiles"
"Umbrellas and walking-sticks","2146039","0.004925698349938386","66","Textiles"
"Feathers and down","1358645","0.0031184314146443922","67","Textiles"
"Articles of stone, plaster, cement, etc.","94005062","0.21576522084605898","68","Stone"
"Ceramic products","207384390","0.4759992468105093","69","Stone"
"Glass and glassware","444200730","1.0195522088845665","70","Stone"
"Precious metals and stones","460219457","1.0563192094619156","71","Stone"
"Iron and steel","794709845","1.8240586364908977","72","Metals"
"Articles of iron or steel","923395190","2.1194238146296698","73","Metals"
"Copper","2845421181","6.53095606190355","74","Metals"
"Nickel","1959871","0.004498396045361754","75","Metals"
"Aluminium","455363010","1.045172444200677","76","Metals"
"Lead","187781079","0.43100472590663524","78","Metals"
"Zinc","204060376","0.46836980006002055","79","Metals"
"Tin","2100765","0.0048217831521739874","80","Metals"
"Other base metals","9911589","0.022749585437434945","81","Metals"
"Metal tools and tableware","54535080","0.12517170171173864","82","Metals"
"Miscellaneous articles of base metal","193249381","0.44355585202240705","83","Metals"
"Industrial Machinery","2664109419","6.114800042880679","84","Machinery"
"Electrical machinery and equipment","3221770156","7.3947714562922355","85","Electronics"
"Trains","140055599","0.3214627660046869","86","Vehicles"
"Vehicles","1050324503","2.410758458409635","87","Vehicles"
"Aircraft","25784405","0.05918168363326251","88","Vehicles"
"Ships","39263363","0.09011927664974022","89","Vehicles"
"Apparatuses (optical, medical, etc.)","560265092","1.2859490620592067","90","Machinery"
"Clocks","19504706","0.044768197670328136","91","Machinery"
"Musical instruments","6390691","0.014668240471709084","92","Machinery"
"Arms and ammunition","122165738","0.28040104307778424","93","Machinery"
"Furniture","699097623","1.6046045799060258","94","Textiles"
"Toys","384929498","0.8835098491412371","95","Machinery"
"Miscellaneous manufactured articles","44926842","0.10311838298714168","96","Machinery"
"Art","5700954","0.013085120871929467","97","Textiles"
"Other","1467478656","3.3682319820045206","99","Other"
"Unspecified","2552730112","5.8591565672927794","unspecified","Services"
"Travel and tourism","4478999552","10.280428595501371","travel","Services"
"Transport","2265529856","5.199959867195027","transport","Services"
"ICT","649449984","1.4906507824677515","ict","Services"
"Insurance and finance","60649996","0.1392069693146162","financial","Services"
