"Name","Gross Import","Share","Code","Sector"
"Live animals","38174031","0.0871050617204725","01","Agriculture"
"Meat","428679446","0.978155793977533","02","Agriculture"
"Fish","94724885","0.21614214528168793","03","Agriculture"
"Diary products","248339906","0.5666591206934981","04","Agriculture"
"Animal products","26879205","0.06133265859511229","05","Agriculture"
"Plants","38504224","0.08785849228285318","06","Agriculture"
"Vegetables","150963530","0.34446683396339256","07","Agriculture"
"Fruits and nuts","193426707","0.4413588193403717","08","Agriculture"
"Coffee, tea and spices","137764703","0.3143499034125467","09","Agriculture"
"Cereals","83983876","0.19163343537140493","10","Agriculture"
"Flours, starches and malts","31044694","0.07083742314148543","11","Agriculture"
"Oil seeds and oleaginous fruits","244957056","0.5589401727510841","12","Agriculture"
"Lac and other vegetable extracts","23445997","0.053498804351655","13","Agriculture"
"Other vegetable materials","558297","0.0012739156271800228","14","Agriculture"
"Animal or vegetable fats, oils or waxes","149712064","0.34161125334181575","15","Agriculture"
"Preparations of meat or fish","68981372","0.1574008955361008","16","Agriculture"
"Sugar and candy","138818696","0.31675489243028876","17","Agriculture"
"Cocoa","246502024","0.5624654628362771","18","Agriculture"
"Preparations of cereals, flour, starch or milk","179483307","0.4095429307434028","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","153485271","0.35022091336485917","20","Agriculture"
"Miscellaneous edible preparations","197470136","0.45058506879271143","21","Agriculture"
"Beverages","336737160","0.7683629508598823","22","Agriculture"
"Food residues and animal feed","162556274","0.3709190229300133","23","Agriculture"
"Tobacco","269621564","0.615219361387073","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","126174751","0.28790408519918287","25","Minerals"
"Ores, slag and ash","2828186583","6.453323382831308","26","Minerals"
"Mineral fuels, oils and waxes","3915542664","8.934439892314838","27","Minerals"
"Inorganic chemicals","131272394","0.29953582794450456","28","Chemicals"
"Organic chemicals","308233947","0.7033246496231914","29","Chemicals"
"Pharmaceutical products","1441975477","3.2902829392969473","30","Chemicals"
"Fertilisers","249074713","0.5683357947939522","31","Chemicals"
"Dyes, paints, inks, etc.","211109335","0.4817068350718033","32","Chemicals"
"Essential oils","318023867","0.7256631756708726","33","Chemicals"
"Soaps, waxes, and paints","189791879","0.43306491091651933","34","Chemicals"
"Albuminoidals; modified starches; glues; enzymes","57039898","0.13015297849523555","35","Chemicals"
"Explosives","33072365","0.07546413934035404","36","Chemicals"
"Photographic or cinematographic goods","21585710","0.04925402302497791","37","Chemicals"
"Miscellaneous chemical products","745983973","1.7021775879693786","38","Chemicals"
"Plastics","1629755684","3.7187576403474623","39","Chemicals"
"Rubber","443641461","1.0122959464816694","40","Chemicals"
"Leather and skins","106756036","0.2435946862623175","41","Agriculture"
"Articles of leather","93577122","0.21352319296419559","42","Agriculture"
"Furskins","13311813","0.03037474069679432","43","Agriculture"
"Wood","240582919","0.5489593176153296","44","Agriculture"
"Cork","5422779","0.012373634303683623","45","Agriculture"
"Manufactues of plaiting materials","1541963","0.0035184333110036227","46","Agriculture"
"Pulp of wood","17288915","0.03944964596887875","47","Agriculture"
"Paper and paperboard","556644448","1.2701448531699033","48","Agriculture"
"Products of the printing industry","69524222","0.15863956437762183","49","Agriculture"
"Silk","19125176","0.043639605047077666","50","Textiles"
"Wool","258917145","0.5907941421149243","51","Textiles"
"Cotton","168987938","0.3855947193395788","52","Textiles"
"Other vegetable textile fibres","13369176","0.030505630925690287","53","Textiles"
"Man-made filaments","261367692","0.5963857718719159","54","Textiles"
"Man-made staple fibres","266074626","0.6071259993470859","55","Textiles"
"Wadding, felt and nonwovens","82672501","0.18864115508762552","56","Textiles"
"Carpets","33068748","0.07545588611165406","57","Textiles"
"Special woven fabrics","110411381","0.25193541013909704","58","Textiles"
"Impregnated, coated or laminated textile fabrics","93577809","0.21352476055283726","59","Textiles"
"Knitted fabrics","343703540","0.7842587560439946","60","Textiles"
"Apparel, knit","421594479","0.9619893983505552","61","Textiles"
"Apparel, not knit","347472213","0.7928580704383607","62","Textiles"
"Other made up textile articles","138702591","0.31648996538627144","63","Textiles"
"Footwear","265696772","0.6062638164670193","64","Textiles"
"Headgear","10182401","0.023234084646905663","65","Textiles"
"Umbrellas and walking-sticks","5139472","0.01172718767296648","66","Textiles"
"Feathers and down","3514586","0.008019541621158859","67","Textiles"
"Articles of stone, plaster, cement, etc.","120891142","0.2758480073893272","68","Stone"
"Ceramic products","155324974","0.3544187263587853","69","Stone"
"Glass and glassware","171072487","0.3903512190999617","70","Stone"
"Precious metals and stones","91687815","0.20921219413769176","71","Stone"
"Iron and steel","1352532192","3.086192287712187","72","Metals"
"Articles of iron or steel","715665704","1.6329977129778461","73","Metals"
"Copper","739776626","1.688013735491882","74","Metals"
"Nickel","10236335","0.02335715062332382","75","Metals"
"Aluminium","515455091","1.1761594555127481","76","Metals"
"Lead","83925473","0.19150017208255654","78","Metals"
"Zinc","21086438","0.048114789959040914","79","Metals"
"Tin","5669992","0.01293772206332062","80","Metals"
"Other base metals","13611419","0.031058378196900716","81","Metals"
"Metal tools and tableware","123420265","0.2816189309528792","82","Metals"
"Miscellaneous articles of base metal","197930340","0.4516351569488196","83","Metals"
"Industrial Machinery","3659881183","8.351074486600876","84","Machinery"
"Electrical machinery and equipment","3529426168","8.053403744589895","85","Electronics"
"Trains","116009960","0.2647101828462796","86","Vehicles"
"Vehicles","2917511611","6.657144196963379","87","Vehicles"
"Aircraft","167817586","0.3829242237035617","88","Vehicles"
"Ships","52012551","0.11868163634839149","89","Vehicles"
"Apparatuses (optical, medical, etc.)","575867082","1.314006836752409","90","Machinery"
"Clocks","55484193","0.1266031888478219","91","Machinery"
"Musical instruments","4768964","0.010881766810602512","92","Machinery"
"Arms and ammunition","76018710","0.173458611862622","93","Machinery"
"Furniture","350983342","0.8008697239169662","94","Textiles"
"Toys","222318348","0.5072834310878378","95","Machinery"
"Miscellaneous manufactured articles","97543886","0.22257450910763743","96","Machinery"
"Art","1640984","0.003744378281725287","97","Textiles"
"Other","1412014208","3.2219176627698576","99","Other"
"Travel and tourism","2328189440","5.312435693997113","travel","Services"
"Transport","3143500544","7.172803126383453","transport","Services"
"ICT","470334688","1.0732042426307868","ict","Services"
"Insurance and finance","82155560","0.1874616051021696","financial","Services"
