"Name","Gross Export","Share","Code","Sector"
"Live animals","882567","0.03204257717197049","01","Agriculture"
"Meat","1932","0.00007014341018443584","02","Agriculture"
"Fish","44318","0.00160901431291606","03","Agriculture"
"Diary products","137093","0.004977313940173324","04","Agriculture"
"Animal products","86977","0.0031577967844780936","05","Agriculture"
"Plants","1736212","0.0630351089457245","06","Agriculture"
"Vegetables","5411219","0.19646032811325714","07","Agriculture"
"Fruits and nuts","135058231","4.903439387068991","08","Agriculture"
"Coffee, tea and spices","618095","0.022440626872644344","09","Agriculture"
"Cereals","3190516","0.1158352342070422","10","Agriculture"
"Flours, starches and malts","13301","0.00048290760810723663","11","Agriculture"
"Oil seeds and oleaginous fruits","101164916","3.6729048650424416","12","Agriculture"
"Lac and other vegetable extracts","52861","0.0019191774356933041","13","Agriculture"
"Other vegetable materials","293298","0.010648510310701171","14","Agriculture"
"Animal or vegetable fats, oils or waxes","16224586","0.589051651589366","15","Agriculture"
"Sugar and candy","179313","0.006510158028158254","17","Agriculture"
"Cocoa","1494","0.000054241332720262506","18","Agriculture"
"Preparations of cereals, flour, starch or milk","21859","0.0007936153225784593","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","2103659","0.07637568122421332","20","Agriculture"
"Miscellaneous edible preparations","113392","0.004116822757574301","21","Agriculture"
"Beverages","2765751","0.10041366814752258","22","Agriculture"
"Food residues and animal feed","6315262","0.22928261536655317","23","Agriculture"
"Tobacco","11634","0.00042238531784975504","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","281541","0.010221659340960794","25","Minerals"
"Ores, slag and ash","179174552","6.505131519435057","26","Minerals"
"Mineral fuels, oils and waxes","36206672","1.3145235225203562","27","Minerals"
"Inorganic chemicals","159631","0.005795581113432546","28","Chemicals"
"Organic chemicals","203594","0.00739170675625778","29","Chemicals"
"Pharmaceutical products","1050171","0.038127626923809096","30","Chemicals"
"Fertilisers","868917","0.03154699873045002","31","Chemicals"
"Dyes, paints, inks, etc.","832723","0.030232935278992738","32","Chemicals"
"Essential oils","425127","0.01543470887240096","33","Chemicals"
"Soaps, waxes, and paints","187379","0.0068030031350669795","34","Chemicals"
"Albuminoidals; modified starches; glues; enzymes","61685","0.0022395425762044125","35","Chemicals"
"Explosives","3533936","0.1283034795101162","36","Chemicals"
"Miscellaneous chemical products","7792703","0.28292275516277626","38","Chemicals"
"Plastics","1788084","0.06491837963572815","39","Chemicals"
"Rubber","276242","0.01002927324853464","40","Chemicals"
"Leather and skins","128619","0.004669655939188382","41","Agriculture"
"Articles of leather","59000","0.002142060662982254","42","Agriculture"
"Wood","218099","0.007918326924335027","44","Agriculture"
"Manufactues of plaiting materials","167378","0.0060768445703159955","46","Agriculture"
"Paper and paperboard","69307","0.0025162677689713744","48","Agriculture"
"Products of the printing industry","179485","0.0065164026795825405","49","Agriculture"
"Wool","917","0.000033292705558554695","51","Textiles"
"Cotton","127318985","4.622457447785214","52","Textiles"
"Wadding, felt and nonwovens","13535","0.0004914032385333019","56","Textiles"
"Carpets","5542","0.00020120847786860428","57","Textiles"
"Impregnated, coated or laminated textile fabrics","23568","0.0008556624695790808","59","Textiles"
"Knitted fabrics","1023","0.00003714115352933637","60","Textiles"
"Apparel, knit","122516","0.0044480797319649806","61","Textiles"
"Apparel, not knit","313086","0.011366935673397662","62","Textiles"
"Other made up textile articles","241859","0.008780960167597033","63","Textiles"
"Footwear","34943","0.0012686445041794729","64","Textiles"
"Headgear","7889","0.0002864189249197797","65","Textiles"
"Articles of stone, plaster, cement, etc.","1283","0.00004658074289163105","68","Stone"
"Ceramic products","46938","0.001704136328797645","69","Stone"
"Glass and glassware","47489","0.0017241409970231232","70","Stone"
"Precious metals and stones","2045060696","74.24820458157136","71","Stone"
"Iron and steel","15044972","0.5462244524893127","72","Metals"
"Articles of iron or steel","2047733","0.07434522555238372","73","Metals"
"Copper","121771","0.004421031677830713","74","Metals"
"Aluminium","107909","0.003917756340368679","76","Metals"
"Zinc","23797563","0.8639970097820671","79","Metals"
"Metal tools and tableware","367831","0.01335451382585467","82","Metals"
"Miscellaneous articles of base metal","251002","0.00911290695813342","83","Metals"
"Industrial Machinery","17893600","0.6496470623582926","84","Machinery"
"Electrical machinery and equipment","2362815","0.08578462822719346","85","Electronics"
"Trains","38094","0.001383045066027898","86","Vehicles"
"Vehicles","3779148","0.13720617407437388","87","Vehicles"
"Aircraft","2094909","0.07605800273605917","88","Vehicles"
"Apparatuses (optical, medical, etc.)","649183","0.023569311311471334","90","Machinery"
"Clocks","33741","0.001225004556435326","91","Machinery"
"Musical instruments","37496","0.0013613340104946202","92","Machinery"
"Arms and ammunition","132301","0.004803335047003647","93","Machinery"
"Furniture","813374","0.029530448299873353","94","Textiles"
"Toys","315173","0.011442706531086541","95","Machinery"
"Miscellaneous manufactured articles","5204","0.0001889370116976212","96","Machinery"
"Art","448721","0.01629131530091627","97","Textiles"
"Other","680962","0.024723083274334267","99","Other"
