"Name","Gross Import","Share","Code","Sector"
"Live animals","3031117","0.10066413533891264","01","Agriculture"
"Meat","326901","0.010856461992864637","02","Agriculture"
"Fish","36400381","1.2088655368209094","03","Agriculture"
"Diary products","23081818","0.7665528090866007","04","Agriculture"
"Animal products","129666","0.004306239506048577","05","Agriculture"
"Plants","2162","0.00007180054765379533","06","Agriculture"
"Vegetables","3901343","0.12956455318469048","07","Agriculture"
"Fruits and nuts","3635186","0.12072541425689622","08","Agriculture"
"Coffee, tea and spices","7252789","0.24086689279251733","09","Agriculture"
"Cereals","89804347","2.982424281355907","10","Agriculture"
"Flours, starches and malts","39857142","1.3236654132817238","11","Agriculture"
"Oil seeds and oleaginous fruits","13249472","0.4400181987620846","12","Agriculture"
"Lac and other vegetable extracts","2974423","0.09878131376227792","13","Agriculture"
"Other vegetable materials","8730","0.0002899254306279524","14","Agriculture"
"Animal or vegetable fats, oils or waxes","46821208","1.55494374477903","15","Agriculture"
"Preparations of meat or fish","4706036","0.1562886041066033","16","Agriculture"
"Sugar and candy","45802139","1.5211002145768997","17","Agriculture"
"Cocoa","2231046","0.07409358216503674","18","Agriculture"
"Preparations of cereals, flour, starch or milk","45309440","1.5047375605396762","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","13222305","0.4391159760617559","20","Agriculture"
"Miscellaneous edible preparations","63559452","2.1108249131244756","21","Agriculture"
"Beverages","43608021","1.4482330203044438","22","Agriculture"
"Food residues and animal feed","4035654","0.13402505427438932","23","Agriculture"
"Tobacco","73214417","2.431468657147707","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","116357338","3.8642555929406885","25","Minerals"
"Ores, slag and ash","171137","0.005683501537385555","26","Minerals"
"Mineral fuels, oils and waxes","492459617","16.354704069370165","27","Minerals"
"Inorganic chemicals","30068292","0.9985753157327627","28","Chemicals"
"Organic chemicals","6530080","0.21686555051947076","29","Chemicals"
"Pharmaceutical products","133086997","4.419851651340895","30","Chemicals"
"Fertilisers","68810006","2.2851970929051535","31","Chemicals"
"Dyes, paints, inks, etc.","11383753","0.37805721542809223","32","Chemicals"
"Essential oils","28647435","0.9513883079909824","33","Chemicals"
"Soaps, waxes, and paints","25694290","0.8533136418017746","34","Chemicals"
"Albuminoidals; modified starches; glues; enzymes","2515912","0.08355405154891558","35","Chemicals"
"Explosives","11753724","0.3903440426325429","36","Chemicals"
"Photographic or cinematographic goods","2179624","0.07238584499507678","37","Chemicals"
"Miscellaneous chemical products","45254289","1.5029059823696231","38","Chemicals"
"Plastics","191937651","6.37429623366468","39","Chemicals"
"Rubber","36473560","1.2112958292708431","40","Chemicals"
"Leather and skins","31690","0.0010524326342038733","41","Agriculture"
"Articles of leather","1318589","0.043790662502437704","42","Agriculture"
"Furskins","14564","0.00048367399446340204","43","Agriculture"
"Wood","9184008","0.30500314711232074","44","Agriculture"
"Cork","101129","0.0033585187713601606","45","Agriculture"
"Manufactues of plaiting materials","3756343","0.1247490677962537","46","Agriculture"
"Pulp of wood","44999","0.0014944277723742533","47","Agriculture"
"Paper and paperboard","46305457","1.5378155281957773","48","Agriculture"
"Products of the printing industry","5817279","0.19319325534455262","49","Agriculture"
"Silk","27183","0.0009027540642336347","50","Textiles"
"Wool","260521","0.008651965992282337","51","Textiles"
"Cotton","7565559","0.2512540608265958","52","Textiles"
"Other vegetable textile fibres","197438","0.006556964166359871","53","Textiles"
"Man-made filaments","8609624","0.2859277142892044","54","Textiles"
"Man-made staple fibres","2994857","0.09945993188936286","55","Textiles"
"Wadding, felt and nonwovens","1049889","0.03486706992400348","56","Textiles"
"Carpets","1613705","0.05359153688791295","57","Textiles"
"Special woven fabrics","417937","0.01387978977094554","58","Textiles"
"Impregnated, coated or laminated textile fabrics","831903","0.027627701662736027","59","Textiles"
"Knitted fabrics","382183","0.012692390704889202","60","Textiles"
"Apparel, knit","7355209","0.24426828598895664","61","Textiles"
"Apparel, not knit","10682172","0.354757539191507","62","Textiles"
"Other made up textile articles","22257348","0.7391719591679492","63","Textiles"
"Footwear","12031535","0.39957021374459123","64","Textiles"
"Headgear","548418","0.018213095625901538","65","Textiles"
"Umbrellas and walking-sticks","163095","0.005416424754669634","66","Textiles"
"Feathers and down","1004791","0.03336935433746747","67","Textiles"
"Articles of stone, plaster, cement, etc.","4168979","0.13845281006344679","68","Stone"
"Ceramic products","7884756","0.26185467109923616","69","Stone"
"Glass and glassware","5607899","0.1862396944436499","70","Stone"
"Precious metals and stones","870830","0.028920476833188987","71","Stone"
"Iron and steel","71398254","2.371153440668262","72","Metals"
"Articles of iron or steel","89892486","2.9853513990569516","73","Metals"
"Copper","1460050","0.048488616837152575","74","Metals"
"Nickel","30935","0.0010273588999399437","75","Metals"
"Aluminium","12575138","0.4176234020453526","76","Metals"
"Lead","280380","0.009311488229033826","78","Metals"
"Zinc","25285","0.0008397210210112001","79","Metals"
"Other base metals","31589","0.0010490783995539966","81","Metals"
"Metal tools and tableware","14122972","0.46902734694690884","82","Metals"
"Miscellaneous articles of base metal","7226296","0.23998705379668386","83","Metals"
"Industrial Machinery","314890364","10.457585840010617","84","Machinery"
"Electrical machinery and equipment","221677741","7.361971880877056","85","Electronics"
"Trains","1942378","0.06450684743324869","86","Vehicles"
"Vehicles","205935826","6.839179041783859","87","Vehicles"
"Aircraft","25586289","0.8497269022332465","88","Vehicles"
"Ships","61293","0.0020355554890583148","89","Vehicles"
"Apparatuses (optical, medical, etc.)","42822198","1.422135646687909","90","Machinery"
"Clocks","97362","0.0032334157819929785","91","Machinery"
"Musical instruments","59989","0.0019922493308064423","92","Machinery"
"Arms and ammunition","6751004","0.22420249047778112","93","Machinery"
"Furniture","17096433","0.5677767124544029","94","Textiles"
"Toys","963343","0.031992856141743825","95","Machinery"
"Miscellaneous manufactured articles","5747316","0.19086976703950986","96","Machinery"
"Art","479364","0.01591979543270765","97","Textiles"
"Other","37376020","1.2412667461235924","99","Other"
