"Name","Gross Export","Share","Code","Sector"
"Live animals","14529571","0.06490461034613734","01","Agriculture"
"Meat","50042","0.00022354111562835575","02","Agriculture"
"Fish","21117954","0.09433537822126009","03","Agriculture"
"Diary products","6903130","0.03083676474816297","04","Agriculture"
"Animal products","2486952","0.01110938860545483","05","Agriculture"
"Plants","11679","0.00005217091022388328","06","Agriculture"
"Vegetables","346276322","1.546840560640337","07","Agriculture"
"Fruits and nuts","245622322","1.097212099498566","08","Agriculture"
"Coffee, tea and spices","9571954","0.04275858830389078","09","Agriculture"
"Cereals","368275672","1.645113196468215","10","Agriculture"
"Flours, starches and malts","26541926","0.1185646406811331","11","Agriculture"
"Oil seeds and oleaginous fruits","26496619","0.11836225114183062","12","Agriculture"
"Lac and other vegetable extracts","639956","0.002858728232146198","13","Agriculture"
"Other vegetable materials","234376","0.0010469739921768017","14","Agriculture"
"Animal or vegetable fats, oils or waxes","22966924","0.102594856590697","15","Agriculture"
"Preparations of meat or fish","2162624","0.009660592734995749","16","Agriculture"
"Sugar and candy","64987704","0.2903046212038959","17","Agriculture"
"Cocoa","1047867","0.004680895212224497","18","Agriculture"
"Preparations of cereals, flour, starch or milk","7119866","0.031804939626002136","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","6120701","0.02734159965564112","20","Agriculture"
"Miscellaneous edible preparations","2049184","0.00915384831716911","21","Agriculture"
"Beverages","12109823","0.05409542671120103","22","Agriculture"
"Food residues and animal feed","36291258","0.16211558892283462","23","Agriculture"
"Tobacco","24034554","0.10736403450681349","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","28186625","0.1259116261999541","25","Minerals"
"Ores, slag and ash","2334303","0.010427494841025894","26","Minerals"
"Mineral fuels, oils and waxes","216276","0.0009661200256512183","27","Minerals"
"Inorganic chemicals","175993","0.0007861730458970708","28","Chemicals"
"Organic chemicals","9834028","0.043929291200201594","29","Chemicals"
"Pharmaceutical products","10026036","0.044787004371728896","30","Chemicals"
"Fertilisers","250861","0.0011206136406947155","31","Chemicals"
"Dyes, paints, inks, etc.","268320","0.0011986042153670998","32","Chemicals"
"Essential oils","3029095","0.013531179322254791","33","Chemicals"
"Soaps, waxes, and paints","168038","0.0007506375042555782","34","Chemicals"
"Albuminoidals; modified starches; glues; enzymes","6905497","0.030847338302790933","35","Chemicals"
"Explosives","356102","0.0015907325518062577","36","Chemicals"
"Photographic or cinematographic goods","64004","0.0002859103466023996","37","Chemicals"
"Miscellaneous chemical products","1509978","0.006745177384882167","38","Chemicals"
"Plastics","195327177","0.8725401674416952","39","Chemicals"
"Rubber","222229342","0.9927140209431161","40","Chemicals"
"Leather and skins","6367289","0.028443125506337832","41","Agriculture"
"Articles of leather","658778448","2.942809424440205","42","Agriculture"
"Furskins","250702541","1.1199057932537388","43","Agriculture"
"Wood","108361149","0.48405683502319025","44","Agriculture"
"Cork","5082","0.00002270164960679637","45","Agriculture"
"Manufactues of plaiting materials","1820178","0.008130862490751555","46","Agriculture"
"Pulp of wood","3407792","0.015222845320118816","47","Agriculture"
"Paper and paperboard","13521247","0.06040035648188639","48","Agriculture"
"Products of the printing industry","1863103","0.008322611469376455","49","Agriculture"
"Silk","35218","0.00015732127033690565","50","Textiles"
"Wool","140201","0.0006262876773952101","51","Textiles"
"Cotton","3120861","0.013941104465469527","52","Textiles"
"Other vegetable textile fibres","19322","0.00008631272603355361","53","Textiles"
"Man-made filaments","3434948","0.015344153072327033","54","Textiles"
"Man-made staple fibres","8219295","0.03671616590021515","55","Textiles"
"Wadding, felt and nonwovens","2197701","0.009817284148466351","56","Textiles"
"Carpets","128163","0.0005725130890507366","57","Textiles"
"Special woven fabrics","2517215","0.01124457554407161","58","Textiles"
"Impregnated, coated or laminated textile fabrics","12958352","0.057885865128990355","59","Textiles"
"Knitted fabrics","20888410","0.09330998911119665","60","Textiles"
"Apparel, knit","7175847011","32.05501071934259","61","Textiles"
"Apparel, not knit","2943218059","13.147561017672832","62","Textiles"
"Other made up textile articles","146753340","0.6555574386672677","63","Textiles"
"Footwear","1918201626","8.568740887178091","64","Textiles"
"Headgear","24963486","0.11151363875170536","65","Textiles"
"Umbrellas and walking-sticks","36369776","0.16246633432303662","66","Textiles"
"Feathers and down","9528707","0.04256540092873432","67","Textiles"
"Articles of stone, plaster, cement, etc.","1711207","0.0076440814086377795","68","Stone"
"Ceramic products","549811","0.0024560442093589764","69","Stone"
"Glass and glassware","598189","0.0026721521205509474","70","Stone"
"Precious metals and stones","105339476","0.470558810294281","71","Stone"
"Iron and steel","17525012","0.07828545489549422","72","Metals"
"Articles of iron or steel","43286120","0.19336212693383323","73","Metals"
"Copper","144219145","0.644237012275041","74","Metals"
"Nickel","3345","0.000014942349062324647","75","Metals"
"Aluminium","122027627","0.54510594854444","76","Metals"
"Lead","10930768","0.04882850552325508","78","Metals"
"Zinc","18637","0.00008325278310150806","79","Metals"
"Tin","319038","0.0014251650702977372","80","Metals"
"Other base metals","16756","0.0000748502244808107","81","Metals"
"Metal tools and tableware","668295","0.002985320528133408","82","Metals"
"Miscellaneous articles of base metal","13986817","0.06248009024958339","83","Metals"
"Industrial Machinery","81255535","0.36297416060267196","84","Machinery"
"Electrical machinery and equipment","564094387","2.519849098550687","85","Electronics"
"Trains","13364","0.00005969792312971796","86","Vehicles"
"Vehicles","350886863","1.5674361699043609","87","Vehicles"
"Aircraft","425117","0.0018990273860473147","88","Vehicles"
"Ships","1752279","0.007827552906601247","89","Vehicles"
"Apparatuses (optical, medical, etc.)","80909377","0.361427848594685","90","Machinery"
"Clocks","7233491","0.032312510451773926","91","Machinery"
"Musical instruments","14500","0.00006477251461994241","92","Machinery"
"Arms and ammunition","13288","0.000059358425811709985","93","Machinery"
"Furniture","137842395","0.6157516238196812","94","Textiles"
"Toys","48632271","0.21724375754127598","95","Machinery"
"Miscellaneous manufactured articles","12733613","0.05688194029015096","96","Machinery"
"Art","735970","0.0032876294886095875","97","Textiles"
"Other","105159080","0.46975296873928923","99","Other"
"Unspecified","325","0.000001451797741481468","unspecified","Services"
"Travel and tourism","4496228864","20.084968953658418","travel","Services"
"Transport","709128128","3.167724968158096","transport","Services"
"ICT","227281408","1.0152819532773172","ict","Services"
