"Name","Gross Import","Share","Code","Sector"
"Live animals","75741628","0.2598489053545271","01","Agriculture"
"Meat","72265485","0.24792320508563662","02","Agriculture"
"Fish","33645761","0.11542944608571178","03","Agriculture"
"Diary products","83360233","0.28598626497899315","04","Agriculture"
"Animal products","6996112","0.02400175561235192","05","Agriculture"
"Plants","2358253","0.008090524019354714","06","Agriculture"
"Vegetables","11627263","0.039889973883571586","07","Agriculture"
"Fruits and nuts","12095232","0.04149544812014137","08","Agriculture"
"Coffee, tea and spices","9603320","0.03294637645984104","09","Agriculture"
"Cereals","38435821","0.1318628378736795","10","Agriculture"
"Flours, starches and malts","79086148","0.2713230429441802","11","Agriculture"
"Oil seeds and oleaginous fruits","6109272","0.02095924901050532","12","Agriculture"
"Lac and other vegetable extracts","5048434","0.01731980264082225","13","Agriculture"
"Other vegetable materials","339646","0.001165232958922453","14","Agriculture"
"Animal or vegetable fats, oils or waxes","74009961","0.2539080273159859","15","Agriculture"
"Preparations of meat or fish","79573511","0.2729950527148218","16","Agriculture"
"Sugar and candy","238001772","0.816519284832876","17","Agriculture"
"Cocoa","6444806","0.02211037481690106","18","Agriculture"
"Preparations of cereals, flour, starch or milk","203418254","0.6978726497802391","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","48676186","0.1669947422959189","20","Agriculture"
"Miscellaneous edible preparations","174403213","0.5983299433220848","21","Agriculture"
"Beverages","587656752","2.0160903292360812","22","Agriculture"
"Food residues and animal feed","209606045","0.7191012761033041","23","Agriculture"
"Tobacco","341017385","1.1699378075041287","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","158786985","0.544754916501078","25","Minerals"
"Ores, slag and ash","16620761","0.05702130606446979","26","Minerals"
"Mineral fuels, oils and waxes","2894542315","9.930386656794711","27","Minerals"
"Inorganic chemicals","28501659","0.09778143258206708","28","Chemicals"
"Organic chemicals","99730466","0.3421480776805706","29","Chemicals"
"Pharmaceutical products","279718077","0.9596365702137181","30","Chemicals"
"Fertilisers","242717726","0.8326984391098649","31","Chemicals"
"Dyes, paints, inks, etc.","83506211","0.28648707575514704","32","Chemicals"
"Essential oils","155134431","0.5322239981182794","33","Chemicals"
"Soaps, waxes, and paints","99050945","0.3398168261260699","34","Chemicals"
"Albuminoidals; modified starches; glues; enzymes","45367223","0.15564259109303438","35","Chemicals"
"Explosives","1669913","0.005729016876786625","36","Chemicals"
"Photographic or cinematographic goods","3936069","0.013503581162130395","37","Chemicals"
"Miscellaneous chemical products","170269204","0.5841472839082185","38","Chemicals"
"Plastics","649125538","2.2269729994048775","39","Chemicals"
"Rubber","221817287","0.760994722950251","40","Chemicals"
"Leather and skins","269914445","0.9260029778159073","41","Agriculture"
"Articles of leather","32610377","0.11187732546029308","42","Agriculture"
"Furskins","258478476","0.886769281567415","43","Agriculture"
"Wood","166216942","0.5702450761961033","44","Agriculture"
"Cork","495953","0.0017014797220531591","45","Agriculture"
"Manufactues of plaiting materials","327410","0.0011232545741177587","46","Agriculture"
"Pulp of wood","1514145","0.005194619275915622","47","Agriculture"
"Paper and paperboard","400760551","1.3749003452451158","48","Agriculture"
"Products of the printing industry","47874624","0.16424480129552496","49","Agriculture"
"Silk","3581944","0.012288674696049788","50","Textiles"
"Wool","115300470","0.3955645225418509","51","Textiles"
"Cotton","739734101","2.5378263112890203","52","Textiles"
"Other vegetable textile fibres","31911139","0.10947843024665589","53","Textiles"
"Man-made filaments","400196779","1.3729661969974767","54","Textiles"
"Man-made staple fibres","394433738","1.3531947722881574","55","Textiles"
"Wadding, felt and nonwovens","152204012","0.5221705283225138","56","Textiles"
"Carpets","8904508","0.030548942736227283","57","Textiles"
"Special woven fabrics","239803057","0.8226990032762336","58","Textiles"
"Impregnated, coated or laminated textile fabrics","165453304","0.567625242115073","59","Textiles"
"Knitted fabrics","2697681888","9.25501212611292","60","Textiles"
"Apparel, knit","169588383","0.5818115724076368","61","Textiles"
"Apparel, not knit","63447024","0.21766946618050526","62","Textiles"
"Other made up textile articles","139164636","0.47743597917727904","63","Textiles"
"Footwear","185713897","0.6371338208438482","64","Textiles"
"Headgear","5359340","0.01838643648407889","65","Textiles"
"Umbrellas and walking-sticks","24253935","0.08320864796159189","66","Textiles"
"Feathers and down","2172321","0.0074526419464954145","67","Textiles"
"Articles of stone, plaster, cement, etc.","92428776","0.3170979671424383","68","Stone"
"Ceramic products","215134559","0.7380681025245315","69","Stone"
"Glass and glassware","55040537","0.18882909791132751","70","Stone"
"Precious metals and stones","5031868676","17.26297152401231","71","Stone"
"Iron and steel","784117646","2.6900941709659127","72","Metals"
"Articles of iron or steel","401506194","1.3774584433802028","73","Metals"
"Copper","19716535","0.0676420638480892","74","Metals"
"Nickel","762742","0.002616760148962242","75","Metals"
"Aluminium","256817116","0.8810696077051129","76","Metals"
"Lead","433288","0.0014864931673141794","78","Metals"
"Zinc","5104053","0.01751061628780266","79","Metals"
"Tin","1056744","0.003625400970255938","80","Metals"
"Other base metals","435926","0.0014955434271306865","81","Metals"
"Metal tools and tableware","33689109","0.11557816127241609","82","Metals"
"Miscellaneous articles of base metal","119805123","0.4110187606135753","83","Metals"
"Industrial Machinery","1473013133","5.053507038202194","84","Machinery"
"Electrical machinery and equipment","1179176229","4.045432616337862","85","Electronics"
"Trains","1441161","0.004944231041477424","86","Vehicles"
"Vehicles","1534501180","5.264455787618271","87","Vehicles"
"Aircraft","8455448","0.029008340130768317","88","Vehicles"
"Ships","25861887","0.08872509351597874","89","Vehicles"
"Apparatuses (optical, medical, etc.)","132731115","0.45536432012308803","90","Machinery"
"Clocks","26240467","0.09002389842929691","91","Machinery"
"Musical instruments","1120671","0.003844717103421163","92","Machinery"
"Arms and ammunition","74800052","0.25661861443830736","93","Machinery"
"Furniture","143323572","0.491704156341883","94","Textiles"
"Toys","37896208","0.13001157257786264","95","Machinery"
"Miscellaneous manufactured articles","158600272","0.5441143550298424","96","Machinery"
"Art","2785622","0.009556710709089703","97","Textiles"
"Other","46936044","0.16102478883965787","99","Other"
"Travel and tourism","939550016","3.2233403166806553","travel","Services"
"Transport","1619086080","5.554643551664248","transport","Services"
"ICT","244909024","0.8402161859769584","ict","Services"
"Insurance and finance","212876544","0.7303214677938374","financial","Services"
