"Name","Gross Export","Share","Code","Sector"
"Live animals","301488","0.007522304043923516","01","Agriculture"
"Meat","7527","0.0001878031050609388","02","Agriculture"
"Fish","432737","0.010797044277236012","03","Agriculture"
"Diary products","48798","0.001217538982431738","04","Agriculture"
"Animal products","366342","0.009140449729538253","05","Agriculture"
"Plants","671706","0.016759462267578445","06","Agriculture"
"Vegetables","6404861","0.15980507284226245","07","Agriculture"
"Fruits and nuts","243184834","6.067605543899157","08","Agriculture"
"Coffee, tea and spices","31035779","0.7743610554251464","09","Agriculture"
"Cereals","100635","0.002510902813578793","10","Agriculture"
"Flours, starches and malts","1651847","0.04121456034085247","11","Agriculture"
"Oil seeds and oleaginous fruits","4203763","0.10488637496217446","12","Agriculture"
"Lac and other vegetable extracts","1569168","0.03915167035502368","13","Agriculture"
"Other vegetable materials","165911","0.004139577648965778","14","Agriculture"
"Animal or vegetable fats, oils or waxes","4182087","0.10434554593264067","15","Agriculture"
"Preparations of meat or fish","669187","0.016696611726639356","16","Agriculture"
"Sugar and candy","1734698","0.043281741828484176","17","Agriculture"
"Cocoa","540568138","13.487494993146015","18","Agriculture"
"Preparations of cereals, flour, starch or milk","3508025","0.08752730007059914","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","7412331","0.184942045640953","20","Agriculture"
"Miscellaneous edible preparations","2089038","0.05212273455431028","21","Agriculture"
"Beverages","1471030","0.03670306916936267","22","Agriculture"
"Food residues and animal feed","700330","0.017473648009476185","23","Agriculture"
"Tobacco","2327397","0.05806993268360751","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","146888","0.003664942539682633","25","Minerals"
"Ores, slag and ash","327279","0.008165804759032681","26","Minerals"
"Mineral fuels, oils and waxes","1676692296","41.834465181420846","27","Minerals"
"Inorganic chemicals","390764","0.009749793084367303","28","Chemicals"
"Organic chemicals","512468","0.012786379918210335","29","Chemicals"
"Pharmaceutical products","1105938","0.027593807679671116","30","Chemicals"
"Fertilisers","123075","0.0030707940953069003","31","Chemicals"
"Dyes, paints, inks, etc.","281448","0.007022294182701089","32","Chemicals"
"Essential oils","640610","0.015983598662559852","33","Chemicals"
"Soaps, waxes, and paints","7023186","0.1752326475648352","34","Chemicals"
"Albuminoidals; modified starches; glues; enzymes","24919","0.0006217437989920996","35","Chemicals"
"Miscellaneous chemical products","241513","0.006025892296078452","38","Chemicals"
"Plastics","1410278","0.03518727081162888","39","Chemicals"
"Rubber","41852607","1.0442473162608186","40","Chemicals"
"Leather and skins","403610","0.010070308387623954","41","Agriculture"
"Articles of leather","324260","0.00809047892215491","42","Agriculture"
"Furskins","11517","0.0002873559666516317","43","Agriculture"
"Wood","780903269","19.483998760520464","44","Agriculture"
"Manufactues of plaiting materials","19312","0.00048184583033570477","46","Agriculture"
"Pulp of wood","17585","0.00043875615816349256","47","Agriculture"
"Paper and paperboard","377774","0.00942568489588031","48","Agriculture"
"Products of the printing industry","141300","0.003525518632271908","49","Agriculture"
"Silk","48676","0.001214495010222699","50","Textiles"
"Wool","8804","0.000219665010888336","51","Textiles"
"Cotton","41052449","1.0242829005654086","52","Textiles"
"Man-made filaments","15011","0.0003745333346711508","54","Textiles"
"Man-made staple fibres","65161","0.0016258055173210884","55","Textiles"
"Wadding, felt and nonwovens","46719","0.0011656667019186925","56","Textiles"
"Carpets","46442","0.001158755387968662","57","Textiles"
"Special woven fabrics","107064","0.0026713101687583832","58","Textiles"
"Impregnated, coated or laminated textile fabrics","38216","0.0009535118191854441","59","Textiles"
"Knitted fabrics","6321","0.0001577126912568346","60","Textiles"
"Apparel, knit","809837","0.020205912474190978","61","Textiles"
"Apparel, not knit","692476","0.01727768606087135","62","Textiles"
"Other made up textile articles","927256","0.02313558602183949","63","Textiles"
"Footwear","757911","0.018910328040366835","64","Textiles"
"Headgear","68348","0.001705323053634256","65","Textiles"
"Umbrellas and walking-sticks","31063","0.0007750402354866403","66","Textiles"
"Feathers and down","351338","0.008766091049010244","67","Textiles"
"Articles of stone, plaster, cement, etc.","263857","0.006583388320986332","68","Stone"
"Ceramic products","87847","0.0021918346446510284","69","Stone"
"Glass and glassware","8411124","0.20986252215392368","70","Stone"
"Precious metals and stones","340580272","8.497679368154525","71","Stone"
"Iron and steel","1132795","0.028263905725721558","72","Metals"
"Articles of iron or steel","1380038","0.034432764913257315","73","Metals"
"Copper","6442409","0.1607419176660738","74","Metals"
"Nickel","18175","0.00045347700737113884","75","Metals"
"Aluminium","107595724","2.684576997273784","76","Metals"
"Lead","6881446","0.17169615067213723","78","Metals"
"Metal tools and tableware","317529","0.007922536488228356","82","Metals"
"Miscellaneous articles of base metal","839473","0.020945348215068615","83","Metals"
"Industrial Machinery","14602376","0.3643379240158537","84","Machinery"
"Electrical machinery and equipment","13243269","0.3304273999411816","85","Electronics"
"Trains","112031","0.002795239758613263","86","Vehicles"
"Vehicles","3690261","0.09207419613196294","87","Vehicles"
"Aircraft","255543","0.006375949100117906","88","Vehicles"
"Ships","69790213","1.7413071215974887","89","Vehicles"
"Apparatuses (optical, medical, etc.)","2047328","0.05108204536710531","90","Machinery"
"Clocks","98421","0.0024556622031623033","91","Machinery"
"Musical instruments","29817","0.0007439517980074415","92","Machinery"
"Arms and ammunition","7863","0.00019618650393173398","93","Machinery"
"Furniture","1738194","0.04336896909768745","94","Textiles"
"Toys","1045376","0.026082749934394044","95","Machinery"
"Miscellaneous manufactured articles","151908","0.0037901945109070135","96","Machinery"
"Art","3896502","0.09722003115134291","97","Textiles"
"Other","10408518","0.2596986846662246","99","Other"
