"Name","Gross Export","Share","Code","Sector"
"Live animals","1313756593","0.2463445620403643","01","Agriculture"
"Meat","5016474325","0.9406469791766496","02","Agriculture"
"Fish","4659116120","0.8736381809172786","03","Agriculture"
"Diary products","411468887","0.07715517722334364","04","Agriculture"
"Animal products","263685962","0.049444168859887234","05","Agriculture"
"Plants","423950360","0.07949559782803296","06","Agriculture"
"Vegetables","3774937766","0.7078445091349591","07","Agriculture"
"Fruits and nuts","648230929","0.12155079955935454","08","Agriculture"
"Coffee, tea and spices","570313113","0.10694030750935445","09","Agriculture"
"Cereals","6876889442","1.2894963395928665","10","Agriculture"
"Flours, starches and malts","968385547","0.18158349479121028","11","Agriculture"
"Oil seeds and oleaginous fruits","7195999770","1.3493332183667393","12","Agriculture"
"Lac and other vegetable extracts","53002259","0.00993853682643704","13","Agriculture"
"Other vegetable materials","2681089","0.0005027352091059978","14","Agriculture"
"Animal or vegetable fats, oils or waxes","3266953197","0.6125915247995509","15","Agriculture"
"Preparations of meat or fish","1150843026","0.21579638323244374","16","Agriculture"
"Sugar and candy","949429134","0.17802894801806896","17","Agriculture"
"Cocoa","1473577792","0.2763128860679651","18","Agriculture"
"Preparations of cereals, flour, starch or milk","3718162065","0.697198408272819","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","1888593401","0.35413311470374265","20","Agriculture"
"Miscellaneous edible preparations","1758336184","0.32970837937192027","21","Agriculture"
"Beverages","1039577684","0.1949328442090766","22","Agriculture"
"Food residues and animal feed","2419161754","0.4536208198453772","23","Agriculture"
"Tobacco","188487640","0.03534361340085914","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","1556047451","0.29177690134767625","25","Minerals"
"Ores, slag and ash","8081031151","1.5152868425815287","26","Minerals"
"Mineral fuels, oils and waxes","99540208269","18.66494078285737","27","Minerals"
"Inorganic chemicals","3533289813","0.6625327219538952","28","Chemicals"
"Organic chemicals","4575933432","0.858040464449948","29","Chemicals"
"Pharmaceutical products","7774040622","1.4577225663525872","30","Chemicals"
"Fertilisers","5629469916","1.055590745169662","31","Chemicals"
"Dyes, paints, inks, etc.","1054626215","0.19775461789097343","32","Chemicals"
"Essential oils","2025484162","0.3798017162891485","33","Chemicals"
"Soaps, waxes, and paints","846038471","0.15864200242136822","34","Chemicals"
"Albuminoidals; modified starches; glues; enzymes","230852523","0.04328751914727642","35","Chemicals"
"Explosives","209693597","0.039319975702404454","36","Chemicals"
"Photographic or cinematographic goods","17154027","0.003216578543589912","37","Chemicals"
"Miscellaneous chemical products","2563502762","0.4806864289465486","38","Chemicals"
"Plastics","13380123969","2.5089280592398797","39","Chemicals"
"Rubber","3158862006","0.5923231758152758","40","Chemicals"
"Leather and skins","208616310","0.03911797192512881","41","Agriculture"
"Articles of leather","144587060","0.02711174669812209","42","Agriculture"
"Furskins","307902021","0.0577351915253818","43","Agriculture"
"Wood","10252553916","1.9224724866764127","44","Agriculture"
"Cork","1661058","0.00031146759431230765","45","Agriculture"
"Manufactues of plaiting materials","13897830","0.002606003930182702","46","Agriculture"
"Pulp of wood","7319533561","1.3724972335299963","47","Agriculture"
"Paper and paperboard","8484210481","1.5908876319528495","48","Agriculture"
"Products of the printing industry","780045163","0.1462674935941803","49","Agriculture"
"Silk","417817","0.00007834552186184072","50","Textiles"
"Wool","19912040","0.0037337378927469376","51","Textiles"
"Cotton","22844928","0.004283688327799438","52","Textiles"
"Other vegetable textile fibres","8783914","0.001647085509492263","53","Textiles"
"Man-made filaments","314041993","0.05888650731807833","54","Textiles"
"Man-made staple fibres","57468408","0.010775991439623527","55","Textiles"
"Wadding, felt and nonwovens","187405440","0.03514068837923752","56","Textiles"
"Carpets","103954028","0.01949258305262927","57","Textiles"
"Special woven fabrics","91640322","0.017183620701592146","58","Textiles"
"Impregnated, coated or laminated textile fabrics","492360670","0.0923233224962018","59","Textiles"
"Knitted fabrics","72150851","0.013529119385690179","60","Textiles"
"Apparel, knit","347242145","0.0651119199612509","61","Textiles"
"Apparel, not knit","719083995","0.13483656924149154","62","Textiles"
"Other made up textile articles","364756278","0.06839602254645612","63","Textiles"
"Footwear","121581839","0.02279800157814857","64","Textiles"
"Headgear","50353873","0.009441933808221906","65","Textiles"
"Umbrellas and walking-sticks","4308006","0.000807800970889028","66","Textiles"
"Feathers and down","17263632","0.0032371307492772517","67","Textiles"
"Articles of stone, plaster, cement, etc.","1168463821","0.21910048617678424","68","Stone"
"Ceramic products","93474579","0.017527565112407724","69","Stone"
"Glass and glassware","521937905","0.09786939628282443","70","Stone"
"Precious metals and stones","18463001134","3.4620263392322173","71","Stone"
"Iron and steel","7351892350","1.3785648808756576","72","Metals"
"Articles of iron or steel","5111218979","0.9584126980469914","73","Metals"
"Copper","3503324610","0.6569138996782794","74","Metals"
"Nickel","3123430422","0.5856793438532645","75","Metals"
"Aluminium","9909458507","1.8581381276950728","76","Metals"
"Lead","608108801","0.11402743632528894","78","Metals"
"Zinc","1870649516","0.3507684286460814","79","Metals"
"Tin","36753527","0.006891711570085118","80","Metals"
"Other base metals","812689230","0.15238863386565774","81","Metals"
"Metal tools and tableware","673131664","0.12621997548641925","82","Metals"
"Miscellaneous articles of base metal","1325065205","0.2484650576369367","83","Metals"
"Industrial Machinery","32267564302","6.050541659268753","84","Machinery"
"Electrical machinery and equipment","11862840652","2.224419881538566","85","Electronics"
"Trains","522443341","0.09796417138098405","86","Vehicles"
"Vehicles","58588356265","10.98599469769988","87","Vehicles"
"Aircraft","10507586084","1.9702939690323644","88","Vehicles"
"Ships","257041908","0.04819833185969756","89","Vehicles"
"Apparatuses (optical, medical, etc.)","6379030553","1.196142037416887","90","Machinery"
"Clocks","70683623","0.013253997159092638","91","Machinery"
"Musical instruments","75490937","0.014155424157237119","92","Machinery"
"Arms and ammunition","223493467","0.041907610999138575","93","Machinery"
"Furniture","5364099372","1.0058306976932776","94","Textiles"
"Toys","606496002","0.1137250178518586","95","Machinery"
"Miscellaneous manufactured articles","106654005","0.019998859980279334","96","Machinery"
"Art","178154389","0.033406009277225146","97","Textiles"
"Other","23815254016","4.465635682980391","99","Other"
"Unspecified","36436922368","6.832344538303461","unspecified","Services"
"Travel and tourism","21977280512","4.120994384662908","travel","Services"
"Transport","13771087872","2.582238314709803","transport","Services"
"ICT","10957872128","2.0547278123280748","ict","Services"
"Insurance and finance","10042521600","1.8830889972423521","financial","Services"
