"Name","Gross Import","Share","Code","Sector"
"Live animals","374619098","0.06475003327966876","01","Agriculture"
"Meat","1821618199","0.314852712095581","02","Agriculture"
"Fish","1976656712","0.34164992806768385","03","Agriculture"
"Diary products","640060492","0.11062953912189803","04","Agriculture"
"Animal products","150121519","0.025947351331363316","05","Agriculture"
"Plants","408087846","0.07053484926582236","06","Agriculture"
"Vegetables","3682649063","0.6365176005698218","07","Agriculture"
"Fruits and nuts","5458218071","0.9434110637491829","08","Agriculture"
"Coffee, tea and spices","1519712838","0.2626706896722063","09","Agriculture"
"Cereals","906095271","0.15661160700301638","10","Agriculture"
"Flours, starches and malts","287895473","0.049760520906000305","11","Agriculture"
"Oil seeds and oleaginous fruits","1085048769","0.187542344418366","12","Agriculture"
"Lac and other vegetable extracts","156324526","0.027019493440049988","13","Agriculture"
"Other vegetable materials","13536074","0.0023396064072954952","14","Agriculture"
"Animal or vegetable fats, oils or waxes","1186204861","0.20502639784332313","15","Agriculture"
"Preparations of meat or fish","1671145318","0.2888446305416672","16","Agriculture"
"Sugar and candy","1088598648","0.18815591373348087","17","Agriculture"
"Cocoa","1521682059","0.26301105439457567","18","Agriculture"
"Preparations of cereals, flour, starch or milk","3065470524","0.5298430312456831","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","2495280696","0.4312900996524075","20","Agriculture"
"Miscellaneous edible preparations","2877147296","0.4972928079777421","21","Agriculture"
"Beverages","4716855921","0.8152723112374601","22","Agriculture"
"Food residues and animal feed","1717673889","0.29688673660830833","23","Agriculture"
"Tobacco","1118435956","0.19331306321221814","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","1122594211","0.19403178564541174","25","Minerals"
"Ores, slag and ash","3235417296","0.5592170252612585","26","Minerals"
"Mineral fuels, oils and waxes","35326470309","6.105909016312297","27","Minerals"
"Inorganic chemicals","3821388833","0.6604977040206971","28","Chemicals"
"Organic chemicals","6709526797","1.1596901645323465","29","Chemicals"
"Pharmaceutical products","12132532232","2.0970149946510572","30","Chemicals"
"Fertilisers","1335441692","0.23082083765002592","31","Chemicals"
"Dyes, paints, inks, etc.","2397624510","0.41441097809340594","32","Chemicals"
"Essential oils","3790579312","0.6551725149934131","33","Chemicals"
"Soaps, waxes, and paints","2465255908","0.4261005456958844","34","Chemicals"
"Albuminoidals; modified starches; glues; enzymes","893667544","0.15446356986039148","35","Chemicals"
"Explosives","232825733","0.04024213939064386","36","Chemicals"
"Photographic or cinematographic goods","113211851","0.019567798756225982","37","Chemicals"
"Miscellaneous chemical products","5429436318","0.9384363588434623","38","Chemicals"
"Plastics","17478026228","3.0209425679785373","39","Chemicals"
"Rubber","6395152764","1.105353027937635","40","Chemicals"
"Leather and skins","74176051","0.012820760597753632","41","Agriculture"
"Articles of leather","1674050263","0.28934672796924044","42","Agriculture"
"Furskins","243019783","0.04200410262284033","43","Agriculture"
"Wood","2643718709","0.45694646990429977","44","Agriculture"
"Cork","23850935","0.0041224508927764705","45","Agriculture"
"Manufactues of plaiting materials","67529288","0.011671918673383639","46","Agriculture"
"Pulp of wood","442329484","0.07645325335116446","47","Agriculture"
"Paper and paperboard","6445170025","1.1139981272707924","48","Agriculture"
"Products of the printing industry","2187813683","0.37814678840523147","49","Agriculture"
"Silk","6573121","0.0011361134703850298","50","Textiles"
"Wool","100211676","0.0173208183743248","51","Textiles"
"Cotton","117207821","0.02025847147383676","52","Textiles"
"Other vegetable textile fibres","21889267","0.0037833916484352726","53","Textiles"
"Man-made filaments","527992872","0.09125951190408313","54","Textiles"
"Man-made staple fibres","329171634","0.05689478825295485","55","Textiles"
"Wadding, felt and nonwovens","724328917","0.1251946890363193","56","Textiles"
"Carpets","778001708","0.1344716186483347","57","Textiles"
"Special woven fabrics","123476767","0.021342010632132546","58","Textiles"
"Impregnated, coated or laminated textile fabrics","489436046","0.08459526072205077","59","Textiles"
"Knitted fabrics","184703442","0.031924571064899016","60","Textiles"
"Apparel, knit","4686730754","0.8100654075418947","61","Textiles"
"Apparel, not knit","4754791736","0.8218292254387255","62","Textiles"
"Other made up textile articles","1616849971","0.27946009690750323","63","Textiles"
"Footwear","2279601832","0.39401166484681954","64","Textiles"
"Headgear","325278199","0.05622183792242412","65","Textiles"
"Umbrellas and walking-sticks","69842502","0.012071739943261866","66","Textiles"
"Feathers and down","196655908","0.0339904629946108","67","Textiles"
"Articles of stone, plaster, cement, etc.","1939098193","0.3351582265816452","68","Stone"
"Ceramic products","1203523258","0.2080197497255075","69","Stone"
"Glass and glassware","2563231457","0.4430348666961016","70","Stone"
"Precious metals and stones","8288884783","1.4326700598445996","71","Stone"
"Iron and steel","7827464869","1.3529171723198907","72","Metals"
"Articles of iron or steel","10728469248","1.8543334938249805","73","Metals"
"Copper","2435259575","0.42091590996752115","74","Metals"
"Nickel","441624210","0.07633135215815244","75","Metals"
"Aluminium","4656869453","0.8049041110574208","76","Metals"
"Lead","24106663","0.004166651513083723","78","Metals"
"Zinc","82468746","0.014254089224336741","79","Metals"
"Tin","75397627","0.013031900625253364","80","Metals"
"Other base metals","597709330","0.10330946611021019","81","Metals"
"Metal tools and tableware","2197954265","0.37989951010436707","82","Metals"
"Miscellaneous articles of base metal","2597019578","0.448874883851894","83","Metals"
"Industrial Machinery","66492619199","11.492738434781003","84","Machinery"
"Electrical machinery and equipment","44555227190","7.701028748234566","85","Electronics"
"Trains","1488554980","0.25728529327038385","86","Vehicles"
"Vehicles","74651905404","12.90300837598964","87","Vehicles"
"Aircraft","7760919045","1.341415237843974","88","Vehicles"
"Ships","1600715661","0.2766714053671577","89","Vehicles"
"Apparatuses (optical, medical, etc.)","13173298456","2.276903441342996","90","Machinery"
"Clocks","453267486","0.07834380297155003","91","Machinery"
"Musical instruments","210128891","0.03631916460721895","92","Machinery"
"Arms and ammunition","350909804","0.06065206394566152","93","Machinery"
"Furniture","9966429312","1.7226207448491218","94","Textiles"
"Toys","4662649872","0.8059032120766123","95","Machinery"
"Miscellaneous manufactured articles","890491042","0.15391453589145876","96","Machinery"
"Art","329904509","0.05702146006678704","97","Textiles"
"Other","19782373376","3.4192312706033823","99","Other"
"Travel and tourism","43240103936","7.473719796507374","travel","Services"
"Transport","31364669440","5.421142170508909","transport","Services"
"ICT","21267472384","3.6759192256622115","ict","Services"
"Insurance and finance","16708601856","2.8879534759670342","financial","Services"
