"Name","Gross Export","Share","Code","Sector"
"Live animals","8875887","0.010841959047908608","01","Agriculture"
"Meat","849547459","1.0377282585653487","02","Agriculture"
"Fish","5498901521","6.716947286413669","03","Agriculture"
"Diary products","137646849","0.1681366042550632","04","Agriculture"
"Animal products","46525636","0.05683139501324234","05","Agriculture"
"Plants","56557549","0.06908544803556922","06","Agriculture"
"Vegetables","110385626","0.13483682662586352","07","Agriculture"
"Fruits and nuts","6905027966","8.434540731764125","08","Agriculture"
"Coffee, tea and spices","11376662","0.01389667348242469","09","Agriculture"
"Cereals","116689642","0.14253722697000495","10","Agriculture"
"Flours, starches and malts","131056197","0.16008607599991337","11","Agriculture"
"Oil seeds and oleaginous fruits","403841438","0.4932951864579307","12","Agriculture"
"Lac and other vegetable extracts","93453695","0.11415435258084533","13","Agriculture"
"Other vegetable materials","19475255","0.023789162385413128","14","Agriculture"
"Animal or vegetable fats, oils or waxes","230580387","0.28165558136385904","15","Agriculture"
"Preparations of meat or fish","498956817","0.6094792978537051","16","Agriculture"
"Sugar and candy","31823218","0.0388722869419888","17","Agriculture"
"Cocoa","22402607","0.027364943656942763","18","Agriculture"
"Preparations of cereals, flour, starch or milk","168312915","0.20559542180563165","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","687154053","0.8393635590708197","20","Agriculture"
"Miscellaneous edible preparations","291282674","0.35580385632143735","21","Agriculture"
"Beverages","1869614655","2.283747587692338","22","Agriculture"
"Food residues and animal feed","418014067","0.510607153500684","23","Agriculture"
"Tobacco","85704463","0.10468861062212695","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","268369290","0.32781499492910504","25","Minerals"
"Ores, slag and ash","19363115991","23.652183788992165","26","Minerals"
"Mineral fuels, oils and waxes","706763609","0.8633167710821569","27","Minerals"
"Inorganic chemicals","2140569822","2.614721249753745","28","Chemicals"
"Organic chemicals","285926041","0.34926069104447116","29","Chemicals"
"Pharmaceutical products","187626595","0.22918721918029533","30","Chemicals"
"Fertilisers","489034382","0.5973589729863951","31","Chemicals"
"Dyes, paints, inks, etc.","31429130","0.03839090564936168","32","Chemicals"
"Essential oils","99687795","0.1217693500341215","33","Chemicals"
"Soaps, waxes, and paints","19073603","0.023298541613031663","34","Chemicals"
"Albuminoidals; modified starches; glues; enzymes","29284180","0.03577083398105275","35","Chemicals"
"Explosives","45760704","0.05589702513917399","36","Chemicals"
"Photographic or cinematographic goods","2193555","0.0026794430212253905","37","Chemicals"
"Miscellaneous chemical products","134466808","0.16425216157427303","38","Chemicals"
"Plastics","437600823","0.5345325151499905","39","Chemicals"
"Rubber","305124327","0.3727115338280754","40","Chemicals"
"Leather and skins","29846122","0.03645725012755167","41","Agriculture"
"Articles of leather","26210868","0.03201676153224328","42","Agriculture"
"Furskins","161354","0.00019709505767888274","43","Agriculture"
"Wood","2354849006","2.87646479580692","44","Agriculture"
"Cork","9394956","0.011476005520226122","45","Agriculture"
"Manufactues of plaiting materials","30100","0.00003676736390876192","46","Agriculture"
"Pulp of wood","3301216495","4.032459409078822","47","Agriculture"
"Paper and paperboard","538195357","0.6574094533164464","48","Agriculture"
"Products of the printing industry","18538371","0.02264475192135012","49","Agriculture"
"Silk","78797","0.00009625109547902701","50","Textiles"
"Wool","48310077","0.059011102376056786","51","Textiles"
"Cotton","15039378","0.01837070710589462","52","Textiles"
"Other vegetable textile fibres","1048114","0.0012802786995305014","53","Textiles"
"Man-made filaments","18936201","0.023130704093570147","54","Textiles"
"Man-made staple fibres","66994677","0.08183447406009842","55","Textiles"
"Wadding, felt and nonwovens","16401846","0.020034971450414323","56","Textiles"
"Carpets","11668078","0.014252640197402624","57","Textiles"
"Special woven fabrics","1480162","0.001808028401924281","58","Textiles"
"Impregnated, coated or laminated textile fabrics","10259882","0.012532518775912162","59","Textiles"
"Knitted fabrics","24825600","0.03032464682569302","60","Textiles"
"Apparel, knit","137629737","0.168115701825455","61","Textiles"
"Apparel, not knit","161702655","0.19752094223913558","62","Textiles"
"Other made up textile articles","68340125","0.08347794835366373","63","Textiles"
"Footwear","135907349","0.1660117926431266","64","Textiles"
"Headgear","3282002","0.004008988766886526","65","Textiles"
"Umbrellas and walking-sticks","1889828","0.002308438332258064","66","Textiles"
"Feathers and down","2569151","0.003138236204437196","67","Textiles"
"Articles of stone, plaster, cement, etc.","17370867","0.02121863748836224","68","Stone"
"Ceramic products","11816896","0.014434422441993127","69","Stone"
"Glass and glassware","47216065","0.0576747589433474","70","Stone"
"Precious metals and stones","904248376","1.1045458174185707","71","Stone"
"Iron and steel","486463232","0.5942182949892517","72","Metals"
"Articles of iron or steel","254439850","0.3108000849780996","73","Metals"
"Copper","16483683239","20.13493621943762","74","Metals"
"Nickel","1018072","0.0012435821830339225","75","Metals"
"Aluminium","154391932","0.18859084214022673","76","Metals"
"Lead","36955947","0.045141951891758084","78","Metals"
"Zinc","1883920","0.0023012216682722513","79","Metals"
"Tin","8128671","0.009929229393740852","80","Metals"
"Other base metals","100028053","0.12218497759920015","81","Metals"
"Metal tools and tableware","36019190","0.04399769655909762","82","Metals"
"Miscellaneous articles of base metal","40026653","0.048892841093047736","83","Metals"
"Industrial Machinery","608831909","0.743692503570406","84","Machinery"
"Electrical machinery and equipment","269878861","0.3296589466335274","85","Electronics"
"Trains","85761120","0.10475781755026577","86","Vehicles"
"Vehicles","705817807","0.8621614672177171","87","Vehicles"
"Aircraft","24573712","0.030016963843624907","88","Vehicles"
"Ships","68366578","0.08351026088115471","89","Vehicles"
"Apparatuses (optical, medical, etc.)","61826690","0.0755217412127645","90","Machinery"
"Clocks","16498301","0.02015279191838175","91","Machinery"
"Musical instruments","7388112","0.009024631312381756","92","Machinery"
