"Name","Gross Import","Share","Code","Sector"
"Live animals","21065452","0.02473969901858646","01","Agriculture"
"Meat","1454595527","1.708306830148347","02","Agriculture"
"Fish","73997467","0.08690414341537908","03","Agriculture"
"Diary products","288616956","0.3389576745422131","04","Agriculture"
"Animal products","79229776","0.0930490744537561","05","Agriculture"
"Plants","32299218","0.03793286428678151","06","Agriculture"
"Vegetables","88525020","0.10396559971342399","07","Agriculture"
"Fruits and nuts","229656439","0.26971323371273315","08","Agriculture"
"Coffee, tea and spices","124148892","0.14580300586813882","09","Agriculture"
"Cereals","715376369","0.840152684787834","10","Agriculture"
"Flours, starches and malts","147674639","0.1734321258114191","11","Agriculture"
"Oil seeds and oleaginous fruits","132596935","0.15572456089178968","12","Agriculture"
"Lac and other vegetable extracts","29010246","0.034070228091718696","13","Agriculture"
"Other vegetable materials","565681","0.0006643473722060656","14","Agriculture"
"Animal or vegetable fats, oils or waxes","604969170","0.7104882051106269","15","Agriculture"
"Preparations of meat or fish","292026329","0.34296171214188553","16","Agriculture"
"Sugar and candy","242330715","0.2845981634791817","17","Agriculture"
"Cocoa","139921852","0.16432709369840248","18","Agriculture"
"Preparations of cereals, flour, starch or milk","191214798","0.2245665818336017","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","268453795","0.3152776445858988","20","Agriculture"
"Miscellaneous edible preparations","349521763","0.4104855294377595","21","Agriculture"
"Beverages","387805684","0.4554469517130253","22","Agriculture"
"Food residues and animal feed","839856974","0.9863452612087695","23","Agriculture"
"Tobacco","35541462","0.04174062215994834","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","226010683","0.26543158306810394","25","Minerals"
"Ores, slag and ash","353869225","0.41559127800535456","26","Minerals"
"Mineral fuels, oils and waxes","11369907283","13.35305238409573","27","Minerals"
"Inorganic chemicals","751099776","0.8821069868886607","28","Chemicals"
"Organic chemicals","997359669","1.171319657624105","29","Chemicals"
"Pharmaceutical products","1210802336","1.421991104849846","30","Chemicals"
"Fertilisers","363247943","0.42660583684321857","31","Chemicals"
"Dyes, paints, inks, etc.","312122123","0.36656262491126335","32","Chemicals"
"Essential oils","755095113","0.8867991926318758","33","Chemicals"
"Soaps, waxes, and paints","305848472","0.3591947204633714","34","Chemicals"
"Albuminoidals; modified starches; glues; enzymes","144268300","0.16943165140359376","35","Chemicals"
"Explosives","59881205","0.07032571570599457","36","Chemicals"
"Photographic or cinematographic goods","54929649","0.06451050675089236","37","Chemicals"
"Miscellaneous chemical products","737984482","0.866704116534857","38","Chemicals"
"Plastics","2500308920","2.9364140932882417","39","Chemicals"
"Rubber","1182695787","1.3889821970556457","40","Chemicals"
"Leather and skins","8321402","0.009772825235018144","41","Agriculture"
"Articles of leather","326727824","0.3837158598238334","42","Agriculture"
"Furskins","684800","0.00080424316971352","43","Agriculture"
"Wood","288919308","0.33931276293422424","44","Agriculture"
"Cork","43372753","0.0509378509811939","45","Agriculture"
"Manufactues of plaiting materials","5014656","0.0058893148896946865","46","Agriculture"
"Pulp of wood","23039550","0.027058120211409357","47","Agriculture"
"Paper and paperboard","1109996966","1.3036032101463642","48","Agriculture"
"Products of the printing industry","127110213","0.14928084200654304","49","Agriculture"
"Silk","573871","0.0006739658762363719","50","Textiles"
"Wool","10101906","0.011863885662365693","51","Textiles"
"Cotton","87004060","0.10217935308461634","52","Textiles"
"Other vegetable textile fibres","4499759","0.0052846092889996185","53","Textiles"
"Man-made filaments","158752910","0.1864426745613977","54","Textiles"
"Man-made staple fibres","130234113","0.15294961425810272","55","Textiles"
"Wadding, felt and nonwovens","166264816","0.19526481108597427","56","Textiles"
"Carpets","91379909","0.10731843992741386","57","Textiles"
"Special woven fabrics","35978731","0.04225415984478692","58","Textiles"
"Impregnated, coated or laminated textile fabrics","107345785","0.12606909226604268","59","Textiles"
"Knitted fabrics","109639996","0.12876346073367062","60","Textiles"
"Apparel, knit","1650083085","1.9378914289881186","61","Textiles"
"Apparel, not knit","1570609342","1.8445558346842084","62","Textiles"
"Other made up textile articles","608053891","0.7141109647407698","63","Textiles"
"Footwear","1103135849","1.295545373575314","64","Textiles"
"Headgear","59323228","0.06967041606944778","65","Textiles"
"Umbrellas and walking-sticks","14919206","0.017521421616601876","66","Textiles"
"Feathers and down","19295592","0.02266113912321676","67","Textiles"
"Articles of stone, plaster, cement, etc.","148099845","0.1739314964615669","68","Stone"
"Ceramic products","406295342","0.47716158541168024","69","Stone"
"Glass and glassware","222420986","0.26121576926321033","70","Stone"
"Precious metals and stones","75507300","0.08867732226709939","71","Stone"
"Iron and steel","1549457470","1.8197146422445842","72","Metals"
"Articles of iron or steel","1396923163","1.6405752226304848","73","Metals"
"Copper","94769850","0.11129965618760927","74","Metals"
"Nickel","5450692","0.006401404514036398","75","Metals"
"Aluminium","395136682","0.464056626170799","76","Metals"
"Lead","3248968","0.0038156546767199114","78","Metals"
"Zinc","37461017","0.043994986934538634","79","Metals"
"Tin","6468208","0.00759639618032469","80","Metals"
"Other base metals","13642798","0.016022381873950456","81","Metals"
"Metal tools and tableware","318835027","0.37444639709429867","82","Metals"
"Miscellaneous articles of base metal","256175713","0.3008580131815727","83","Metals"
"Industrial Machinery","7992222886","9.386230529926367","84","Machinery"
"Electrical machinery and equipment","5953206875","6.991568293093339","85","Electronics"
"Trains","132312154","0.15539010824267435","86","Vehicles"
"Vehicles","9020278482","10.5936001139929","87","Vehicles"
"Aircraft","1003425986","1.1784440647686247","88","Vehicles"
"Ships","187192699","0.21984294624852346","89","Vehicles"
"Apparatuses (optical, medical, etc.)","1396695421","1.6403077577532115","90","Machinery"
"Clocks","66770073","0.07841614362079895","91","Machinery"
"Musical instruments","41701834","0.0489754894261493","92","Machinery"
"Arms and ammunition","22873752","0.026863403638611224","93","Machinery"
"Furniture","941273530","1.1054509452900614","94","Textiles"
"Toys","751483666","0.8825578351807479","95","Machinery"
