"Name","Gross Export","Share","Code","Sector"
"Live animals","667554182","0.02468964486146573","01","Agriculture"
"Meat","892883613","0.033023505659938175","02","Agriculture"
"Fish","11985881920","0.443300597817636","03","Agriculture"
"Diary products","592468888","0.021912598004198425","04","Agriculture"
"Animal products","2551124704","0.09435393356440971","05","Agriculture"
"Plants","399820765","0.014787462894044973","06","Agriculture"
"Vegetables","10030832412","0.37099264238773","07","Agriculture"
"Fruits and nuts","5361635149","0.198301308380631","08","Agriculture"
"Coffee, tea and spices","3176206196","0.11747271622369523","09","Agriculture"
"Cereals","977961154","0.03617011806926137","10","Agriculture"
"Flours, starches and malts","848510239","0.03138234622313759","11","Agriculture"
"Oil seeds and oleaginous fruits","2841635939","0.10509855836613975","12","Agriculture"
"Lac and other vegetable extracts","1385276630","0.05123477457233285","13","Agriculture"
"Other vegetable materials","157436524","0.005822826027601195","14","Agriculture"
"Animal or vegetable fats, oils or waxes","1158648478","0.042852880279158796","15","Agriculture"
"Preparations of meat or fish","9762255796","0.3610592745114814","16","Agriculture"
"Sugar and candy","1744388098","0.06451659475962608","17","Agriculture"
"Cocoa","392871294","0.01453043511174422","18","Agriculture"
"Preparations of cereals, flour, starch or milk","2040458157","0.07546681394471569","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","7635273680","0.2823923520552471","20","Agriculture"
"Miscellaneous edible preparations","3420420744","0.12650504741523794","21","Agriculture"
"Beverages","2326428813","0.08604350438845915","22","Agriculture"
"Food residues and animal feed","2933317165","0.10848940958307329","23","Agriculture"
"Tobacco","1431505056","0.052944543533745114","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","4022735458","0.14878179555715176","25","Minerals"
"Ores, slag and ash","1342353494","0.049647252521305696","26","Minerals"
"Mineral fuels, oils and waxes","44489904928","1.6454693599578014","27","Minerals"
"Inorganic chemicals","20190097514","0.7467353973359155","28","Chemicals"
"Organic chemicals","58064255371","2.147519831214905","29","Chemicals"
"Pharmaceutical products","8382001728","0.31001026054917596","30","Chemicals"
"Fertilisers","7152931406","0.2645528121829139","31","Chemicals"
"Dyes, paints, inks, etc.","7955792848","0.2942468271564344","32","Chemicals"
"Essential oils","5603672464","0.20725311410922231","33","Chemicals"
"Soaps, waxes, and paints","4096303725","0.15150273482212886","34","Chemicals"
"Albuminoidals; modified starches; glues; enzymes","2968179055","0.10977878459787845","35","Chemicals"
"Explosives","1004981423","0.03716946892895124","36","Chemicals"
"Photographic or cinematographic goods","1139661051","0.04215062592722216","37","Chemicals"
"Miscellaneous chemical products","18213850156","0.6736434345513427","38","Chemicals"
"Plastics","77692390280","2.8734709124353772","39","Chemicals"
"Rubber","21632097986","0.800068116242837","40","Chemicals"
"Leather and skins","691553599","0.025577268815579795","41","Agriculture"
"Articles of leather","28533825757","1.0553301042450416","42","Agriculture"
"Furskins","4114819045","0.1521875281881547","43","Agriculture"
"Wood","14226476460","0.5261695018898138","44","Agriculture"
"Cork","54828328","0.002027838313606666","45","Agriculture"
"Manufactues of plaiting materials","1345698240","0.049770958720919925","46","Agriculture"
"Pulp of wood","189019317","0.006990922886146808","47","Agriculture"
"Paper and paperboard","20590530199","0.7615454922318129","48","Agriculture"
"Products of the printing industry","4495690006","0.16627412822556584","49","Agriculture"
"Silk","1056680916","0.039081586560906746","50","Textiles"
"Wool","2539786662","0.09393459347494207","51","Textiles"
"Cotton","14872516902","0.550063456132354","52","Textiles"
"Other vegetable textile fibres","1572465963","0.05815801507960997","53","Textiles"
"Man-made filaments","19654466462","0.7269249597605977","54","Textiles"
"Man-made staple fibres","13281380611","0.4912149146802089","55","Textiles"
"Wadding, felt and nonwovens","5385492584","0.19918368109783988","56","Textiles"
"Carpets","2822864732","0.1044043009606022","57","Textiles"
"Special woven fabrics","4869771285","0.1801096103135694","58","Textiles"
"Impregnated, coated or laminated textile fabrics","7525921948","0.27834795311226185","59","Textiles"
"Knitted fabrics","17340358400","0.6413371411798511","60","Textiles"
"Apparel, knit","67548015440","2.4982788772498523","61","Textiles"
"Apparel, not knit","67038350080","2.4794287867614804","62","Textiles"
"Other made up textile articles","25497644481","0.9430362418728756","63","Textiles"
"Footwear","46324513536","1.7133227810173495","64","Textiles"
"Headgear","4689390487","0.1734381850382383","65","Textiles"
"Umbrellas and walking-sticks","2576303472","0.09528517608633767","66","Textiles"
"Feathers and down","5540841464","0.20492929513224717","67","Textiles"
"Articles of stone, plaster, cement, etc.","11595588720","0.4288655141050677","68","Stone"
"Ceramic products","20471568042","0.7571456495112052","69","Stone"
"Glass and glassware","16434875194","0.6078476366767374","70","Stone"
"Precious metals and stones","20324841380","0.7517189301913817","71","Stone"
"Iron and steel","46993768381","1.738075325290775","72","Metals"
"Articles of iron or steel","64226789592","2.375442575863547","73","Metals"
"Copper","7191014058","0.26596130782059496","74","Metals"
"Nickel","499367821","0.018469233641523326","75","Metals"
"Aluminium","25460549821","0.9416642873464087","76","Metals"
"Lead","132247555","0.00489120621934349","78","Metals"
"Zinc","364098194","0.01346625539462361","79","Metals"
"Tin","232645466","0.008604446034569519","80","Metals"
"Other base metals","4078419796","0.15084129359736598","81","Metals"
"Metal tools and tableware","15524322016","0.5741706180938488","82","Metals"
"Miscellaneous articles of base metal","19087297104","0.705948070688655","83","Metals"
"Industrial Machinery","428636706780","15.85322712424625","84","Machinery"
"Electrical machinery and equipment","682049206904","25.22574668928389","85","Electronics"
"Trains","9906469232","0.366393041590019","86","Vehicles"
"Vehicles","70315958528","2.6006518885831387","87","Vehicles"
"Aircraft","4364990689","0.1614401839445215","88","Vehicles"
"Ships","25161476136","0.9306029783633126","89","Vehicles"
"Apparatuses (optical, medical, etc.)","70626365556","2.612132363862107","90","Machinery"
"Clocks","5540232029","0.2049067550386909","91","Machinery"
"Musical instruments","1666795016","0.06164679678675293","92","Machinery"
"Arms and ammunition","383356292","0.014178520575710144","93","Machinery"
"Furniture","90359990208","3.341985007474705","94","Textiles"
"Toys","60573630182","2.2403296353903173","95","Machinery"
"Miscellaneous manufactured articles","13613809330","0.5035098672625927","96","Machinery"
"Art","464952467","0.017196373863316405","97","Textiles"
"Other","10888696832","0.40272095514525136","99","Other"
"Unspecified","96181264384","3.557286170918935","unspecified","Services"
"Travel and tourism","40385499136","1.493666968325383","travel","Services"
"Transport","42303791104","1.5646154376895105","transport","Services"
"ICT","46434213888","1.7173800737511666","ict","Services"
"Insurance and finance","8262025216","0.3055729016757394","financial","Services"
