"Name","Gross Import","Share","Code","Sector"
"Live animals","686395012","0.03156232915218905","01","Agriculture"
"Meat","9902450385","0.45534188477551346","02","Agriculture"
"Fish","10044037080","0.4618524301510393","03","Agriculture"
"Diary products","5606033006","0.2577808053380898","04","Agriculture"
"Animal products","1020445964","0.046922910036809616","05","Agriculture"
"Plants","272588849","0.012534384465128308","06","Agriculture"
"Vegetables","2031714911","0.09342383560968022","07","Agriculture"
"Fruits and nuts","7900884821","0.36330439900390227","08","Agriculture"
"Coffee, tea and spices","646882981","0.02974545737123051","09","Agriculture"
"Cereals","5249446875","0.2413839949869569","10","Agriculture"
"Flours, starches and malts","1180406082","0.054278315899722554","11","Agriculture"
"Oil seeds and oleaginous fruits","36261860184","1.667419994010776","12","Agriculture"
"Lac and other vegetable extracts","359510024","0.016531258987353168","13","Agriculture"
"Other vegetable materials","109507161","0.005035440234236084","14","Agriculture"
"Animal or vegetable fats, oils or waxes","8865635073","0.4076662671278526","15","Agriculture"
"Preparations of meat or fish","1512325837","0.06954089848886286","16","Agriculture"
"Sugar and candy","1752050180","0.08056408264271021","17","Agriculture"
"Cocoa","659494809","0.030325383885246023","18","Agriculture"
"Preparations of cereals, flour, starch or milk","5268572432","0.24226344066284267","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","1420359407","0.06531202927526818","20","Agriculture"
"Miscellaneous edible preparations","2556036198","0.11753356944002073","21","Agriculture"
"Beverages","5209754989","0.23955885297878163","22","Agriculture"
"Food residues and animal feed","3267794215","0.1502621592702501","23","Agriculture"
"Tobacco","1231275376","0.05661742584792755","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","6471677133","0.297585501449479","25","Minerals"
"Ores, slag and ash","104563602724","4.808121837740889","26","Minerals"
"Mineral fuels, oils and waxes","294072674402","13.52226980364543","27","Minerals"
"Inorganic chemicals","9779353965","0.4496815730634929","28","Chemicals"
"Organic chemicals","60713811497","2.791787919566458","29","Chemicals"
"Pharmaceutical products","19961324276","0.9178765522740917","30","Chemicals"
"Fertilisers","2750390255","0.12647050314707586","31","Chemicals"
