"Name","Gross Export","Share","Code","Sector"
"Live animals","56078465","0.10578598311379567","01","Agriculture"
"Meat","78295255","0.14769556412288257","02","Agriculture"
"Fish","116338076","0.21945924773845854","03","Agriculture"
"Diary products","20789624","0.039217386092971006","04","Agriculture"
"Animal products","45490712","0.08581332765557227","05","Agriculture"
"Plants","1126985309","2.1259363798094295","06","Agriculture"
"Vegetables","22616571","0.042663724798779015","07","Agriculture"
"Fruits and nuts","1503043140","2.835328966785136","08","Agriculture"
"Coffee, tea and spices","2089173661","3.9410010531553006","09","Agriculture"
"Cereals","4117196","0.007766646724944898","10","Agriculture"
"Flours, starches and malts","51271027","0.09671726921286027","11","Agriculture"
"Oil seeds and oleaginous fruits","21536691","0.04062664750993158","12","Agriculture"
"Lac and other vegetable extracts","808850","0.0015258083908251344","13","Agriculture"
"Other vegetable materials","506078","0.0009546616292415187","14","Agriculture"
"Animal or vegetable fats, oils or waxes","630365446","1.189116507131147","15","Agriculture"
"Preparations of meat or fish","87581881","0.1652137836608128","16","Agriculture"
"Sugar and candy","503303286","0.9494274301893584","17","Agriculture"
"Cocoa","103325693","0.19491278898092584","18","Agriculture"
"Preparations of cereals, flour, starch or milk","124172198","0.23423747495283426","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","104240875","0.19663918123503","20","Agriculture"
"Miscellaneous edible preparations","304669355","0.5747259173966516","21","Agriculture"
"Beverages","41075502","0.07748450962348345","22","Agriculture"
"Food residues and animal feed","53203509","0.1003626883273049","23","Agriculture"
"Tobacco","39173817","0.07389718573190121","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","46815393","0.08831219565948727","25","Minerals"
"Ores, slag and ash","74715243","0.14094225714525424","26","Minerals"
"Mineral fuels, oils and waxes","24903438788","46.97765452572234","27","Minerals"
"Inorganic chemicals","112041484","0.21135418978512713","28","Chemicals"
"Organic chemicals","147433579","0.27811756435381135","29","Chemicals"
"Pharmaceutical products","385895266","0.7279498483556868","30","Chemicals"
"Fertilisers","129413816","0.24412522265129508","31","Chemicals"
"Dyes, paints, inks, etc.","93971723","0.17726753224169534","32","Chemicals"
"Essential oils","479408834","0.9043531205450875","33","Chemicals"
"Soaps, waxes, and paints","206394631","0.38934123731354076","34","Chemicals"
"Albuminoidals; modified starches; glues; enzymes","41153622","0.07763187458792836","35","Chemicals"
"Explosives","492686","0.0009293990639081069","36","Chemicals"
"Photographic or cinematographic goods","507444","0.0009572384410878032","37","Chemicals"
"Miscellaneous chemical products","434455438","0.819553381640612","38","Chemicals"
"Plastics","1467080215","2.7674887829146844","39","Chemicals"
"Rubber","85117300","0.16056461710376488","40","Chemicals"
"Leather and skins","72036721","0.13588951393871443","41","Agriculture"
"Articles of leather","32732102","0.06174558432458944","42","Agriculture"
"Furskins","4756137","0.008971940090886917","43","Agriculture"
"Wood","66199252","0.12487775751739824","44","Agriculture"
"Cork","119973","0.0002263161402886368","45","Agriculture"
"Manufactues of plaiting materials","771730","0.0014557855096142438","46","Agriculture"
"Pulp of wood","1503744","0.002836651063674292","47","Agriculture"
"Paper and paperboard","422639568","0.7972640157620201","48","Agriculture"
"Products of the printing industry","49835196","0.09400872870769016","49","Agriculture"
"Silk","36030","0.00006796671363223045","50","Textiles"
"Wool","30779","0.00005806126780145492","51","Textiles"
"Cotton","22085325","0.041661586448785454","52","Textiles"
"Other vegetable textile fibres","3516571","0.006633632365373473","53","Textiles"
"Man-made filaments","57370071","0.10822245869324808","54","Textiles"
"Man-made staple fibres","14685665","0.027702924994556465","55","Textiles"
"Wadding, felt and nonwovens","20465921","0.03860675525470029","56","Textiles"
"Carpets","3359573","0.006337472551139976","57","Textiles"
"Special woven fabrics","19363231","0.03652664935808291","58","Textiles"
"Impregnated, coated or laminated textile fabrics","43311510","0.0817024978392863","59","Textiles"
"Knitted fabrics","55206106","0.10414037183604104","60","Textiles"
"Apparel, knit","183805599","0.3467294618715954","61","Textiles"
"Apparel, not knit","270673063","0.5105955748231937","62","Textiles"
"Other made up textile articles","66104135","0.12469832954347215","63","Textiles"
"Footwear","36004502","0.06791861440202798","64","Textiles"
"Headgear","4888822","0.009222236049762645","65","Textiles"
"Umbrellas and walking-sticks","350325","0.0006608503733891516","66","Textiles"
"Feathers and down","210215","0.0003965479518789709","67","Textiles"
"Articles of stone, plaster, cement, etc.","67840440","0.12797368188078023","68","Stone"
"Ceramic products","95858806","0.18082731103329264","69","Stone"
"Glass and glassware","170980643","0.32253656395880176","70","Stone"
"Precious metals and stones","2053885585","3.8744338992245657","71","Stone"
"Iron and steel","595902756","1.12410635497388","72","Metals"
"Articles of iron or steel","240769575","0.4541858660943333","73","Metals"
"Copper","210916233","0.39787075239244496","74","Metals"
"Nickel","574512","0.0010837549981204547","75","Metals"
"Aluminium","271753959","0.5126345686865916","76","Metals"
"Lead","7614582","0.014364088654541675","78","Metals"
"Zinc","1492037","0.0028145670693225703","79","Metals"
"Tin","191094","0.00036047824520781137","80","Metals"
"Other base metals","1680912","0.0031708594100743753","81","Metals"
"Metal tools and tableware","54280006","0.10239338395108938","82","Metals"
"Miscellaneous articles of base metal","33009179","0.062268260236692616","83","Metals"
"Industrial Machinery","496930063","0.9374050315616774","84","Machinery"
"Electrical machinery and equipment","424047477","0.7999198844221157","85","Electronics"
"Trains","1715080","0.003235313661292417","86","Vehicles"
"Vehicles","632648758","1.193423729247079","87","Vehicles"
"Aircraft","10162391","0.019170255867770082","88","Vehicles"
"Ships","12281765","0.02316822660708717","89","Vehicles"
"Apparatuses (optical, medical, etc.)","83125059","0.15680646907341828","90","Machinery"
"Clocks","2815031","0.00531025272947131","91","Machinery"
"Musical instruments","1076421","0.0020305522579716663","92","Machinery"
"Arms and ammunition","20085905","0.037889896008303794","93","Machinery"
"Furniture","113436105","0.21398499206468566","94","Textiles"
"Toys","25922994","0.04890093560055587","95","Machinery"
"Miscellaneous manufactured articles","55708329","0.1050877614230663","96","Machinery"
"Art","36889526","0.06958811683793283","97","Textiles"
"Other","588472512","1.110090000098343","99","Other"
"Travel and tourism","6648785920","12.542218390969909","travel","Services"
"Transport","2241640960","4.228614188026593","transport","Services"
"ICT","515338784","0.9721311006303043","ict","Services"
"Insurance and finance","104850464","0.19778910521494553","financial","Services"
