"Name","Gross Import","Share","Code","Sector"
"Live animals","15667205","0.02506394403967091","01","Agriculture"
"Meat","318724829","0.5098868163217166","02","Agriculture"
"Fish","208273675","0.333190236237836","03","Agriculture"
"Diary products","129090218","0.20651481869426733","04","Agriculture"
"Animal products","16085838","0.025733661075042536","05","Agriculture"
"Plants","31989997","0.05117667731016734","06","Agriculture"
"Vegetables","134016392","0.2143955702045515","07","Agriculture"
"Fruits and nuts","215807404","0.34524247925540336","08","Agriculture"
"Coffee, tea and spices","125461671","0.20070997354458578","09","Agriculture"
"Cereals","1478097268","2.364617505824584","10","Agriculture"
"Flours, starches and malts","44432921","0.07108250932205958","11","Agriculture"
"Oil seeds and oleaginous fruits","408142723","0.6529349918808687","12","Agriculture"
"Lac and other vegetable extracts","22857811","0.0365672687485339","13","Agriculture"
"Other vegetable materials","1974083","0.0031580812175283127","14","Agriculture"
"Animal or vegetable fats, oils or waxes","624059089","0.9983517854106082","15","Agriculture"
"Preparations of meat or fish","258299771","0.41322054608998926","16","Agriculture"
"Sugar and candy","104390405","0.16700076811394132","17","Agriculture"
"Cocoa","58068826","0.09289683803290932","18","Agriculture"
"Preparations of cereals, flour, starch or milk","186318312","0.2980666778493002","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","137035729","0.21922581871441066","20","Agriculture"
"Miscellaneous edible preparations","349786158","0.5595778372698568","21","Agriculture"
"Beverages","516496299","0.8262759269973894","22","Agriculture"
"Food residues and animal feed","798447652","1.277333593856379","23","Agriculture"
"Tobacco","67718104","0.10833347550687022","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","135391368","0.21659521727114","25","Minerals"
"Ores, slag and ash","16897511","0.02703215220032696","26","Minerals"
"Mineral fuels, oils and waxes","4183343288","6.692392297743273","27","Minerals"
"Inorganic chemicals","353439268","0.5654219776006154","28","Chemicals"
"Organic chemicals","1996876015","3.194544827499292","29","Chemicals"
"Pharmaceutical products","1854341824","2.966522727388662","30","Chemicals"
"Fertilisers","515629367","0.8248890341129087","31","Chemicals"
"Dyes, paints, inks, etc.","394563391","0.6312111670286303","32","Chemicals"
"Essential oils","525829968","0.8412076622686653","33","Chemicals"
"Soaps, waxes, and paints","222262441","0.35556906182976844","34","Chemicals"
"Albuminoidals; modified starches; glues; enzymes","128268626","0.20520045943800935","35","Chemicals"
"Explosives","32645777","0.05222577529684304","36","Chemicals"
"Photographic or cinematographic goods","42608311","0.06816355071175072","37","Chemicals"
"Miscellaneous chemical products","963148133","1.5408166873048201","38","Chemicals"
"Plastics","2383020546","3.812287744388997","39","Chemicals"
"Rubber","845316517","1.352313056342693","40","Chemicals"
"Leather and skins","10466205","0.016743533797363593","41","Agriculture"
"Articles of leather","169216628","0.2707078955546831","42","Agriculture"
"Furskins","368499","0.0005895141038031155","43","Agriculture"
"Wood","224337172","0.35888815682350667","44","Agriculture"
"Cork","1171667","0.0018743991746536215","45","Agriculture"
"Manufactues of plaiting materials","1643473","0.002629180846405601","46","Agriculture"
"Pulp of wood","159664723","0.2554270326061066","47","Agriculture"
"Paper and paperboard","697741783","1.1162272404843239","48","Agriculture"
"Products of the printing industry","94827806","0.15170279721167684","49","Agriculture"
"Silk","1695981","0.002713181634908403","50","Textiles"
"Wool","9011045","0.014415610673311312","51","Textiles"
"Cotton","492119394","0.7872784553500614","52","Textiles"
"Other vegetable textile fibres","7050644","0.01127941752594936","53","Textiles"
"Man-made filaments","301098039","0.48168798454801914","54","Textiles"
"Man-made staple fibres","250047529","0.40001884663626913","55","Textiles"
"Wadding, felt and nonwovens","116542695","0.1864416522099784","56","Textiles"
"Carpets","27810047","0.04448971349699055","57","Textiles"
"Special woven fabrics","27878066","0.04459852833726579","58","Textiles"
"Impregnated, coated or laminated textile fabrics","108164911","0.17303911427468935","59","Textiles"
"Knitted fabrics","178816452","0.28606541794152174","60","Textiles"
"Apparel, knit","433586284","0.6936388691247009","61","Textiles"
"Apparel, not knit","340596595","0.5448766386335314","62","Textiles"
"Other made up textile articles","120129077","0.1921790430051383","63","Textiles"
"Footwear","326011229","0.5215433895171689","64","Textiles"
"Headgear","48664736","0.07785244527082899","65","Textiles"
"Umbrellas and walking-sticks","17505618","0.0280049842924667","66","Textiles"
"Feathers and down","21604435","0.03456215386526873","67","Textiles"
"Articles of stone, plaster, cement, etc.","108965427","0.1743197567521996","68","Stone"
"Ceramic products","225054282","0.36003536878060355","69","Stone"
"Glass and glassware","191460796","0.30629347587746814","70","Stone"
"Precious metals and stones","66368584","0.10617455221708008","71","Stone"
"Iron and steel","1584900481","2.5354782147952686","72","Metals"
"Articles of iron or steel","834158206","1.3344623112684284","73","Metals"
"Copper","311961555","0.49906712505828055","74","Metals"
"Nickel","6870165","0.010990692411524946","75","Metals"
"Aluminium","386077690","0.6176359865799556","76","Metals"
"Lead","28065678","0.04489866461997676","78","Metals"
"Zinc","71492113","0.11437102658130975","79","Metals"
"Tin","6432782","0.010290979665320157","80","Metals"
"Other base metals","7341314","0.011744423033569332","81","Metals"
"Metal tools and tableware","219189331","0.35065278882078227","82","Metals"
"Miscellaneous articles of base metal","219686898","0.35144878219956216","83","Metals"
"Industrial Machinery","5470583573","8.751682290364805","84","Machinery"
"Electrical machinery and equipment","4893518314","7.828509882854072","85","Electronics"
"Trains","65643413","0.10501444450398177","86","Vehicles"
