"Name","Gross Export","Share","Code","Sector"
"Live animals","69079","0.08375664820441175","01","Agriculture"
"Coffee, tea and spices","57053456","69.17596147943493","09","Agriculture"
"Cereals","79740","0.09668285771102353","10","Agriculture"
"Animal or vegetable fats, oils or waxes","978","0.0011858017913391147","15","Agriculture"
"Beverages","4447","0.005391881969412109","22","Agriculture"
"Mineral fuels, oils and waxes","1254","0.0015204452416556747","27","Minerals"
"Essential oils","16549810","20.06625188580981","33","Chemicals"
"Miscellaneous chemical products","336916","0.4085026547349787","38","Chemicals"
"Plastics","2457","0.0029790541935789416","39","Chemicals"
"Articles of leather","1843","0.002234593764251522","42","Agriculture"
"Paper and paperboard","12194","0.014784935627391783","48","Agriculture"
"Products of the printing industry","1054","0.001277949987803095","49","Agriculture"
"Apparel, knit","23132","0.028047001060589365","61","Textiles"
"Apparel, not knit","18339","0.022235602302012294","62","Textiles"
"Other made up textile articles","7967","0.009659798437217511","63","Textiles"
"Footwear","23158","0.0280785254435902","64","Textiles"
"Ceramic products","19837","0.024051891753368117","69","Stone"
"Glass and glassware","1082","0.001311899323342456","70","Stone"
"Precious metals and stones","446449","0.5413088179361518","71","Stone"
"Iron and steel","572070","0.6936212993572264","72","Metals"
"Articles of iron or steel","185110","0.22444148220325516","73","Metals"
"Copper","77191","0.0935922557006724","74","Metals"
"Aluminium","31634","0.03835547430186253","76","Metals"
"Metal tools and tableware","510","0.0006183628973240782","82","Metals"
"Miscellaneous articles of base metal","2896","0.0035113312757853537","83","Metals"
"Industrial Machinery","322723","0.3912939790453304","84","Machinery"
"Electrical machinery and equipment","92272","0.11187761031742616","85","Electronics"
"Vehicles","179107","0.21716298715886997","87","Vehicles"
"Aircraft","463","0.000561376512668722","88","Vehicles"
"Ships","5893567","7.145810128810933","89","Vehicles"
"Apparatuses (optical, medical, etc.)","16455","0.019951297010720993","90","Machinery"
"Furniture","48547","0.058862085443905934","94","Textiles"
"Toys","3169","0.003842337297294125","95","Machinery"
"Miscellaneous manufactured articles","307252","0.3725357586835641","96","Machinery"
"Art","7262","0.008805002667387169","97","Textiles"
"Other","82421","0.09993350658891735","99","Other"
