"Name","Gross Import","Share","Code","Sector"
"Live animals","406314","0.11192945351943043","01","Agriculture"
"Meat","24186260","6.662716186198013","02","Agriculture"
"Fish","5383781","1.4830984539009058","03","Agriculture"
"Diary products","5673717","1.5629686479764475","04","Agriculture"
"Animal products","8427","0.0023214299896342242","05","Agriculture"
"Vegetables","1149169","0.31656762546077744","07","Agriculture"
"Fruits and nuts","395906","0.10906230704593892","08","Agriculture"
"Coffee, tea and spices","848627","0.23377574081088437","09","Agriculture"
"Cereals","24866296","6.850049277978113","10","Agriculture"
"Flours, starches and malts","4079533","1.1238104010801562","11","Agriculture"
"Oil seeds and oleaginous fruits","873811","0.2407133096798708","12","Agriculture"
"Lac and other vegetable extracts","3374","0.0009294535166756702","13","Agriculture"
"Other vegetable materials","894","0.000246274879640797","14","Agriculture"
"Animal or vegetable fats, oils or waxes","4715214","1.2989247878418355","15","Agriculture"
"Preparations of meat or fish","2929378","0.8069711570161059","16","Agriculture"
"Sugar and candy","6752631","1.8601827592659004","17","Agriculture"
"Cocoa","395266","0.10888600288154279","18","Agriculture"
"Preparations of cereals, flour, starch or milk","4878290","1.3438481908309885","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","5872812","1.617814394242761","20","Agriculture"
"Miscellaneous edible preparations","6101566","1.6808304611525497","21","Agriculture"
"Beverages","14503994","3.995491472774991","22","Agriculture"
"Food residues and animal feed","838115","0.2308799449106785","23","Agriculture"
"Tobacco","893970","0.24626661538309094","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","10607350","2.9220624659483314","25","Minerals"
"Mineral fuels, oils and waxes","8210763","2.261862046514664","27","Minerals"
"Inorganic chemicals","324852","0.08948868814437605","28","Chemicals"
"Organic chemicals","85044","0.02342751774515877","29","Chemicals"
"Pharmaceutical products","4363784","1.202114518320398","30","Chemicals"
"Fertilisers","292930","0.08069496699460701","31","Chemicals"
"Dyes, paints, inks, etc.","1317136","0.3628383779312761","32","Chemicals"
"Essential oils","2081588","0.5734259889952208","33","Chemicals"
"Soaps, waxes, and paints","3043337","0.8383640418136289","34","Chemicals"
"Albuminoidals; modified starches; glues; enzymes","600791","0.1655030550495236","35","Chemicals"
"Explosives","228667","0.06299210056244085","36","Chemicals"
"Photographic or cinematographic goods","44048","0.012134134114561329","37","Chemicals"
"Miscellaneous chemical products","841743","0.23187936914259888","38","Chemicals"
"Plastics","12543808","3.4555087309141683","39","Chemicals"
"Rubber","1416156","0.3901159378664346","40","Chemicals"
"Leather and skins","3114","0.000857829949889756","41","Agriculture"
"Articles of leather","1259674","0.3470090187210753","42","Agriculture"
"Furskins","1397","0.0003848389338458539","43","Agriculture"
"Wood","4114979","1.1335748970351311","44","Agriculture"
"Cork","9393","0.002587539087769582","45","Agriculture"
"Manufactues of plaiting materials","49807","0.013720596118869326","46","Agriculture"
"Paper and paperboard","11121360","3.063659502731515","48","Agriculture"
"Products of the printing industry","1305536","0.35964286495159686","49","Agriculture"
"Silk","36389","0.010024269122202419","50","Textiles"
"Wool","997","0.00027464883109829376","51","Textiles"
"Cotton","3959638","1.0907822951578594","52","Textiles"
"Other vegetable textile fibres","2294","0.0006319402392572577","53","Textiles"
"Man-made filaments","157615","0.043419032611391746","54","Textiles"
"Man-made staple fibres","77336","0.021304154465213287","55","Textiles"
"Wadding, felt and nonwovens","234085","0.06448462550415657","56","Textiles"
"Carpets","624393","0.17200482206214338","57","Textiles"
"Special woven fabrics","411946","0.11348093016611607","58","Textiles"
"Impregnated, coated or laminated textile fabrics","53768","0.014811753611327041","59","Textiles"
"Knitted fabrics","780873","0.21511119025698894","60","Textiles"
"Apparel, knit","2605440","0.7177342532565081","61","Textiles"
"Apparel, not knit","6032264","1.6617394749010208","62","Textiles"
"Other made up textile articles","2031965","0.5597560803236153","63","Textiles"
"Footwear","4806645","1.324111766052616","64","Textiles"
"Headgear","27308","0.007522678314575934","65","Textiles"
"Umbrellas and walking-sticks","74482","0.020517948082109445","66","Textiles"
"Feathers and down","188875","0.052030389141113575","67","Textiles"
"Articles of stone, plaster, cement, etc.","1499836","0.41316770736122416","68","Stone"
"Ceramic products","10260942","2.826635633166889","69","Stone"
"Glass and glassware","1310523","0.361016660057602","70","Stone"
"Precious metals and stones","193168","0.05321300441885177","71","Stone"
"Iron and steel","13418472","3.696457020988148","72","Metals"
"Articles of iron or steel","11721969","3.229112421284288","73","Metals"
"Copper","49159","0.013542088152418278","74","Metals"
"Aluminium","4223068","1.1633507420748337","76","Metals"
"Lead","5035","0.001387017918334914","78","Metals"
"Zinc","74007","0.020387097335096718","79","Metals"
"Tin","27174","0.007485764630155501","80","Metals"
"Metal tools and tableware","1138141","0.31352968432802725","82","Metals"
"Miscellaneous articles of base metal","910364","0.2507827567441997","83","Metals"
"Industrial Machinery","26048020","7.175585000426257","84","Machinery"
"Electrical machinery and equipment","23419478","6.4514867177855635","85","Electronics"
"Trains","124882","0.03440190102830203","86","Vehicles"
"Vehicles","19775903","5.447771958739459","87","Vehicles"
"Aircraft","100380","0.027652206284500228","88","Vehicles"
"Ships","112024","0.030859840175481705","89","Vehicles"
"Apparatuses (optical, medical, etc.)","2499690","0.6886027448426219","90","Machinery"
"Clocks","54823","0.01510238000732373","91","Machinery"
"Musical instruments","20781","0.00572465131299262","92","Machinery"
"Furniture","14302514","3.9399887180210453","94","Textiles"
"Toys","820604","0.2260560976876472","95","Machinery"
"Miscellaneous manufactured articles","704024","0.19394119224187079","96","Machinery"
"Art","135405","0.037300727156333466","97","Textiles"
"Other","28327708","7.803582637807207","99","Other"
