"Name","Gross Export","Share","Code","Sector"
"Live animals","8887229","0.039983608032119186","01","Agriculture"
"Meat","64016484","0.2880099076833093","02","Agriculture"
"Fish","90061202","0.4051849906950196","03","Agriculture"
"Diary products","147635918","0.6642134096886768","04","Agriculture"
"Animal products","4059206","0.018262351698783322","05","Agriculture"
"Plants","133946825","0.6026262345604984","06","Agriculture"
"Vegetables","135629733","0.6101976309795754","07","Agriculture"
"Fruits and nuts","3095697496","13.927530759708887","08","Agriculture"
"Coffee, tea and spices","300017384","1.3497770210127122","09","Agriculture"
"Cereals","2469085","0.011108403624795198","10","Agriculture"
"Flours, starches and malts","11067727","0.04979365988819488","11","Agriculture"
"Oil seeds and oleaginous fruits","20446644","0.09198937028271484","12","Agriculture"
"Lac and other vegetable extracts","5571389","0.025065657019804538","13","Agriculture"
"Other vegetable materials","975750","0.004389895381039501","14","Agriculture"
"Animal or vegetable fats, oils or waxes","152429129","0.6857780469720463","15","Agriculture"
"Preparations of meat or fish","51472216","0.2315732956907686","16","Agriculture"
"Sugar and candy","87627158","0.3942342363902829","17","Agriculture"
"Cocoa","10499956","0.04723926041047193","18","Agriculture"
"Preparations of cereals, flour, starch or milk","128996835","0.5803562491777756","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","388264665","1.7468011883211363","20","Agriculture"
"Miscellaneous edible preparations","507209899","2.2819353244556613","21","Agriculture"
"Beverages","79653208","0.3583594669579078","22","Agriculture"
"Food residues and animal feed","56725996","0.25521003107892914","23","Agriculture"
"Tobacco","5236485","0.023558925251737254","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","34969276","0.15732663406681574","25","Minerals"
"Ores, slag and ash","1664362","0.007487958038614056","26","Minerals"
"Mineral fuels, oils and waxes","9813625","0.04415145996285295","27","Minerals"
"Inorganic chemicals","14072215","0.06331083948705588","28","Chemicals"
"Organic chemicals","8049120","0.03621295896431736","29","Chemicals"
"Pharmaceutical products","319362719","1.4368116064712433","30","Chemicals"
"Fertilisers","28727451","0.12924468814136672","31","Chemicals"
"Dyes, paints, inks, etc.","90663727","0.407895748280939","32","Chemicals"
"Essential oils","53906223","0.24252388353265208","33","Chemicals"
"Soaps, waxes, and paints","45257931","0.2036152521161203","34","Chemicals"
"Albuminoidals; modified starches; glues; enzymes","14605717","0.06571106286965935","35","Chemicals"
"Explosives","19670666","0.08849824833755648","36","Chemicals"
"Photographic or cinematographic goods","573506","0.0025802012199830277","37","Chemicals"
"Miscellaneous chemical products","120485099","0.5420619826637836","38","Chemicals"
"Plastics","380028245","1.709745567399485","39","Chemicals"
"Rubber","265360958","1.1938578978554104","40","Chemicals"
"Leather and skins","7959336","0.035809021104321194","41","Agriculture"
"Articles of leather","4544958","0.02044774802072101","42","Agriculture"
"Furskins","8191","0.00003685127652174691","43","Agriculture"
"Wood","79171718","0.3561932453570708","44","Agriculture"
"Cork","3871","0.000017415613651041665","45","Agriculture"
"Manufactues of plaiting materials","12316","0.00005540963516564948","46","Agriculture"
"Pulp of wood","18889942","0.08498577415721656","47","Agriculture"
"Paper and paperboard","197158989","0.8870175097530285","48","Agriculture"
"Products of the printing industry","8882032","0.03996022674972589","49","Agriculture"
"Wool","3849","0.000017316635738274183","51","Textiles"
"Cotton","36000904","0.16196792434829257","52","Textiles"
