"Name","Gross Import","Share","Code","Sector"
"Live animals","7623958","0.04014934294762239","01","Agriculture"
"Meat","100108911","0.527194273611162","02","Agriculture"
"Fish","70156950","0.3694610392278127","03","Agriculture"
"Diary products","61445396","0.32358419033216934","04","Agriculture"
"Animal products","4153424","0.02187279161072052","05","Agriculture"
"Plants","10201259","0.053721944177619996","06","Agriculture"
"Vegetables","54144706","0.28513724367214344","07","Agriculture"
"Fruits and nuts","90835400","0.4783580426839259","08","Agriculture"
"Coffee, tea and spices","22874958","0.12046426982604815","09","Agriculture"
"Cereals","276455897","1.455874051056626","10","Agriculture"
"Flours, starches and malts","41296062","0.21747362139511744","11","Agriculture"
"Oil seeds and oleaginous fruits","139099780","0.7325282709006039","12","Agriculture"
"Lac and other vegetable extracts","5515479","0.029045655536325016","13","Agriculture"
"Other vegetable materials","890364","0.004688841358283566","14","Agriculture"
"Animal or vegetable fats, oils or waxes","83553429","0.44000967415754627","15","Agriculture"
"Preparations of meat or fish","82592865","0.4349511450498124","16","Agriculture"
"Sugar and candy","40473143","0.21313995938529073","17","Agriculture"
"Cocoa","34947932","0.18404305311993938","18","Agriculture"
"Preparations of cereals, flour, starch or milk","124905110","0.6577761967340978","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","122006451","0.6425112576723647","20","Agriculture"
"Miscellaneous edible preparations","180011200","0.9479762878039258","21","Agriculture"
"Beverages","98317154","0.517758509894756","22","Agriculture"
"Food residues and animal feed","144235933","0.7595763171029123","23","Agriculture"
"Tobacco","10454139","0.055053662668801975","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","39425526","0.20762299113720237","25","Minerals"
"Ores, slag and ash","761666","0.004011091016705989","26","Minerals"
"Mineral fuels, oils and waxes","1754817377","9.24123200568788","27","Minerals"
"Inorganic chemicals","102344660","0.5389681912200738","28","Chemicals"
"Organic chemicals","165716555","0.8726977245668887","29","Chemicals"
"Pharmaceutical products","415664512","2.188975469624059","30","Chemicals"
"Fertilisers","133262777","0.7017894033421387","31","Chemicals"
"Dyes, paints, inks, etc.","99468022","0.5238192193083498","32","Chemicals"
"Essential oils","165705918","0.8726417079202946","33","Chemicals"
"Soaps, waxes, and paints","129713949","0.6831005395742473","34","Chemicals"
"Albuminoidals; modified starches; glues; enzymes","33898197","0.17851493104488042","35","Chemicals"
"Explosives","8760439","0.04613428743740799","36","Chemicals"
"Photographic or cinematographic goods","7980574","0.042027356714829565","37","Chemicals"
"Miscellaneous chemical products","244103275","1.2854984382931776","38","Chemicals"
"Plastics","1018872741","5.365595022741868","39","Chemicals"
"Rubber","197749687","1.0413908367737579","40","Chemicals"
"Leather and skins","12044888","0.06343087659686761","41","Agriculture"
"Articles of leather","35011148","0.18437596167790585","42","Agriculture"
"Furskins","795282","0.00418811983986153","43","Agriculture"
"Wood","91519388","0.4819600652533129","44","Agriculture"
"Cork","3849904","0.020274392384037693","45","Agriculture"
"Manufactues of plaiting materials","1237074","0.006514688076401656","46","Agriculture"
"Pulp of wood","11464198","0.06037284270472721","47","Agriculture"
"Paper and paperboard","612921390","3.22777107206564","48","Agriculture"
"Products of the printing industry","42475704","0.22368586065632787","49","Agriculture"
"Silk","341605","0.001798962730070463","50","Textiles"
"Wool","3827171","0.02015467569446145","51","Textiles"
"Cotton","26460580","0.1393468984237581","52","Textiles"
"Other vegetable textile fibres","482827","0.0025426670513362844","53","Textiles"
"Man-made filaments","45247717","0.23828385563377497","54","Textiles"
"Man-made staple fibres","17561122","0.09248050811967175","55","Textiles"
"Wadding, felt and nonwovens","50188983","0.264305586502364","56","Textiles"
"Carpets","7168587","0.03775126488273775","57","Textiles"
"Special woven fabrics","6461533","0.034027771976757916","58","Textiles"
"Impregnated, coated or laminated textile fabrics","30820468","0.16230697224961385","59","Textiles"
"Knitted fabrics","20398548","0.10742298151242921","60","Textiles"
"Apparel, knit","105328654","0.5546825220780937","61","Textiles"
"Apparel, not knit","109790576","0.578179928095223","62","Textiles"
"Other made up textile articles","63785351","0.33590687833451716","63","Textiles"
"Footwear","79602772","0.4192046955937313","64","Textiles"
"Headgear","9684198","0.05099899378704326","65","Textiles"
"Umbrellas and walking-sticks","4241685","0.0223375923294417","66","Textiles"
"Feathers and down","3386631","0.017834700749407247","67","Textiles"
"Articles of stone, plaster, cement, etc.","59449009","0.3130708026247377","68","Stone"
"Ceramic products","73416986","0.38662906446950407","69","Stone"
"Glass and glassware","58273750","0.30688164514993527","70","Stone"
"Precious metals and stones","51723254","0.2723853755769617","71","Stone"
"Iron and steel","542996944","2.859534447089938","72","Metals"
"Articles of iron or steel","290017678","1.5272932005783768","73","Metals"
"Copper","97337677","0.5126003810091682","74","Metals"
"Nickel","14131099","0.0744172961049633","75","Metals"
"Aluminium","101443647","0.5342232700207091","76","Metals"
"Lead","1096479","0.005774285667086053","78","Metals"
"Zinc","15188827","0.07998751097462847","79","Metals"
"Tin","1316863","0.006934873487240468","80","Metals"
"Other base metals","12846195","0.06765072533545331","81","Metals"
"Metal tools and tableware","60545578","0.3188455622504769","82","Metals"
"Miscellaneous articles of base metal","49862130","0.26258431086175066","83","Metals"
"Industrial Machinery","1373719380","7.23429096821037","84","Machinery"
"Electrical machinery and equipment","1699370837","8.949239034357365","85","Electronics"
"Trains","56800549","0.29912346335253026","86","Vehicles"
"Vehicles","906740099","4.775081289680777","87","Vehicles"
"Aircraft","117814904","0.6204377024423808","88","Vehicles"
"Ships","173828711","0.9154180193650253","89","Vehicles"
"Apparatuses (optical, medical, etc.)","815971519","4.297075134965772","90","Machinery"
"Clocks","20123284","0.10597338423800372","91","Machinery"
"Musical instruments","3814487","0.020087879121612064","92","Machinery"
"Arms and ammunition","6221598","0.03276422453851944","93","Machinery"
"Furniture","188505919","0.9927112386489705","94","Textiles"
"Toys","87880425","0.4627965318943006","95","Machinery"
"Miscellaneous manufactured articles","28701591","0.1511485268152569","96","Machinery"
"Art","1708365","0.008996604160819736","97","Textiles"
"Other","524171008","2.760393166304552","99","Other"
"Unspecified","457","0.000002406656716506496","unspecified","Services"
"Travel and tourism","1068016448","5.624395969187332","travel","Services"
"Transport","1434554240","7.554659949428603","transport","Services"
"ICT","730575424","3.847361599746567","ict","Services"
"Insurance and finance","600189056","3.1607199623546904","financial","Services"
