"Name","Gross Export","Share","Code","Sector"
"Live animals","110733017","0.33534689993835437","01","Agriculture"
"Meat","108221894","0.3277421463045407","02","Agriculture"
"Fish","181341758","0.5491803440582791","03","Agriculture"
"Diary products","90983594","0.27553720669554105","04","Agriculture"
"Animal products","6821037","0.020657015172943518","05","Agriculture"
"Plants","6905111","0.02091162717602312","06","Agriculture"
"Vegetables","32935647","0.09974321497005685","07","Agriculture"
"Fruits and nuts","44380708","0.13440375100471905","08","Agriculture"
"Coffee, tea and spices","26169389","0.07925209402025839","09","Agriculture"
"Cereals","230858860","0.6991392912585643","10","Agriculture"
"Flours, starches and malts","26283506","0.07959768906694861","11","Agriculture"
"Oil seeds and oleaginous fruits","154083204","0.4666297929367267","12","Agriculture"
"Lac and other vegetable extracts","3380292","0.010236968826437915","13","Agriculture"
"Other vegetable materials","48522","0.00014694535306311422","14","Agriculture"
"Animal or vegetable fats, oils or waxes","74010083","0.22413416134259484","15","Agriculture"
"Preparations of meat or fish","113574264","0.34395141013073127","16","Agriculture"
"Sugar and candy","92721333","0.2807998230527922","17","Agriculture"
"Cocoa","148989650","0.45120433456988207","18","Agriculture"
"Preparations of cereals, flour, starch or milk","153041952","0.46347643687622475","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","44917312","0.136028817247559","20","Agriculture"
"Miscellaneous edible preparations","216789143","0.6565301751449849","21","Agriculture"
"Beverages","179244889","0.5428301285780414","22","Agriculture"
"Food residues and animal feed","61735780","0.18696232613508812","23","Agriculture"
"Tobacco","183553696","0.5558790376480677","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","232071786","0.7028125495601477","25","Minerals"
"Ores, slag and ash","32757753","0.09920447591070626","26","Minerals"
"Mineral fuels, oils and waxes","1736070692","5.257564007634992","27","Minerals"
"Inorganic chemicals","52694022","0.15958001869472627","28","Chemicals"
"Organic chemicals","143537572","0.43469311230703966","29","Chemicals"
"Pharmaceutical products","853892512","2.5859514581795784","30","Chemicals"
"Fertilisers","214017198","0.6481355410265122","31","Chemicals"
"Dyes, paints, inks, etc.","62367022","0.18887399668779137","32","Chemicals"
"Essential oils","213018356","0.6451106205709607","33","Chemicals"
"Soaps, waxes, and paints","73404643","0.2223006302730072","34","Chemicals"
"Albuminoidals; modified starches; glues; enzymes","7445180","0.022547186919715526","35","Chemicals"
"Explosives","10109011","0.03061440564102686","36","Chemicals"
"Photographic or cinematographic goods","3444613","0.010431760303589981","37","Chemicals"
"Miscellaneous chemical products","78511701","0.23776698452311648","38","Chemicals"
"Plastics","448200163","1.3573416428626262","39","Chemicals"
"Rubber","102411859","0.3101468772640219","40","Chemicals"
"Leather and skins","70745907","0.21424884138916872","41","Agriculture"
"Articles of leather","134017486","0.4058622232575114","42","Agriculture"
"Furskins","3158525","0.009565363572888027","43","Agriculture"
"Wood","844490664","2.5574786443259505","44","Agriculture"
"Cork","142094","0.0004303213593452486","45","Agriculture"
"Manufactues of plaiting materials","1204741","0.003648470623523542","46","Agriculture"
"Pulp of wood","38598520","0.11689281458129663","47","Agriculture"
"Paper and paperboard","281118681","0.8513475090099745","48","Agriculture"
"Products of the printing industry","52356242","0.1585570764961842","49","Agriculture"
"Silk","114423","0.0003465217454668134","50","Textiles"
"Wool","21154612","0.06406520607669083","51","Textiles"
"Cotton","15018403","0.04548214276573789","52","Textiles"
"Other vegetable textile fibres","2514794","0.007615870990705273","53","Textiles"
"Man-made filaments","41513702","0.1257212315516036","54","Textiles"
"Man-made staple fibres","52081072","0.15772374413555648","55","Textiles"
"Wadding, felt and nonwovens","26260872","0.0795291436417553","56","Textiles"
"Carpets","2301540","0.006970046739394088","57","Textiles"
