"Name","Gross Import","Share","Code","Sector"
"Live animals","125519437","0.3721839111295895","01","Agriculture"
"Meat","406167390","1.2043470827828626","02","Agriculture"
"Fish","130105998","0.3857837507433892","03","Agriculture"
"Diary products","255122175","0.7564754206743899","04","Agriculture"
"Animal products","12984637","0.038501391487742086","05","Agriculture"
"Plants","42880230","0.12714629776053216","06","Agriculture"
"Vegetables","140089124","0.4153852130251193","07","Agriculture"
"Fruits and nuts","191740396","0.56853896265338","08","Agriculture"
"Coffee, tea and spices","93239093","0.2764678613314329","09","Agriculture"
"Cereals","83330336","0.24708691426191493","10","Agriculture"
"Flours, starches and malts","42864089","0.1270984372804892","11","Agriculture"
"Oil seeds and oleaginous fruits","75509314","0.22389641383774106","12","Agriculture"
"Lac and other vegetable extracts","6843633","0.020292395800624294","13","Agriculture"
"Other vegetable materials","357161","0.0010590358040161963","14","Agriculture"
"Animal or vegetable fats, oils or waxes","117910755","0.3496230305760756","15","Agriculture"
"Preparations of meat or fish","120472371","0.3572186052892743","16","Agriculture"
"Sugar and candy","92381784","0.2739258118744504","17","Agriculture"
"Cocoa","173558006","0.514625455824286","18","Agriculture"
"Preparations of cereals, flour, starch or milk","255895967","0.7587698297304215","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","128970432","0.3824166276481368","20","Agriculture"
"Miscellaneous edible preparations","224931754","0.6669563052689496","21","Agriculture"
"Beverages","267781890","0.7940133698167681","22","Agriculture"
"Food residues and animal feed","224916751","0.666911819129176","23","Agriculture"
"Tobacco","130028217","0.3855531184406681","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","87775111","0.2602663371714602","25","Minerals"
"Ores, slag and ash","32582160","0.09661097939636284","26","Minerals"
"Mineral fuels, oils and waxes","4704928952","13.950818301887386","27","Minerals"
"Inorganic chemicals","78405143","0.23248298010143842","28","Chemicals"
"Organic chemicals","355258978","1.0533960242025366","29","Chemicals"
"Pharmaceutical products","1177528607","3.4915485035217078","30","Chemicals"
"Fertilisers","119316242","0.35379050982235194","31","Chemicals"
"Dyes, paints, inks, etc.","192165494","0.5697994418272418","32","Chemicals"
"Essential oils","362389188","1.074538163686283","33","Chemicals"
"Soaps, waxes, and paints","170529617","0.5056458293267434","34","Chemicals"
"Albuminoidals; modified starches; glues; enzymes","54402616","0.16131189624887485","35","Chemicals"
"Explosives","11595799","0.034383279017516484","36","Chemicals"
"Photographic or cinematographic goods","17558044","0.05206222752341872","37","Chemicals"
"Miscellaneous chemical products","340304661","1.0090542368080337","38","Chemicals"
"Plastics","1179084090","3.4961607433506328","39","Chemicals"
"Rubber","291767287","0.8651336606563127","40","Chemicals"
"Leather and skins","241249440","0.7153406857379645","41","Agriculture"
"Articles of leather","107402803","0.3184653806790163","42","Agriculture"
"Furskins","3656326","0.010841553655509205","43","Agriculture"
"Wood","389332773","1.1544299245547813","44","Agriculture"
"Cork","3233759","0.009588579275339723","45","Agriculture"
"Manufactues of plaiting materials","3427999","0.010164529937847966","46","Agriculture"
"Pulp of wood","19993926","0.05928498211408954","47","Agriculture"
"Paper and paperboard","604432774","1.7922336111356783","48","Agriculture"
"Products of the printing industry","54881804","0.16273276036577144","49","Agriculture"
"Silk","1836979","0.005446917586819021","50","Textiles"
"Wool","44791897","0.13281467644229256","51","Textiles"
"Cotton","44317301","0.13140742829245855","52","Textiles"
"Other vegetable textile fibres","2053606","0.006089249053907019","53","Textiles"
"Man-made filaments","85901337","0.25471031690431273","54","Textiles"
"Man-made staple fibres","68762374","0.20389072724948243","55","Textiles"
"Wadding, felt and nonwovens","66335520","0.19669474202959583","56","Textiles"
"Carpets","25894795","0.07678194159681372","57","Textiles"
"Special woven fabrics","17918130","0.05312993639007823","58","Textiles"
"Impregnated, coated or laminated textile fabrics","58130880","0.17236675683786593","59","Textiles"
"Knitted fabrics","60582703","0.17963677887865537","60","Textiles"
"Apparel, knit","742450394","2.201476504858962","61","Textiles"
"Apparel, not knit","414965979","1.2304362156272186","62","Textiles"
"Other made up textile articles","118023565","0.34995752910489336","63","Textiles"
"Footwear","388788815","1.1528170076968909","64","Textiles"
"Headgear","15122550","0.0448406234108011","65","Textiles"
"Umbrellas and walking-sticks","16472523","0.04884349534098148","66","Textiles"
"Feathers and down","9491427","0.02814350117791706","67","Textiles"
"Articles of stone, plaster, cement, etc.","127105190","0.3768859060375612","68","Stone"
"Ceramic products","162869354","0.4829320033905956","69","Stone"
"Glass and glassware","158178618","0.4690232693149611","70","Stone"
"Precious metals and stones","84087158","0.2493310047288672","71","Stone"
"Iron and steel","727550839","2.15729709498804","72","Metals"
"Articles of iron or steel","709725004","2.104440827082291","73","Metals"
"Copper","187745987","0.5566949423183364","74","Metals"
"Nickel","11509304","0.03412680840099234","75","Metals"
"Aluminium","624061356","1.8504352936263975","76","Metals"
"Lead","1636927","0.004853733474709781","78","Metals"
"Zinc","18860205","0.05592332971988903","79","Metals"
"Tin","1125524","0.0033373470627518836","80","Metals"
"Other base metals","10488073","0.031098705687730634","81","Metals"
"Metal tools and tableware","117780122","0.3492356841855513","82","Metals"
"Miscellaneous articles of base metal","138661682","0.4111526339188997","83","Metals"
"Industrial Machinery","2631545122","7.802925022838915","84","Machinery"
"Electrical machinery and equipment","1924209417","5.705568824782469","85","Electronics"
"Trains","50983198","0.1511728102599302","86","Vehicles"
"Vehicles","2331021986","6.911828959833074","87","Vehicles"
"Aircraft","57202565","0.16961416396684895","88","Vehicles"
"Ships","232635992","0.6898005236597093","89","Vehicles"
"Apparatuses (optical, medical, etc.)","551987727","1.6367261998664964","90","Machinery"
"Clocks","32207657","0.0955005219676081","91","Machinery"
"Musical instruments","10686245","0.031686315318551185","92","Machinery"
"Arms and ammunition","12820519","0.03801475706213703","93","Machinery"
"Furniture","598710575","1.775266434935853","94","Textiles"
"Toys","201202091","0.5965943040027464","95","Machinery"
"Miscellaneous manufactured articles","66138835","0.19611154157626265","96","Machinery"
"Art","817883","0.002425145467999526","97","Textiles"
"Other","454030240","1.3462675943511935","99","Other"
"Unspecified","1683140096","4.990762218829206","unspecified","Services"
"Travel and tourism","1664287616","4.9348617948901445","travel","Services"
"Transport","784294144","2.325549484339652","transport","Services"
"ICT","752052480","2.2299481265288605","ict","Services"
"Insurance and finance","475105920","1.4087601389290956","financial","Services"
