"Name","Gross Export","Share","Code","Sector"
"Live animals","1288","0.0000998355304974885","01","Agriculture"
"Meat","50933","0.003947921641947657","02","Agriculture"
"Fish","66442570","5.15010032885599","03","Agriculture"
"Diary products","10626043","0.8236464596227672","04","Agriculture"
"Animal products","153768","0.011918874109889606","05","Agriculture"
"Plants","2650","0.00020540695327511221","06","Agriculture"
"Vegetables","112845","0.008746848166916996","07","Agriculture"
"Fruits and nuts","623849","0.04835581977121716","08","Agriculture"
"Coffee, tea and spices","6062786","0.46993901910151115","09","Agriculture"
"Oil seeds and oleaginous fruits","15557","0.0012058550838116681","12","Agriculture"
"Lac and other vegetable extracts","177252","0.013739167276196297","13","Agriculture"
"Other vegetable materials","2003","0.00015525665185284898","14","Agriculture"
"Animal or vegetable fats, oils or waxes","1238950","0.09603356406045294","15","Agriculture"
"Preparations of meat or fish","3128063","0.24246260018211596","16","Agriculture"
"Sugar and candy","173719804","13.465379495543264","17","Agriculture"
"Cocoa","4028924","0.3122901901196144","18","Agriculture"
"Preparations of cereals, flour, starch or milk","2373","0.000183936113253525","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","7673644","0.5947999375689982","20","Agriculture"
"Miscellaneous edible preparations","1938192","0.15023325040837596","21","Agriculture"
"Beverages","94837002","7.351011184364424","22","Agriculture"
"Food residues and animal feed","8096","0.0006275376202699277","23","Agriculture"
"Tobacco","230729972","17.884354935008282","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","80036","0.006203755061255426","25","Minerals"
"Ores, slag and ash","72073684","5.5865795629257375","26","Minerals"
"Mineral fuels, oils and waxes","4545606","0.3523392751883282","27","Minerals"
"Inorganic chemicals","2764243","0.21426216329888903","28","Chemicals"
"Organic chemicals","10303","0.0007986067319220683","29","Chemicals"
"Pharmaceutical products","30258215","2.3453765112050187","30","Chemicals"
"Dyes, paints, inks, etc.","2133","0.0001653332193720054","32","Chemicals"
"Essential oils","330250","0.02559835710154936","33","Chemicals"
"Soaps, waxes, and paints","91572","0.0070979341604938025","34","Chemicals"
"Explosives","1728645","0.13399083122424768","36","Chemicals"
"Miscellaneous chemical products","1221742","0.09469973656914799","38","Chemicals"
"Plastics","258013","0.019999118579385484","39","Chemicals"
"Rubber","60104","0.004658784724395224","40","Chemicals"
"Leather and skins","576348","0.04467391951177523","41","Agriculture"
"Wood","34387176","2.6654207750547396","44","Agriculture"
"Pulp of wood","166033","0.012869559499293097","47","Agriculture"
"Paper and paperboard","602216","0.04667900142397169","48","Agriculture"
"Products of the printing industry","49025","0.0038000286355895758","49","Agriculture"
"Carpets","22103","0.0017132490144301151","57","Textiles"
"Apparel, knit","19142","0.001483735811166867","61","Textiles"
"Apparel, not knit","26620","0.002063370979691882","62","Textiles"
"Other made up textile articles","176456","0.013677467678155924","63","Textiles"
"Footwear","12546","0.000972466277656437","64","Textiles"
"Headgear","3248","0.0002517591638632319","65","Textiles"
"Glass and glassware","1651","0.00012797240749328688","70","Stone"
"Precious metals and stones","6776465","0.5252577470284654","71","Stone"
"Iron and steel","14446736","1.1197962364263703","72","Metals"
"Articles of iron or steel","187518","0.014534906061978298","73","Metals"
"Copper","13735489","1.064666017824082","74","Metals"
"Nickel","124749616","9.669599450867997","75","Metals"
"Aluminium","7857416","0.6090444834623091","76","Metals"
"Lead","2284747","0.17709544161300106","78","Metals"
"Zinc","247871","0.0192129912887756","79","Metals"
"Tin","6351","0.0004922790793397123","80","Metals"
"Other base metals","4562","0.00035361000786455165","81","Metals"
"Metal tools and tableware","323607","0.025083444501320468","82","Metals"
"Miscellaneous articles of base metal","13055","0.0010119199150968265","83","Metals"
"Industrial Machinery","4301873","0.33344702879489313","84","Machinery"
"Electrical machinery and equipment","2138213","0.1657372897295236","85","Electronics"
"Trains","8037","0.0006229644088573876","86","Vehicles"
"Vehicles","387413","0.030029178863838133","87","Vehicles"
"Aircraft","345712","0.02679684853986626","88","Vehicles"
"Ships","1208","0.0000936345658703153","89","Vehicles"
"Apparatuses (optical, medical, etc.)","4040288","0.31317103714490435","90","Machinery"
"Furniture","198310","0.015371416190183965","94","Textiles"
"Toys","18664","0.0014466850475195073","95","Machinery"
"Miscellaneous manufactured articles","1259","0.00009758768082013821","96","Machinery"
"Art","2180221","0.16899341625525224","97","Textiles"
"Other","354823552","27.503103685499376","99","Other"
