"Name","Gross Import","Share","Code","Sector"
"Live animals","45896","0.00075149676936695","01","Agriculture"
"Meat","274948623","4.501982785567184","02","Agriculture"
"Fish","17462705","0.2859326824104079","03","Agriculture"
"Diary products","145952761","2.389816724152139","04","Agriculture"
"Animal products","568257","0.009304586449149268","05","Agriculture"
"Plants","509744","0.008346500113390852","06","Agriculture"
"Vegetables","65034522","1.064869121063357","07","Agriculture"
"Fruits and nuts","3665744","0.06002254604597962","08","Agriculture"
"Coffee, tea and spices","17341345","0.2839455452322144","09","Agriculture"
"Cereals","354870389","5.8106142338655395","10","Agriculture"
"Flours, starches and malts","22542207","0.36910396842646515","11","Agriculture"
"Oil seeds and oleaginous fruits","46581842","0.7627266815008215","12","Agriculture"
"Lac and other vegetable extracts","1430808","0.023427915059795773","13","Agriculture"
"Animal or vegetable fats, oils or waxes","87878515","1.4389145049517398","15","Agriculture"
"Preparations of meat or fish","54576961","0.8936380049103629","16","Agriculture"
"Sugar and candy","25235180","0.41319845399149085","17","Agriculture"
"Cocoa","12950893","0.21205669883905018","18","Agriculture"
"Preparations of cereals, flour, starch or milk","50387106","0.8250337148498793","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","30674870","0.5022674243017076","20","Agriculture"
"Miscellaneous edible preparations","31466159","0.515223915654671","21","Agriculture"
"Beverages","71753280","1.1748814300044053","22","Agriculture"
"Food residues and animal feed","62941638","1.0306004361091172","23","Agriculture"
"Tobacco","5095714","0.08343673977292003","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","19145958","0.3134941080581164","25","Minerals"
"Ores, slag and ash","3017025","0.049400482408038224","26","Minerals"
"Mineral fuels, oils and waxes","89967479","1.4731190041962026","27","Minerals"
"Inorganic chemicals","74146384","1.2140658888844629","28","Chemicals"
"Organic chemicals","62207509","1.0185798771976962","29","Chemicals"
"Pharmaceutical products","89786514","1.470155900377384","30","Chemicals"
"Fertilisers","45183310","0.7398272506167292","31","Chemicals"
"Dyes, paints, inks, etc.","84963745","1.391188336256261","32","Chemicals"
"Essential oils","40602357","0.664819158841371","33","Chemicals"
"Soaps, waxes, and paints","77829210","1.2743681339851385","34","Chemicals"
"Albuminoidals; modified starches; glues; enzymes","11406370","0.18676682510903123","35","Chemicals"
"Explosives","815901","0.013359485916490844","36","Chemicals"
"Photographic or cinematographic goods","8537879","0.13979842438874684","37","Chemicals"
"Miscellaneous chemical products","125964835","2.062536311581421","38","Chemicals"
"Plastics","231306310","3.787387674289485","39","Chemicals"
"Rubber","93257221","1.5269849290055708","40","Chemicals"
"Leather and skins","65218","0.001067873372506836","41","Agriculture"
"Articles of leather","4868278","0.07971272418904035","42","Agriculture"
"Furskins","25720","0.000421136850882821","43","Agriculture"
"Wood","34038871","0.5573492589637085","44","Agriculture"
"Cork","294053","0.004814796050258404","45","Agriculture"
"Manufactues of plaiting materials","92154","0.0015089208925449255","46","Agriculture"
"Pulp of wood","2987407","0.04891552007330076","47","Agriculture"
"Paper and paperboard","90726259","1.485543196253468","48","Agriculture"
"Products of the printing industry","16345243","0.2676354651607494","49","Agriculture"
"Silk","63981","0.0010476188513349055","50","Textiles"
"Wool","242446","0.003969787906265024","51","Textiles"
"Cotton","10850218","0.1776604447866291","52","Textiles"
"Other vegetable textile fibres","561649","0.009196387681239718","53","Textiles"
"Man-made filaments","9722296","0.15919195648486187","54","Textiles"
"Man-made staple fibres","9076370","0.14861562516513646","55","Textiles"
"Wadding, felt and nonwovens","6859126","0.11231068131603734","56","Textiles"
"Carpets","1305637","0.02137837692753086","57","Textiles"
"Special woven fabrics","3170843","0.05191908381274637","58","Textiles"
"Impregnated, coated or laminated textile fabrics","6411824","0.10498660061333176","59","Textiles"
"Knitted fabrics","3338262","0.05466038670691243","60","Textiles"
"Apparel, knit","12757114","0.2088837797944459","61","Textiles"
"Apparel, not knit","14686001","0.2404671933593297","62","Textiles"
"Other made up textile articles","26691671","0.43704690006766395","63","Textiles"
"Footwear","47069806","0.7707165579512174","64","Textiles"
"Headgear","1684340","0.027579224083047072","65","Textiles"
"Umbrellas and walking-sticks","1500096","0.02456243022791276","66","Textiles"
"Feathers and down","122421","0.0020045098919877847","67","Textiles"
"Articles of stone, plaster, cement, etc.","32318274","0.5291763661869421","68","Stone"
"Ceramic products","30596802","0.5009891462428149","69","Stone"
"Glass and glassware","48301197","0.7908792378868881","70","Stone"
"Precious metals and stones","569665","0.009327640908171158","71","Stone"
"Iron and steel","145314818","2.3793711057204616","72","Metals"
"Articles of iron or steel","195909691","3.2078067778058528","73","Metals"
"Copper","17579304","0.28784186342425266","74","Metals"
"Nickel","16321113","0.26724036281969954","75","Metals"
"Aluminium","82509650","1.3510052165024786","76","Metals"
"Lead","2763255","0.04524527639526475","78","Metals"
"Zinc","1947011","0.03188017422916843","79","Metals"
"Tin","2230988","0.03652998680705144","80","Metals"
"Other base metals","1076076","0.01761956679434613","81","Metals"
"Metal tools and tableware","32090871","0.5254528909419458","82","Metals"
"Miscellaneous articles of base metal","50557394","0.8278219944790836","83","Metals"
"Industrial Machinery","1027556135","16.825107107279273","84","Machinery"
"Electrical machinery and equipment","494474998","8.096486916718865","85","Electronics"
"Trains","51046038","0.8358230051852572","86","Vehicles"
"Vehicles","468651734","7.673659230852779","87","Vehicles"
"Aircraft","9243465","0.1513516229139026","88","Vehicles"
"Ships","4148341","0.0679245437452602","89","Vehicles"
"Apparatuses (optical, medical, etc.)","168537211","2.7596123754709776","90","Machinery"
"Clocks","5620205","0.09202470587153518","91","Machinery"
"Musical instruments","647092","0.010595423293602893","92","Machinery"
"Arms and ammunition","168436","0.0027579551561158176","93","Machinery"
"Furniture","85761692","1.4042538450724114","94","Textiles"
"Toys","11385152","0.18641940358095846","95","Machinery"
"Miscellaneous manufactured articles","8285308","0.1356628506887342","96","Machinery"
"Art","1329695","0.02177230034738074","97","Textiles"
"Other","362726336","5.939246768091136","99","Other"
