"Name","Gross Export","Share","Code","Sector"
"Live animals","1751909","0.01021746796794115","01","Agriculture"
"Meat","12698215","0.07405841571253406","02","Agriculture"
"Fish","44979655","0.2623299407512285","03","Agriculture"
"Diary products","229248688","1.3370221434632361","04","Agriculture"
"Animal products","7181505","0.041883909095226525","05","Agriculture"
"Plants","1087059","0.006339935756801374","06","Agriculture"
"Vegetables","51858532","0.30244886553722317","07","Agriculture"
"Fruits and nuts","51443773","0.30002991181478933","08","Agriculture"
"Coffee, tea and spices","11008417","0.06420319096210979","09","Agriculture"
"Cereals","4240922","0.024733867278230154","10","Agriculture"
"Flours, starches and malts","2791594","0.016281109506542123","11","Agriculture"
"Oil seeds and oleaginous fruits","8922551","0.05203802197192963","12","Agriculture"
"Lac and other vegetable extracts","1366432","0.00796929246346115","13","Agriculture"
"Other vegetable materials","43678","0.00025473844012658965","14","Agriculture"
"Animal or vegetable fats, oils or waxes","14756661","0.08606366602447182","15","Agriculture"
"Preparations of meat or fish","2033175","0.011857865012234509","16","Agriculture"
"Sugar and candy","2303327","0.013433443085339468","17","Agriculture"
"Cocoa","1307543","0.0076258405654663994","18","Agriculture"
"Preparations of cereals, flour, starch or milk","8271177","0.04823908436720833","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","43661281","0.25464093172463725","20","Agriculture"
"Miscellaneous edible preparations","30276526","0.17657848357736466","21","Agriculture"
"Beverages","58898478","0.3435071755014025","22","Agriculture"
"Food residues and animal feed","14322244","0.08353006309062704","23","Agriculture"
"Tobacco","40292165","0.2349916035858595","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","77874417","0.4541784768612935","25","Minerals"
"Ores, slag and ash","667360","0.0038921710106433645","26","Minerals"
"Mineral fuels, oils and waxes","1266126180","7.384289759069501","27","Minerals"
"Inorganic chemicals","8907286","0.05194899357574545","28","Chemicals"
"Organic chemicals","87922860","0.5127829160645754","29","Chemicals"
"Pharmaceutical products","381753648","2.226460204316937","30","Chemicals"
"Fertilisers","3348983","0.01953190863662408","31","Chemicals"
"Dyes, paints, inks, etc.","9946559","0.05801023225163907","32","Chemicals"
"Essential oils","24136460","0.14076844568381852","33","Chemicals"
"Soaps, waxes, and paints","6405004","0.0373552069225827","34","Chemicals"
"Albuminoidals; modified starches; glues; enzymes","1638480","0.009555928370772807","35","Chemicals"
"Explosives","656339","0.0038278944332214323","36","Chemicals"
"Photographic or cinematographic goods","975593","0.005689844750639222","37","Chemicals"
"Miscellaneous chemical products","19624228","0.11445224665526223","38","Chemicals"
"Plastics","34338956","0.2002713514129675","39","Chemicals"
"Rubber","2318067","0.013519409581229068","40","Chemicals"
"Leather and skins","6557871","0.03824675646987954","41","Agriculture"
"Articles of leather","4123977","0.024051821697374715","42","Agriculture"
"Furskins","1485499","0.008663713953697715","43","Agriculture"
"Wood","6872941","0.04008430489999733","44","Agriculture"
"Cork","53613","0.0003126812580820287","45","Agriculture"
"Manufactues of plaiting materials","18869","0.00011004761268255459","46","Agriculture"
"Pulp of wood","8149455","0.04752917840976777","47","Agriculture"
"Paper and paperboard","11371431","0.06632035795931923","48","Agriculture"
"Products of the printing industry","9028088","0.052653533917431716","49","Agriculture"
"Silk","16359","0.00009540881317896606","50","Textiles"
"Wool","453921","0.0026473539878360203","51","Textiles"
"Cotton","1425470","0.008313613357920456","52","Textiles"
"Man-made filaments","463540","0.002703453833423677","54","Textiles"
"Man-made staple fibres","873039","0.0050917302310013665","55","Textiles"
"Wadding, felt and nonwovens","861756","0.005025925619527666","56","Textiles"
"Carpets","179648","0.0010477414554664036","57","Textiles"
"Special woven fabrics","176710","0.0010306064781988565","58","Textiles"
"Impregnated, coated or laminated textile fabrics","114110","0.0006655113192647361","59","Textiles"
"Knitted fabrics","201325","0.001174165860581658","60","Textiles"
"Apparel, knit","13501034","0.07874060948889719","61","Textiles"
"Apparel, not knit","20602749","0.12015916806125863","62","Textiles"
"Other made up textile articles","2437147","0.014213906889949118","63","Textiles"
"Footwear","22594730","0.1317767817959032","64","Textiles"
"Headgear","1019364","0.005945125584532279","65","Textiles"
"Umbrellas and walking-sticks","5905","0.000034439088075175415","66","Textiles"
