"Name","Gross Import","Share","Code","Sector"
"Live animals","7233199","0.03257998824612486","01","Agriculture"
"Meat","108316288","0.4878814187061459","02","Agriculture"
"Fish","71676477","0.3228473014752724","03","Agriculture"
"Diary products","133009588","0.599105708782782","04","Agriculture"
"Animal products","4310989","0.019417683786824274","05","Agriculture"
"Plants","18938120","0.0853016385977632","06","Agriculture"
"Vegetables","59261984","0.26692957599563344","07","Agriculture"
"Fruits and nuts","92706280","0.41757036032631767","08","Agriculture"
"Coffee, tea and spices","42995366","0.19366099549007798","09","Agriculture"
"Cereals","130729681","0.5888364844378888","10","Agriculture"
"Flours, starches and malts","13219488","0.0595436076983073","11","Agriculture"
"Oil seeds and oleaginous fruits","21672491","0.09761787309380633","12","Agriculture"
"Lac and other vegetable extracts","2322905","0.010462897204523845","13","Agriculture"
"Other vegetable materials","233076","0.0010498277927171364","14","Agriculture"
"Animal or vegetable fats, oils or waxes","58273665","0.2624779604098571","15","Agriculture"
"Preparations of meat or fish","65711922","0.2959815769468355","16","Agriculture"
"Sugar and candy","22626914","0.10191681331677424","17","Agriculture"
"Cocoa","35147435","0.1583121132408271","18","Agriculture"
"Preparations of cereals, flour, starch or milk","126078079","0.5678846015316324","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","80782134","0.36386127026463444","20","Agriculture"
"Miscellaneous edible preparations","131887381","0.5940510309189878","21","Agriculture"
"Beverages","252125814","1.1356325267236063","22","Agriculture"
"Food residues and animal feed","135926235","0.6122429562134273","23","Agriculture"
"Tobacco","94975249","0.4277903174090443","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","36439644","0.16413251912645765","25","Minerals"
"Ores, slag and ash","1741218","0.00784284546490993","26","Minerals"
"Mineral fuels, oils and waxes","2777594715","12.510924027833125","27","Minerals"
"Inorganic chemicals","27549061","0.12408729299052562","28","Chemicals"
"Organic chemicals","110556542","0.4979720368390541","29","Chemicals"
"Pharmaceutical products","416311637","1.8751631525947232","30","Chemicals"
"Fertilisers","30868054","0.13903679913973713","31","Chemicals"
"Dyes, paints, inks, etc.","65496364","0.29501065424633216","32","Chemicals"
"Essential oils","151073414","0.680469326562418","33","Chemicals"
"Soaps, waxes, and paints","73473682","0.33094232523666445","34","Chemicals"
"Albuminoidals; modified starches; glues; enzymes","10600246","0.047745940639270686","35","Chemicals"
"Explosives","3439245","0.015491148753897645","36","Chemicals"
"Photographic or cinematographic goods","7579851","0.03414138840744984","37","Chemicals"
"Miscellaneous chemical products","103665645","0.4669338553559708","38","Chemicals"
"Plastics","276673953","1.2462029783431787","39","Chemicals"
"Rubber","83612017","0.37660771272776983","40","Chemicals"
"Leather and skins","2160107","0.00972961765193686","41","Agriculture"
"Articles of leather","44610820","0.2009373710373504","42","Agriculture"
"Furskins","4634163","0.020873333648172367","43","Agriculture"
"Wood","109198383","0.4918545770185282","44","Agriculture"
"Cork","1191791","0.005368100168658072","45","Agriculture"
"Manufactues of plaiting materials","1145105","0.00515781571066672","46","Agriculture"
"Pulp of wood","445952","0.002008670149727095","47","Agriculture"
"Paper and paperboard","162047606","0.7298996058027262","48","Agriculture"
"Products of the printing industry","31438743","0.14160731336341503","49","Agriculture"
"Silk","94590","0.00042605506750207625","50","Textiles"
"Wool","17354859","0.07817026771047696","51","Textiles"
"Cotton","4678067","0.021071087339721274","52","Textiles"
"Other vegetable textile fibres","366450","0.001650574896776994","53","Textiles"
