"Name","Gross Export","Share","Code","Sector"
"Live animals","395864178","0.17408726465840163","01","Agriculture"
"Meat","224415046","0.09868991355497031","02","Agriculture"
"Fish","157197784","0.06913010509105033","03","Agriculture"
"Diary products","919522728","0.40437403888752843","04","Agriculture"
"Animal products","57052088","0.025089519322383395","05","Agriculture"
"Plants","46283564","0.0203538978851531","06","Agriculture"
"Vegetables","124722953","0.05484880657195607","07","Agriculture"
"Fruits and nuts","168247743","0.07398949182974505","08","Agriculture"
"Coffee, tea and spices","187927085","0.08264378036973313","09","Agriculture"
"Cereals","605350059","0.26621185191480506","10","Agriculture"
"Flours, starches and malts","165120167","0.072614092940151","11","Agriculture"
"Oil seeds and oleaginous fruits","360239794","0.1584209025312871","12","Agriculture"
"Lac and other vegetable extracts","55203263","0.024276470542096765","13","Agriculture"
"Other vegetable materials","2947669","0.0012962820630068883","14","Agriculture"
"Animal or vegetable fats, oils or waxes","403038296","0.17724219164691182","15","Agriculture"
"Preparations of meat or fish","251782696","0.11072525191950527","16","Agriculture"
"Sugar and candy","353502615","0.15545812608217877","17","Agriculture"
"Cocoa","290000269","0.12753200816369564","18","Agriculture"
"Preparations of cereals, flour, starch or milk","677947006","0.298137458292306","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","182968869","0.08046332982887736","20","Agriculture"
"Miscellaneous edible preparations","712353103","0.31326806026938525","21","Agriculture"
"Beverages","715572617","0.3146838902861882","22","Agriculture"
"Food residues and animal feed","694880654","0.3055842863329281","23","Agriculture"
"Tobacco","806212445","0.35454412670704466","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","290712428","0.12784519086423254","25","Minerals"
"Ores, slag and ash","163716102","0.07199663410240639","26","Minerals"
"Mineral fuels, oils and waxes","4169427521","1.833568866952014","27","Minerals"
"Inorganic chemicals","673302928","0.2960951546922054","28","Chemicals"
"Organic chemicals","1165566859","0.5125756699809167","29","Chemicals"
"Pharmaceutical products","2884130784","1.268340170712924","30","Chemicals"
"Fertilisers","144895985","0.06372020276266269","31","Chemicals"
"Dyes, paints, inks, etc.","590171154","0.259536698670806","32","Chemicals"
"Essential oils","1184782441","0.5210260130407509","33","Chemicals"
"Soaps, waxes, and paints","792011389","0.3482989973629574","34","Chemicals"
"Albuminoidals; modified starches; glues; enzymes","63275220","0.02782623582186966","35","Chemicals"
"Explosives","259496183","0.1141173745904486","36","Chemicals"
"Photographic or cinematographic goods","43603915","0.01917548167429145","37","Chemicals"
"Miscellaneous chemical products","842626054","0.3705575624747805","38","Chemicals"
"Plastics","6740299603","2.9641487815156147","39","Chemicals"
"Rubber","4108868243","1.8069370077371403","40","Chemicals"
"Leather and skins","51441933","0.02262236873756929","41","Agriculture"
"Articles of leather","461388137","0.20290241749574492","42","Agriculture"
"Furskins","4503655","0.0019805504602013616","43","Agriculture"
"Wood","2460677531","1.0821201926944228","44","Agriculture"
"Cork","2158292","0.0009491415780846708","45","Agriculture"
"Manufactues of plaiting materials","2627814","0.0011556209849607887","46","Agriculture"
"Pulp of wood","355008502","0.15612036268575102","47","Agriculture"
"Paper and paperboard","2553934338","1.1231312852449755","48","Agriculture"
"Products of the printing industry","960325577","0.42231770938726176","49","Agriculture"
"Silk","820124","0.0003606619436040686","50","Textiles"
"Wool","480172970","0.21116333216237804","51","Textiles"
"Cotton","137881115","0.060635307492764634","52","Textiles"
"Other vegetable textile fibres","7186735","0.0031604755052496766","53","Textiles"
"Man-made filaments","401518465","0.17657382295826266","54","Textiles"
"Man-made staple fibres","163819345","0.07204203677449442","55","Textiles"
"Wadding, felt and nonwovens","510091247","0.22432034736020778","56","Textiles"
"Carpets","138497607","0.060906419181895","57","Textiles"
"Special woven fabrics","93968373","0.04132401447036312","58","Textiles"
"Impregnated, coated or laminated textile fabrics","367893058","0.16178654122635644","59","Textiles"
"Knitted fabrics","95597669","0.042040522049785665","60","Textiles"
"Apparel, knit","982039247","0.4318666244598329","61","Textiles"
"Apparel, not knit","1065378383","0.4685162710596688","62","Textiles"
"Other made up textile articles","562749874","0.2474777757019484","63","Textiles"
"Footwear","802207223","0.35278276970360883","64","Textiles"
"Headgear","73596122","0.032365008708734475","65","Textiles"
"Umbrellas and walking-sticks","34218973","0.015048311365494909","66","Textiles"
"Feathers and down","12160113","0.005347593765119789","67","Textiles"
"Articles of stone, plaster, cement, etc.","741422661","0.32605183843950486","68","Stone"
"Ceramic products","623539666","0.2742110069377213","69","Stone"
"Glass and glassware","1934442646","0.8507004361498473","70","Stone"
"Precious metals and stones","617404216","0.2715128499250189","71","Stone"
"Iron and steel","4795343291","2.1088248015919433","72","Metals"
"Articles of iron or steel","6938024307","3.051101213151781","73","Metals"
"Copper","524115437","0.2304876972034909","74","Metals"
"Nickel","55538518","0.024423904003259934","75","Metals"
"Aluminium","1932109808","0.8496745353260773","76","Metals"
"Lead","147450098","0.06484341261722666","78","Metals"
"Zinc","61724294","0.027144192636270797","79","Metals"
"Tin","7567016","0.003327709831492658","80","Metals"
