"Name","Gross Import","Share","Code","Sector"
"Live animals","68120818","0.03480538123027241","01","Agriculture"
"Meat","1222231833","0.6244822970173324","02","Agriculture"
"Fish","292490000","0.1494436833691923","03","Agriculture"
"Diary products","722812897","0.3693111617984772","04","Agriculture"
"Animal products","93096157","0.04756618212450551","05","Agriculture"
"Plants","251872122","0.12869054548769043","06","Agriculture"
"Vegetables","555724616","0.28393973658576355","07","Agriculture"
"Fruits and nuts","838668894","0.42850616652373313","08","Agriculture"
"Coffee, tea and spices","407011285","0.20795673562592937","09","Agriculture"
"Cereals","168735930","0.08621326847388354","10","Agriculture"
"Flours, starches and malts","90891595","0.04643979193853076","11","Agriculture"
"Oil seeds and oleaginous fruits","330570798","0.1689005356334002","12","Agriculture"
"Lac and other vegetable extracts","33973457","0.017358263704280043","13","Agriculture"
"Other vegetable materials","3427966","0.0017514713853614026","14","Agriculture"
"Animal or vegetable fats, oils or waxes","370082945","0.18908871569256455","15","Agriculture"
"Preparations of meat or fish","310768527","0.15878284163594752","16","Agriculture"
"Sugar and candy","207145131","0.10583791366759157","17","Agriculture"
"Cocoa","438971188","0.22428620201603539","18","Agriculture"
"Preparations of cereals, flour, starch or milk","631489543","0.3226507686247323","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","424257683","0.21676854198502227","20","Agriculture"
"Miscellaneous edible preparations","747892930","0.3821254546308506","21","Agriculture"
"Beverages","820593171","0.419270628130348","22","Agriculture"
"Food residues and animal feed","583347487","0.2980532570051695","23","Agriculture"
"Tobacco","484156504","0.2473730085982806","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","267171142","0.13650736623622522","25","Minerals"
"Ores, slag and ash","414552358","0.2118097416284456","26","Minerals"
"Mineral fuels, oils and waxes","8922696142","4.558927064325488","27","Minerals"
"Inorganic chemicals","1120803767","0.5726590422733974","28","Chemicals"
"Organic chemicals","1359572494","0.6946545909631068","29","Chemicals"
"Pharmaceutical products","4589330258","2.3448542444295724","30","Chemicals"
"Fertilisers","348980459","0.1783066949872864","31","Chemicals"
"Dyes, paints, inks, etc.","1141603201","0.5832862227888147","32","Chemicals"
"Essential oils","1433038278","0.7321909079741686","33","Chemicals"
"Soaps, waxes, and paints","756798768","0.38667576826280153","34","Chemicals"
"Albuminoidals; modified starches; glues; enzymes","250447935","0.1279628770166777","35","Chemicals"
"Explosives","42901904","0.021920129089238894","36","Chemicals"
"Photographic or cinematographic goods","89839268","0.04590212014466139","37","Chemicals"
"Miscellaneous chemical products","2215836099","1.1321505295120593","38","Chemicals"
"Plastics","8882318715","4.5382967815265856","39","Chemicals"
"Rubber","2640084758","1.3489144608102248","40","Chemicals"
"Leather and skins","184392245","0.09421264411608785","41","Agriculture"
"Articles of leather","528764793","0.27016499128814153","42","Agriculture"
"Furskins","11944188","0.006102716159780185","43","Agriculture"
"Wood","1119028304","0.5717518942327611","44","Agriculture"
"Cork","12812189","0.00654620915649167","45","Agriculture"
"Manufactues of plaiting materials","11639808","0.005947197446853538","46","Agriculture"
"Pulp of wood","247781430","0.12660046350195114","47","Agriculture"
"Paper and paperboard","2500418744","1.277554060202843","48","Agriculture"
"Products of the printing industry","669906592","0.3422794236445099","49","Agriculture"
"Silk","2230686","0.0011397378791756644","50","Textiles"
"Wool","358245302","0.18304043721354124","51","Textiles"
"Cotton","166451381","0.08504601004659576","52","Textiles"
"Other vegetable textile fibres","19627838","0.010028569890573356","53","Textiles"
"Man-made filaments","411874206","0.21044137724162015","54","Textiles"
"Man-made staple fibres","225620350","0.11527756896661885","55","Textiles"
"Wadding, felt and nonwovens","500895808","0.2559257223553207","56","Textiles"
"Carpets","207884192","0.10621552657085159","57","Textiles"
"Special woven fabrics","126427273","0.06459625065965481","58","Textiles"
"Impregnated, coated or laminated textile fabrics","318603589","0.16278605721496217","59","Textiles"
"Knitted fabrics","104133301","0.05320545681162705","60","Textiles"
"Apparel, knit","1742940239","0.890530989806627","61","Textiles"
"Apparel, not knit","1505402694","0.7691644963768508","62","Textiles"
"Other made up textile articles","469842702","0.24005957123667057","63","Textiles"
"Footwear","1219526176","0.6230998793346298","64","Textiles"
"Headgear","80618434","0.04119086370274583","65","Textiles"
"Umbrellas and walking-sticks","26003972","0.013286366569487307","66","Textiles"
"Feathers and down","18721728","0.009565605632179362","67","Textiles"
"Articles of stone, plaster, cement, etc.","542878319","0.2773761004226995","68","Stone"
"Ceramic products","429975509","0.2196899853789986","69","Stone"
"Glass and glassware","937202143","0.4788503549229734","70","Stone"
"Precious metals and stones","780722473","0.3988992514418434","71","Stone"
"Iron and steel","6492651619","3.317329730166193","72","Metals"
"Articles of iron or steel","4504607421","2.301566293296995","73","Metals"
"Copper","1473517267","0.752873082459522","74","Metals"
"Nickel","126003146","0.06437954888832477","75","Metals"
"Aluminium","2777116412","1.4189288719419995","76","Metals"
"Lead","411278566","0.2101370432966579","78","Metals"
"Zinc","179946323","0.0919410623196089","79","Metals"
"Tin","24356799","0.012444766513874182","80","Metals"
"Other base metals","185416655","0.09473605210843027","81","Metals"
"Metal tools and tableware","908336528","0.46410187180109913","82","Metals"
"Miscellaneous articles of base metal","1284947397","0.6565259391546235","83","Metals"
"Industrial Machinery","29433899113","15.038839958165825","84","Machinery"
"Electrical machinery and equipment","29562393950","15.104492601795366","85","Electronics"
"Trains","418556897","0.21385580494122752","86","Vehicles"
"Vehicles","16955634017","8.663244560020699","87","Vehicles"
"Aircraft","833778965","0.426007725547379","88","Vehicles"
"Ships","28974337","0.01480403311039787","89","Vehicles"
"Apparatuses (optical, medical, etc.)","4447607332","2.2724428933430416","90","Machinery"
"Clocks","163855515","0.08371968854304741","91","Machinery"
"Musical instruments","58197255","0.02973507521343001","92","Machinery"
"Arms and ammunition","111083317","0.0567564704890684","93","Machinery"
"Furniture","3192644528","1.6312371635023981","94","Textiles"
"Toys","1542191732","0.7879613418974812","95","Machinery"
"Miscellaneous manufactured articles","288097645","0.1471994708837566","96","Machinery"
"Art","12324001","0.006296776311277682","97","Textiles"
"Other","5409351168","2.7638324837887196","99","Other"
"Unspecified","8771453952","4.4816519781535735","unspecified","Services"
"Travel and tourism","5972227584","3.05142633277053","travel","Services"
"Transport","5920449536","3.0249710617842167","transport","Services"
"ICT","3055331072","1.5610787695716877","ict","Services"
"Insurance and finance","1116156672","0.5702846739402354","financial","Services"
