"Name","Gross Export","Share","Code","Sector"
"Live animals","49209","0.0005245459885062517","01","Agriculture"
"Fish","964684","0.010283101107036619","03","Agriculture"
"Diary products","13544","0.0001443729981980669","04","Agriculture"
"Animal products","12692","0.00013529105826416606","05","Agriculture"
"Vegetables","601833","0.006415271310140077","07","Agriculture"
"Fruits and nuts","69069","0.0007362447292190109","08","Agriculture"
"Coffee, tea and spices","15640876","0.16672476096900382","09","Agriculture"
"Cereals","1303","0.000013889398748676992","10","Agriculture"
"Flours, starches and malts","10515","0.00011208520939550158","11","Agriculture"
"Oil seeds and oleaginous fruits","9909113","0.10562672425379808","12","Agriculture"
"Lac and other vegetable extracts","3518341","0.037503945573920915","13","Agriculture"
"Animal or vegetable fats, oils or waxes","3316072","0.03534784826348642","15","Agriculture"
"Preparations of meat or fish","42125","0.0004490337085863532","16","Agriculture"
"Sugar and candy","17806","0.00018980401697539718","17","Agriculture"
"Cocoa","16763274","0.1786890229618799","18","Agriculture"
"Preparations of cereals, flour, starch or milk","1688565","0.017999349653154077","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","1929174","0.02056413426061411","20","Agriculture"
"Miscellaneous edible preparations","13537","0.0001442983813206757","21","Agriculture"
"Beverages","142422","0.0015181549874014387","22","Agriculture"
"Food residues and animal feed","9356112","0.09973198028033906","23","Agriculture"
"Salt, sulphur, lime, cement, etc.","211934","0.0022591218990039214","25","Minerals"
"Ores, slag and ash","1823620726","19.43898344571437","26","Minerals"
"Mineral fuels, oils and waxes","372956575","3.975550718431202","27","Minerals"
"Inorganic chemicals","140648572","1.499251036024563","28","Chemicals"
"Organic chemicals","1569103","0.01672593802359579","29","Chemicals"
"Pharmaceutical products","101787","0.0010850040141454987","30","Chemicals"
"Fertilisers","60485","0.0006447431184295686","31","Chemicals"
"Dyes, paints, inks, etc.","5516","0.00005879809938426883","32","Chemicals"
"Essential oils","1215761","0.01295946992485824","33","Chemicals"
"Soaps, waxes, and paints","77914","0.0008305284835797538","34","Chemicals"
"Albuminoidals; modified starches; glues; enzymes","907437","0.00967287362417744","35","Chemicals"
"Photographic or cinematographic goods","3544","0.00003777745906777533","37","Chemicals"
"Miscellaneous chemical products","2492508","0.02656902340465648","38","Chemicals"
"Plastics","395730","0.004218305270003029","39","Chemicals"
"Rubber","1117183","0.011908672419219652","40","Chemicals"
"Leather and skins","105504","0.001124625576040228","41","Agriculture"
"Articles of leather","4586","0.00004888471424515171","42","Agriculture"
"Wood","62804373","0.6694665999674928","44","Agriculture"
"Manufactues of plaiting materials","10627","0.00011327907943376085","46","Agriculture"
"Pulp of wood","2015","0.00002147900113475375","47","Agriculture"
"Paper and paperboard","27437","0.00029246618071178095","48","Agriculture"
"Products of the printing industry","972269","0.010363953823466946","49","Agriculture"
"Wool","1905","0.000020306450204320545","51","Textiles"
"Cotton","55069","0.0005870109744366026","52","Textiles"
"Man-made filaments","9321","0.00009935770202334477","54","Textiles"
"Wadding, felt and nonwovens","5242","0.00005587738161209884","56","Textiles"
"Carpets","5266","0.00005613321090601155","57","Textiles"
"Apparel, knit","60282","0.0006425792289852236","61","Textiles"
"Apparel, not knit","153713","0.0016385120106334509","62","Textiles"
"Other made up textile articles","57209","0.000609822419810485","63","Textiles"
"Footwear","27728","0.00029556811090047247","64","Textiles"
"Umbrellas and walking-sticks","2644","0.00002818386054604909","66","Textiles"
"Feathers and down","31232","0.00033291918781172666","67","Textiles"
"Articles of stone, plaster, cement, etc.","76077","0.0008109468830415192","68","Stone"
"Ceramic products","7459","0.00007950961263728448","69","Stone"
"Glass and glassware","14073","0.00015001190221805932","70","Stone"
"Precious metals and stones","382476974","4.077033924845251","71","Stone"
"Iron and steel","4754959","0.0506857418147432","72","Metals"
"Articles of iron or steel","160624","0.0017121801877263952","73","Metals"
"Copper","3466660812","36.95305782369944","74","Metals"
"Nickel","1803","0.00001921917570519157","75","Metals"
"Aluminium","2410036","0.02568990867434114","76","Metals"
"Lead","1077134","0.01148176794455675","78","Metals"
"Zinc","165158","0.0017605106051680694","79","Metals"
"Other base metals","2869342208","30.585907961106123","81","Metals"
"Metal tools and tableware","108728","0.0011589919778558341","82","Metals"
"Miscellaneous articles of base metal","23305","0.00024842090394314447","83","Metals"
"Industrial Machinery","7408076","0.07896678551381739","84","Machinery"
"Electrical machinery and equipment","2972108","0.03168134546134526","85","Electronics"
"Trains","39013","0.00041586117680900646","86","Vehicles"
"Vehicles","2581028","0.02751260711703782","87","Vehicles"
"Aircraft","3120252","0.03326049441623705","88","Vehicles"
"Ships","30128295","0.3211541848601468","89","Vehicles"
"Apparatuses (optical, medical, etc.)","382661","0.00407899555991365","90","Machinery"
"Clocks","42095","0.0004487139219689624","91","Machinery"
"Furniture","72449","0.0007722740214450495","94","Textiles"
"Toys","9635","0.00010270480195203593","95","Machinery"
"Miscellaneous manufactured articles","16784","0.00017890995287628137","96","Machinery"
"Art","5221464","0.055658477012940875","97","Textiles"
"Other","13406240","0.142904538051008","99","Other"
"Travel and tourism","64725324","0.68994308071628","travel","Services"
"Transport","19751944","0.21054691195513275","transport","Services"
"ICT","27820444","0.29655352270240853","ict","Services"
"Insurance and finance","2496990","0.026616799525294672","financial","Services"
