"Name","Gross Import","Share","Code","Sector"
"Live animals","2198965","0.02195925321336487","01","Agriculture"
"Meat","159097202","1.5887727836758931","02","Agriculture"
"Fish","113959921","1.1380239164398054","03","Agriculture"
"Diary products","27703165","0.2766487029337107","04","Agriculture"
"Animal products","4234529","0.04228675515541936","05","Agriculture"
"Plants","590507","0.005896907289231274","06","Agriculture"
"Vegetables","15973585","0.15951504355012786","07","Agriculture"
"Fruits and nuts","4457433","0.044512713903408475","08","Agriculture"
"Coffee, tea and spices","3511636","0.03506781786757304","09","Agriculture"
"Cereals","103997229","1.038534712966915","10","Agriculture"
"Flours, starches and malts","123655111","1.2348417976528683","11","Agriculture"
"Oil seeds and oleaginous fruits","1719778","0.017174007122793773","12","Agriculture"
"Lac and other vegetable extracts","2394345","0.023910352431782276","13","Agriculture"
"Other vegetable materials","4968","0.00004961132622119801","14","Agriculture"
"Animal or vegetable fats, oils or waxes","72051377","0.7195177876476495","15","Agriculture"
"Preparations of meat or fish","25877788","0.25842016552959","16","Agriculture"
"Sugar and candy","113117088","1.1296072371094932","17","Agriculture"
"Cocoa","4968901","0.049620323766472824","18","Agriculture"
"Preparations of cereals, flour, starch or milk","94766579","0.9463558103131909","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","32577363","0.3253233058010036","20","Agriculture"
"Miscellaneous edible preparations","81369598","0.81257118978779","21","Agriculture"
"Beverages","141879879","1.4168375525952297","22","Agriculture"
"Food residues and animal feed","3948508","0.03943049888788448","23","Agriculture"
"Tobacco","27050054","0.27012662103361956","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","341160102","3.4068850873549086","25","Minerals"
"Ores, slag and ash","333585","0.003331238779689681","26","Minerals"
"Mineral fuels, oils and waxes","195584604","1.9531424301304001","27","Minerals"
"Inorganic chemicals","292389143","2.9198496692652","28","Chemicals"
"Organic chemicals","77248649","0.7714186645905438","29","Chemicals"
"Pharmaceutical products","449974841","4.493528306800061","30","Chemicals"
"Fertilisers","36925719","0.36874675750025954","31","Chemicals"
"Dyes, paints, inks, etc.","30706068","0.3066362231317007","32","Chemicals"
"Essential oils","72387113","0.7228705066935835","33","Chemicals"
"Soaps, waxes, and paints","102511153","1.0236944953289333","34","Chemicals"
"Albuminoidals; modified starches; glues; enzymes","7579970","0.07569492037377099","35","Chemicals"
"Explosives","33451870","0.3340562872945062","36","Chemicals"
"Photographic or cinematographic goods","2908596","0.02904575382481313","37","Chemicals"
"Miscellaneous chemical products","74112339","0.7400989185074508","38","Chemicals"
"Plastics","291144866","2.907424099185383","39","Chemicals"
"Rubber","98809723","0.9867313610264115","40","Chemicals"
"Leather and skins","5405","0.000053975285472136724","41","Agriculture"
"Articles of leather","22255310","0.2222454598558555","42","Agriculture"
"Furskins","16867","0.00016843684367410364","43","Agriculture"
"Wood","10891978","0.10876921774398386","44","Agriculture"
"Cork","1349090","0.013472251226198875","45","Agriculture"
"Manufactues of plaiting materials","117629","0.0011746639879374598","46","Agriculture"
"Pulp of wood","47275","0.0004720965070666538","47","Agriculture"
"Paper and paperboard","67052558","0.6695986974444043","48","Agriculture"
"Products of the printing industry","35116105","0.3506756322006527","49","Agriculture"
"Silk","19876","0.00019848524959189444","50","Textiles"
"Wool","55489","0.0005541229631014607","51","Textiles"
"Cotton","45577448","0.4551444527088745","52","Textiles"
"Other vegetable textile fibres","412281","0.004117110947222571","53","Textiles"
"Man-made filaments","17899256","0.17874513456778096","54","Textiles"
"Man-made staple fibres","18792362","0.18766384896313307","55","Textiles"
"Wadding, felt and nonwovens","15159434","0.15138478774209352","56","Textiles"
"Carpets","2781731","0.0277788575081762","57","Textiles"
"Special woven fabrics","958550","0.0095722497482547","58","Textiles"
"Impregnated, coated or laminated textile fabrics","7585211","0.07574725792625192","59","Textiles"
"Knitted fabrics","2312687","0.023094901208640047","60","Textiles"
"Apparel, knit","33619558","0.33573084930565367","61","Textiles"
"Apparel, not knit","25785978","0.25750333463982183","62","Textiles"
"Other made up textile articles","89121203","0.8899800876124417","63","Textiles"
"Footwear","63531183","0.6344336242012136","64","Textiles"
"Headgear","2902884","0.028988712783070886","65","Textiles"
"Umbrellas and walking-sticks","1769745","0.017672986417740354","66","Textiles"
"Feathers and down","11545975","0.11530014739669821","67","Textiles"
"Articles of stone, plaster, cement, etc.","34358275","0.3431078078547971","68","Stone"
"Ceramic products","51902713","0.5183096671514119","69","Stone"
"Glass and glassware","17523309","0.17499086136752315","70","Stone"
"Precious metals and stones","3543073","0.03538175330686769","71","Stone"
"Iron and steel","280047283","2.7966016735654504","72","Metals"
"Articles of iron or steel","361293186","3.607937623216982","73","Metals"
"Copper","16100324","0.16078068160849107","74","Metals"
"Nickel","1031493","0.010300671440797543","75","Metals"
"Aluminium","25557209","0.2552188069650438","76","Metals"
"Lead","21991067","0.21960668254613971","78","Metals"
"Zinc","3159781","0.03155413163819309","79","Metals"
"Tin","594470","0.005936482507792991","80","Metals"
"Other base metals","91412","0.0009128563914114638","81","Metals"
"Metal tools and tableware","39748126","0.39693181273496014","82","Metals"
"Miscellaneous articles of base metal","27309960","0.27272208829465955","83","Metals"
"Industrial Machinery","1139866627","11.382909637832855","84","Machinery"
"Electrical machinery and equipment","564890708","5.641098468983798","85","Electronics"
"Trains","8714315","0.0870226900682929","86","Vehicles"
"Vehicles","522243826","5.215219166403496","87","Vehicles"
"Aircraft","7356956","0.07346786314633655","88","Vehicles"
"Ships","37329419","0.37277817706457067","89","Vehicles"
"Apparatuses (optical, medical, etc.)","90407935","0.9028296208272675","90","Machinery"
"Clocks","1106563","0.011050333731342095","91","Machinery"
"Musical instruments","687257","0.006863069892270909","92","Machinery"
"Arms and ammunition","1822688","0.018201684574771126","93","Machinery"
"Furniture","104228685","1.040846073498689","94","Textiles"
"Toys","13843023","0.13823887478674457","95","Machinery"
"Miscellaneous manufactured articles","14104817","0.1408531959495369","96","Machinery"
"Art","276085","0.0027570336150924825","97","Textiles"
"Other","75954760","0.7584976603085349","99","Other"
"Travel and tourism","146385696","1.461833437675749","travel","Services"
"Transport","1611412992","16.09185499661609","transport","Services"
"ICT","279792224","2.7940546093032417","ict","Services"
"Insurance and finance","764149184","7.630928834357138","financial","Services"
