"Name","Gross Export","Share","Code","Sector"
"Live animals","1174293066","0.648009775213939","01","Agriculture"
"Meat","3245540746","1.790985734444539","02","Agriculture"
"Fish","2563977048","1.4148786522155778","03","Agriculture"
"Diary products","2745183718","1.5148738722282","04","Agriculture"
"Animal products","174129257","0.09608969341111669","05","Agriculture"
"Plants","450914877","0.2488282154987969","06","Agriculture"
"Vegetables","204690019","0.11295402914414117","07","Agriculture"
"Fruits and nuts","140411882","0.07748344491390033","08","Agriculture"
"Coffee, tea and spices","66953381","0.036946863289766894","09","Agriculture"
"Cereals","286809876","0.15827020413990733","10","Agriculture"
"Flours, starches and malts","264230734","0.14581036327430216","11","Agriculture"
"Oil seeds and oleaginous fruits","467230814","0.2578318339087985","12","Agriculture"
"Lac and other vegetable extracts","217829237","0.12020463970226136","13","Agriculture"
"Other vegetable materials","10622755","0.005861951568146913","14","Agriculture"
"Animal or vegetable fats, oils or waxes","778899493","0.42981986353071167","15","Agriculture"
"Preparations of meat or fish","1336187854","0.7373481254245399","16","Agriculture"
"Sugar and candy","314442437","0.17351867163123755","17","Agriculture"
"Cocoa","167736867","0.09256218283738071","18","Agriculture"
"Preparations of cereals, flour, starch or milk","1166311610","0.6436053708465883","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","244375256","0.13485352106167403","20","Agriculture"
"Miscellaneous edible preparations","1110420529","0.6127630131047995","21","Agriculture"
"Beverages","1016612600","0.5609970129940782","22","Agriculture"
"Food residues and animal feed","967002166","0.533620502721296","23","Agriculture"
"Tobacco","203213470","0.11213922557143374","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","415744638","0.22942023351501284","25","Minerals"
"Ores, slag and ash","12432589","0.006860671698130669","26","Minerals"
"Mineral fuels, oils and waxes","4783803496","2.6398447865063144","27","Minerals"
"Inorganic chemicals","205917835","0.1136315744632788","28","Chemicals"
"Organic chemicals","2357431580","1.3009007312302745","29","Chemicals"
"Pharmaceutical products","13088141900","7.222425249837194","30","Chemicals"
"Fertilisers","70091757","0.0386787123359545","31","Chemicals"
