"Name","Gross Import","Share","Code","Sector"
"Live animals","47985475","0.027820103252268254","01","Agriculture"
"Meat","1308313950","0.758509302562555","02","Agriculture"
"Fish","2108448864","1.22239625842211","03","Agriculture"
"Diary products","890073551","0.5160298630144445","04","Agriculture"
"Animal products","219395064","0.12719668469506662","05","Agriculture"
"Plants","339159684","0.19663153126829885","06","Agriculture"
"Vegetables","521883217","0.3025674953215722","07","Agriculture"
"Fruits and nuts","753016263","0.4365694032891659","08","Agriculture"
"Coffee, tea and spices","242830035","0.140783365100625","09","Agriculture"
"Cereals","315637498","0.18299428701388523","10","Agriculture"
"Flours, starches and malts","122278484","0.07089228668489436","11","Agriculture"
"Oil seeds and oleaginous fruits","286267125","0.16596649246943962","12","Agriculture"
"Lac and other vegetable extracts","140148067","0.08125237260954088","13","Agriculture"
"Other vegetable materials","5762356","0.0033407888302934893","14","Agriculture"
"Animal or vegetable fats, oils or waxes","839516607","0.4867189225225739","15","Agriculture"
"Preparations of meat or fish","878029302","0.5090470781034683","16","Agriculture"
"Sugar and candy","279013594","0.1617611786455475","17","Agriculture"
"Cocoa","340730172","0.19754203883994315","18","Agriculture"
"Preparations of cereals, flour, starch or milk","630798213","0.3657121538758614","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","502677494","0.2914327676379458","20","Agriculture"
"Miscellaneous edible preparations","673471294","0.39045233868204304","21","Agriculture"
"Beverages","1149145981","0.6662299340237664","22","Agriculture"
"Food residues and animal feed","1415226761","0.8204931724942426","23","Agriculture"
"Tobacco","151006620","0.0875477373137608","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","251217570","0.14564613012966793","25","Minerals"
"Ores, slag and ash","15264402","0.008849703784825096","26","Minerals"
"Mineral fuels, oils and waxes","7203333612","4.176211339918474","27","Minerals"
"Inorganic chemicals","515344530","0.2987766201145587","28","Chemicals"
"Organic chemicals","798180472","0.4627538467626757","29","Chemicals"
"Pharmaceutical products","4576537256","2.6532974613624734","30","Chemicals"
"Fertilisers","287640103","0.1667624914612823","31","Chemicals"
"Dyes, paints, inks, etc.","627341927","0.36370833431610156","32","Chemicals"
"Essential oils","872959676","0.5061079070570134","33","Chemicals"
"Soaps, waxes, and paints","435751588","0.25263174263670113","34","Chemicals"
"Albuminoidals; modified starches; glues; enzymes","360226774","0.2088454068009434","35","Chemicals"
"Explosives","25136119","0.014572939539335639","36","Chemicals"
"Photographic or cinematographic goods","47778461","0.027700084624659272","37","Chemicals"
"Miscellaneous chemical products","1101676607","0.6387090459633578","38","Chemicals"
"Plastics","4197271999","2.433414286094581","39","Chemicals"
"Rubber","791183926","0.45869752279945053","40","Chemicals"
"Leather and skins","84426880","0.04894740583201191","41","Agriculture"
"Articles of leather","373254385","0.21639830657218434","42","Agriculture"
"Furskins","316251812","0.18335044226522562","43","Agriculture"
"Wood","2061253374","1.1950341576021974","44","Agriculture"
"Cork","8345907","0.004838630741361389","45","Agriculture"
"Manufactues of plaiting materials","18933043","0.010976638475281002","46","Agriculture"
"Pulp of wood","53368588","0.030941021811032702","47","Agriculture"
"Paper and paperboard","1491301850","0.8645985362716251","48","Agriculture"
"Products of the printing industry","338051901","0.19598928197429671","49","Agriculture"
"Silk","1629833","0.0009449134835896512","50","Textiles"
"Wool","118120976","0.06848192601154203","51","Textiles"
"Cotton","46638480","0.027039168188474693","52","Textiles"
"Other vegetable textile fibres","7912636","0.004587437146711892","53","Textiles"
"Man-made filaments","125371239","0.07268534517673943","54","Textiles"
"Man-made staple fibres","71654405","0.0415424239434922","55","Textiles"
"Wadding, felt and nonwovens","194516074","0.1127728185019707","56","Textiles"
"Carpets","88297952","0.05119170210576901","57","Textiles"
"Special woven fabrics","26882067","0.015585171962440574","58","Textiles"
"Impregnated, coated or laminated textile fabrics","98124394","0.05688868918451367","59","Textiles"
"Knitted fabrics","62309736","0.03612475002365979","60","Textiles"
"Apparel, knit","1994432044","1.1562937616791835","61","Textiles"
"Apparel, not knit","2282050425","1.3230436595737074","62","Textiles"
"Other made up textile articles","531830332","0.3083344438901168","63","Textiles"
"Footwear","895686939","0.519284286019636","64","Textiles"
"Headgear","67942994","0.03939069287838127","65","Textiles"
"Umbrellas and walking-sticks","17022488","0.00986897334600725","66","Textiles"
"Feathers and down","16283145","0.009440331166288455","67","Textiles"
"Articles of stone, plaster, cement, etc.","573443964","0.3324604015667241","68","Stone"
