"Name","Gross Export","Share","Code","Sector"
"Live animals","140957","0.0008072973302612054","01","Agriculture"
"Meat","609089","0.0034884108174228125","02","Agriculture"
"Fish","10463983","0.05992994700368651","03","Agriculture"
"Diary products","1682464","0.009635908081617718","04","Agriculture"
"Animal products","131969","0.0007558207210513917","05","Agriculture"
"Plants","4755536","0.027236189169470494","06","Agriculture"
"Vegetables","70528432","0.40393463865653334","07","Agriculture"
"Fruits and nuts","391030479","2.2395330614830082","08","Agriculture"
"Coffee, tea and spices","9478560","0.05428617367509703","09","Agriculture"
"Cereals","66638","0.0003816531246688438","10","Agriculture"
"Flours, starches and malts","1257769","0.007203569569338921","11","Agriculture"
"Oil seeds and oleaginous fruits","1770233","0.01013858392871787","12","Agriculture"
"Lac and other vegetable extracts","5197581","0.02976789563566454","13","Agriculture"
"Other vegetable materials","90644","0.0005191417184261634","14","Agriculture"
"Animal or vegetable fats, oils or waxes","3099465","0.017751440650255378","15","Agriculture"
"Preparations of meat or fish","212480","0.0012169281180352941","16","Agriculture"
"Sugar and candy","108089935","0.6190591169903391","17","Agriculture"
"Cocoa","170233920","0.9749738511453822","18","Agriculture"
"Preparations of cereals, flour, starch or milk","28824903","0.1650877021853346","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","29793579","0.17063556109754263","20","Agriculture"
"Miscellaneous edible preparations","62123837","0.3557993413287903","21","Agriculture"
"Beverages","183447647","1.05065229584767","22","Agriculture"
"Food residues and animal feed","733155","0.004198969005921338","23","Agriculture"
"Tobacco","752484482","4.309673967107601","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","13615530","0.07797967478799457","25","Minerals"
"Ores, slag and ash","66120865","0.3786913582799122","26","Minerals"
"Mineral fuels, oils and waxes","69512245","0.3981146719138661","27","Minerals"
"Inorganic chemicals","2068035","0.011844173289632526","28","Chemicals"
"Organic chemicals","3134147","0.017950073467413227","29","Chemicals"
"Pharmaceutical products","149802913","0.8579601703374194","30","Chemicals"
"Fertilisers","11052920","0.06330294208581826","31","Chemicals"
"Dyes, paints, inks, etc.","12230791","0.07004891506830295","32","Chemicals"
"Essential oils","42500376","0.2434106860950319","33","Chemicals"
"Soaps, waxes, and paints","18866217","0.10805172227153365","34","Chemicals"
"Albuminoidals; modified starches; glues; enzymes","953423","0.005460501021656457","35","Chemicals"
"Explosives","96395","0.0005520791883377832","36","Chemicals"
"Photographic or cinematographic goods","12204","0.00006989547605658287","37","Chemicals"
"Miscellaneous chemical products","81211060","0.4651168223336377","38","Chemicals"
"Plastics","406808883","2.3299000771330483","39","Chemicals"
"Rubber","2257048","0.012926699806830403","40","Chemicals"
"Leather and skins","9998980","0.0572667541117872","41","Agriculture"
"Articles of leather","9293397","0.05322569710732703","42","Agriculture"
"Furskins","482338","0.0027624749369206873","43","Agriculture"
"Wood","1461359","0.008369582349604382","44","Agriculture"
"Manufactues of plaiting materials","3712","0.00002125958760423104","46","Agriculture"
"Pulp of wood","17176990","0.09837708073329755","47","Agriculture"
"Paper and paperboard","31394350","0.1798035921613391","48","Agriculture"
"Products of the printing industry","2090524","0.011972973630589303","49","Agriculture"
"Silk","87424","0.0005006999425410276","50","Textiles"
"Wool","47834","0.0002739577353073242","51","Textiles"
"Cotton","643705","0.003686665635447614","52","Textiles"
"Other vegetable textile fibres","5372922","0.030772119059725284","53","Textiles"
"Man-made filaments","3540034","0.02027469368129214","54","Textiles"
